pp_no,condition,bin,bin_no,trial,muscle,rms,outlier1.5SD
pp481,429,bin_0,0,trial1,brow,8.5941,FALSE
pp481,429,bin_1,1,trial1,brow,8.1537,FALSE
pp481,429,bin_2,2,trial1,brow,8.7671,FALSE
pp481,429,bin_3,3,trial1,brow,7.4619,FALSE
pp481,429,bin_4,4,trial1,brow,7.102,FALSE
pp481,429,bin_5,5,trial1,brow,7.4677,FALSE
pp481,429,bin_6,6,trial1,brow,6.8877,FALSE
pp481,429,bin_7,7,trial1,brow,8.7238,FALSE
pp481,429,bin_8,8,trial1,brow,5.1037,FALSE
pp481,429,bin_9,9,trial1,brow,6.0927,FALSE
pp481,429,bin_10,10,trial1,brow,5.694,FALSE
pp481,429,bin_0,0,trial2,brow,10.2982,FALSE
pp481,429,bin_1,1,trial2,brow,7.5152,FALSE
pp481,429,bin_2,2,trial2,brow,7.9863,FALSE
pp481,429,bin_3,3,trial2,brow,8.2846,FALSE
pp481,429,bin_4,4,trial2,brow,5.958,FALSE
pp481,429,bin_5,5,trial2,brow,8.8779,FALSE
pp481,429,bin_6,6,trial2,brow,5.1542,FALSE
pp481,429,bin_7,7,trial2,brow,6.4333,FALSE
pp481,429,bin_8,8,trial2,brow,4.7756,FALSE
pp481,429,bin_9,9,trial2,brow,8.3854,FALSE
pp481,429,bin_10,10,trial2,brow,12.2726,FALSE
pp481,429,bin_0,0,trial4,brow,7.4143,FALSE
pp481,429,bin_1,1,trial4,brow,5.7858,FALSE
pp481,429,bin_2,2,trial4,brow,6.5249,FALSE
pp481,429,bin_3,3,trial4,brow,7.0624,FALSE
pp481,429,bin_4,4,trial4,brow,6.4303,FALSE
pp481,429,bin_5,5,trial4,brow,6.0041,FALSE
pp481,429,bin_6,6,trial4,brow,6.0128,FALSE
pp481,429,bin_7,7,trial4,brow,5.5721,FALSE
pp481,429,bin_8,8,trial4,brow,5.763,FALSE
pp481,429,bin_9,9,trial4,brow,6.9798,FALSE
pp481,429,bin_10,10,trial4,brow,8.388,FALSE
pp481,429,bin_0,0,trial5,brow,11.7947,FALSE
pp481,429,bin_1,1,trial5,brow,13.3618,FALSE
pp481,429,bin_2,2,trial5,brow,10.4755,FALSE
pp481,429,bin_3,3,trial5,brow,9.2025,FALSE
pp481,429,bin_4,4,trial5,brow,9.4083,FALSE
pp481,429,bin_5,5,trial5,brow,10.0779,FALSE
pp481,429,bin_6,6,trial5,brow,11.9883,FALSE
pp481,429,bin_7,7,trial5,brow,10.1151,FALSE
pp481,429,bin_8,8,trial5,brow,9.649,FALSE
pp481,429,bin_9,9,trial5,brow,31.2571,FALSE
pp481,429,bin_10,10,trial5,brow,69.5005,FALSE
pp481,429,bin_0,0,trial6,brow,10.7565,FALSE
pp481,429,bin_1,1,trial6,brow,9.9376,FALSE
pp481,429,bin_2,2,trial6,brow,8.4254,FALSE
pp481,429,bin_3,3,trial6,brow,10.2048,FALSE
pp481,429,bin_4,4,trial6,brow,8.8937,FALSE
pp481,429,bin_5,5,trial6,brow,8.5926,FALSE
pp481,429,bin_6,6,trial6,brow,9.1201,FALSE
pp481,429,bin_7,7,trial6,brow,10.3869,FALSE
pp481,429,bin_8,8,trial6,brow,9.0427,FALSE
pp481,429,bin_9,9,trial6,brow,8.5851,FALSE
pp481,429,bin_10,10,trial6,brow,6.4665,FALSE
pp481,429,bin_0,0,trial7,brow,10.5713,FALSE
pp481,429,bin_1,1,trial7,brow,8.8547,FALSE
pp481,429,bin_2,2,trial7,brow,10.3503,FALSE
pp481,429,bin_3,3,trial7,brow,11.9073,FALSE
pp481,429,bin_4,4,trial7,brow,11.902,FALSE
pp481,429,bin_5,5,trial7,brow,11.175,FALSE
pp481,429,bin_6,6,trial7,brow,11.7738,FALSE
pp481,429,bin_7,7,trial7,brow,7.7162,FALSE
pp481,429,bin_8,8,trial7,brow,10.0678,FALSE
pp481,429,bin_9,9,trial7,brow,8.986,FALSE
pp481,429,bin_10,10,trial7,brow,9.7763,FALSE
pp481,429,bin_0,0,trial8,brow,8.6842,FALSE
pp481,429,bin_1,1,trial8,brow,10.0165,FALSE
pp481,429,bin_2,2,trial8,brow,9.7729,FALSE
pp481,429,bin_3,3,trial8,brow,7.5874,FALSE
pp481,429,bin_4,4,trial8,brow,7.7624,FALSE
pp481,429,bin_5,5,trial8,brow,9.4185,FALSE
pp481,429,bin_6,6,trial8,brow,9.2796,FALSE
pp481,429,bin_7,7,trial8,brow,8.8382,FALSE
pp481,429,bin_8,8,trial8,brow,9.15,FALSE
pp481,429,bin_9,9,trial8,brow,9.891,FALSE
pp481,429,bin_10,10,trial8,brow,9.6268,FALSE
pp481,429,bin_0,0,trial1,cheek,6.6256,FALSE
pp481,429,bin_1,1,trial1,cheek,4.5505,FALSE
pp481,429,bin_2,2,trial1,cheek,4.4162,FALSE
pp481,429,bin_3,3,trial1,cheek,4.8351,FALSE
pp481,429,bin_4,4,trial1,cheek,5.6448,FALSE
pp481,429,bin_5,5,trial1,cheek,6.3892,FALSE
pp481,429,bin_6,6,trial1,cheek,4.0173,FALSE
pp481,429,bin_7,7,trial1,cheek,5.841,FALSE
pp481,429,bin_8,8,trial1,cheek,7.4202,FALSE
pp481,429,bin_9,9,trial1,cheek,8.3121,FALSE
pp481,429,bin_10,10,trial1,cheek,8.7167,FALSE
pp481,429,bin_0,0,trial2,cheek,7.2651,FALSE
pp481,429,bin_1,1,trial2,cheek,5.0488,FALSE
pp481,429,bin_2,2,trial2,cheek,5.9357,FALSE
pp481,429,bin_3,3,trial2,cheek,5.1834,FALSE
pp481,429,bin_4,4,trial2,cheek,5.4472,FALSE
pp481,429,bin_5,5,trial2,cheek,4.5723,FALSE
pp481,429,bin_6,6,trial2,cheek,5.9394,FALSE
pp481,429,bin_7,7,trial2,cheek,6.8833,FALSE
pp481,429,bin_8,8,trial2,cheek,7.1813,FALSE
pp481,429,bin_9,9,trial2,cheek,5.4168,FALSE
pp481,429,bin_10,10,trial2,cheek,9.1277,FALSE
pp481,429,bin_0,0,trial3,cheek,6.3531,FALSE
pp481,429,bin_1,1,trial3,cheek,5.4906,FALSE
pp481,429,bin_2,2,trial3,cheek,3.9158,FALSE
pp481,429,bin_3,3,trial3,cheek,5.0138,FALSE
pp481,429,bin_4,4,trial3,cheek,6.1439,FALSE
pp481,429,bin_5,5,trial3,cheek,5.5286,FALSE
pp481,429,bin_6,6,trial3,cheek,3.5885,FALSE
pp481,429,bin_7,7,trial3,cheek,3.2831,FALSE
pp481,429,bin_8,8,trial3,cheek,3.5554,FALSE
pp481,429,bin_9,9,trial3,cheek,5.9034,FALSE
pp481,429,bin_10,10,trial3,cheek,9.0949,FALSE
pp481,429,bin_0,0,trial4,cheek,3.6882,FALSE
pp481,429,bin_1,1,trial4,cheek,2.4935,FALSE
pp481,429,bin_2,2,trial4,cheek,3.2082,FALSE
pp481,429,bin_3,3,trial4,cheek,3.3663,FALSE
pp481,429,bin_4,4,trial4,cheek,3.718,FALSE
pp481,429,bin_5,5,trial4,cheek,2.716,FALSE
pp481,429,bin_6,6,trial4,cheek,2.8447,FALSE
pp481,429,bin_7,7,trial4,cheek,3.2944,FALSE
pp481,429,bin_8,8,trial4,cheek,2.9327,FALSE
pp481,429,bin_9,9,trial4,cheek,3.2342,FALSE
pp481,429,bin_10,10,trial4,cheek,2.5711,FALSE
pp481,429,bin_0,0,trial5,cheek,8.8762,FALSE
pp481,429,bin_1,1,trial5,cheek,7.5541,FALSE
pp481,429,bin_2,2,trial5,cheek,13.3694,FALSE
pp481,429,bin_3,3,trial5,cheek,13.5865,FALSE
pp481,429,bin_4,4,trial5,cheek,12.38,FALSE
pp481,429,bin_5,5,trial5,cheek,9.6767,FALSE
pp481,429,bin_6,6,trial5,cheek,5.7407,FALSE
pp481,429,bin_7,7,trial5,cheek,6.1245,FALSE
pp481,429,bin_8,8,trial5,cheek,6.3383,FALSE
pp481,429,bin_9,9,trial5,cheek,8.2559,FALSE
pp481,429,bin_10,10,trial5,cheek,9.1141,FALSE
pp481,429,bin_0,0,trial6,cheek,3.8809,FALSE
pp481,429,bin_1,1,trial6,cheek,4.1249,FALSE
pp481,429,bin_2,2,trial6,cheek,4.4601,FALSE
pp481,429,bin_3,3,trial6,cheek,3.9499,FALSE
pp481,429,bin_4,4,trial6,cheek,4.6188,FALSE
pp481,429,bin_5,5,trial6,cheek,3.6757,FALSE
pp481,429,bin_6,6,trial6,cheek,3.9135,FALSE
pp481,429,bin_7,7,trial6,cheek,3.3041,FALSE
pp481,429,bin_8,8,trial6,cheek,3.6037,FALSE
pp481,429,bin_9,9,trial6,cheek,4.2564,FALSE
pp481,429,bin_10,10,trial6,cheek,6.0957,FALSE
pp481,429,bin_0,0,trial8,cheek,7.6425,FALSE
pp481,429,bin_1,1,trial8,cheek,7.5328,FALSE
pp481,429,bin_2,2,trial8,cheek,6.4139,FALSE
pp481,429,bin_3,3,trial8,cheek,6.9773,FALSE
pp481,429,bin_4,4,trial8,cheek,4.6185,FALSE
pp481,429,bin_5,5,trial8,cheek,5.3719,FALSE
pp481,429,bin_6,6,trial8,cheek,4.1814,FALSE
pp481,429,bin_7,7,trial8,cheek,5.871,FALSE
pp481,429,bin_8,8,trial8,cheek,5.3909,FALSE
pp481,429,bin_9,9,trial8,cheek,5.8102,FALSE
pp481,429,bin_10,10,trial8,cheek,7.6654,FALSE
pp481,673,bin_0,0,trial1,brow,11.2308,FALSE
pp481,673,bin_1,1,trial1,brow,13.0658,FALSE
pp481,673,bin_2,2,trial1,brow,10.7179,FALSE
pp481,673,bin_3,3,trial1,brow,12.7313,FALSE
pp481,673,bin_4,4,trial1,brow,10.0145,FALSE
pp481,673,bin_5,5,trial1,brow,8.5579,FALSE
pp481,673,bin_6,6,trial1,brow,10.5809,FALSE
pp481,673,bin_7,7,trial1,brow,9.6223,FALSE
pp481,673,bin_8,8,trial1,brow,11.829,FALSE
pp481,673,bin_9,9,trial1,brow,10.1194,FALSE
pp481,673,bin_10,10,trial1,brow,12.4459,FALSE
pp481,673,bin_0,0,trial2,brow,11.7591,FALSE
pp481,673,bin_1,1,trial2,brow,12.8071,FALSE
pp481,673,bin_2,2,trial2,brow,12.534,FALSE
pp481,673,bin_3,3,trial2,brow,12.0684,FALSE
pp481,673,bin_4,4,trial2,brow,10.3218,FALSE
pp481,673,bin_5,5,trial2,brow,9.586,FALSE
pp481,673,bin_6,6,trial2,brow,9.738,FALSE
pp481,673,bin_7,7,trial2,brow,7.7646,FALSE
pp481,673,bin_8,8,trial2,brow,9.2336,FALSE
pp481,673,bin_9,9,trial2,brow,10.3983,FALSE
pp481,673,bin_10,10,trial2,brow,9.2695,FALSE
pp481,673,bin_0,0,trial3,brow,12.5612,FALSE
pp481,673,bin_1,1,trial3,brow,11.5362,FALSE
pp481,673,bin_2,2,trial3,brow,9.8978,FALSE
pp481,673,bin_3,3,trial3,brow,9.421,FALSE
