pp_no,condition,bin,bin_no,trial,muscle,rms,outlier1.5SD
pp481,429,bin_0,0,trial3,brow,13.5665,TRUE
pp481,429,bin_1,1,trial3,brow,12.8451,TRUE
pp481,429,bin_2,2,trial3,brow,10.6346,TRUE
pp481,429,bin_3,3,trial3,brow,10.2023,TRUE
pp481,429,bin_4,4,trial3,brow,10.4927,TRUE
pp481,429,bin_5,5,trial3,brow,10.5337,TRUE
pp481,429,bin_6,6,trial3,brow,10.6708,TRUE
pp481,429,bin_7,7,trial3,brow,8.9785,TRUE
pp481,429,bin_8,8,trial3,brow,8.6716,TRUE
pp481,429,bin_9,9,trial3,brow,8.3823,TRUE
pp481,429,bin_10,10,trial3,brow,7.4027,TRUE
pp481,429,bin_0,0,trial7,cheek,11.238,TRUE
pp481,429,bin_1,1,trial7,cheek,7.4987,TRUE
pp481,429,bin_2,2,trial7,cheek,6.4871,TRUE
pp481,429,bin_3,3,trial7,cheek,6.243,TRUE
pp481,429,bin_4,4,trial7,cheek,9.2465,TRUE
pp481,429,bin_5,5,trial7,cheek,8.0974,TRUE
pp481,429,bin_6,6,trial7,cheek,9.0131,TRUE
pp481,429,bin_7,7,trial7,cheek,9.6153,TRUE
pp481,429,bin_8,8,trial7,cheek,7.3603,TRUE
pp481,429,bin_9,9,trial7,cheek,6.7559,TRUE
pp481,429,bin_10,10,trial7,cheek,7.1487,TRUE
pp481,673,bin_0,0,trial3,cheek,10.7857,TRUE
pp481,673,bin_1,1,trial3,cheek,10.9392,TRUE
pp481,673,bin_2,2,trial3,cheek,9.2023,TRUE
pp481,673,bin_3,3,trial3,cheek,9.3314,TRUE
pp481,673,bin_4,4,trial3,cheek,7.295,TRUE
pp481,673,bin_5,5,trial3,cheek,6.9233,TRUE
pp481,673,bin_6,6,trial3,cheek,4.759,TRUE
pp481,673,bin_7,7,trial3,cheek,4.9389,TRUE
pp481,673,bin_8,8,trial3,cheek,5.782,TRUE
pp481,673,bin_9,9,trial3,cheek,6.0906,TRUE
pp481,673,bin_10,10,trial3,cheek,4.7176,TRUE
pp4811,429,bin_0,0,trial6,cheek,3.0405,TRUE
pp4811,429,bin_1,1,trial6,cheek,2.6892,TRUE
pp4811,429,bin_2,2,trial6,cheek,2.6287,TRUE
pp4811,429,bin_3,3,trial6,cheek,2.5601,TRUE
pp4811,429,bin_4,4,trial6,cheek,2.218,TRUE
pp4811,429,bin_5,5,trial6,cheek,2.6191,TRUE
pp4811,429,bin_6,6,trial6,cheek,2.5028,TRUE
pp4811,429,bin_7,7,trial6,cheek,3.0109,TRUE
pp4811,429,bin_8,8,trial6,cheek,3.2739,TRUE
pp4811,429,bin_9,9,trial6,cheek,2.4551,TRUE
pp4811,429,bin_10,10,trial6,cheek,2.6554,TRUE
pp4811,673,bin_0,0,trial8,brow,19.6932,TRUE
pp4811,673,bin_1,1,trial8,brow,15.4009,TRUE
pp4811,673,bin_2,2,trial8,brow,21.2768,TRUE
pp4811,673,bin_3,3,trial8,brow,26.5009,TRUE
pp4811,673,bin_4,4,trial8,brow,22.0741,TRUE
pp4811,673,bin_5,5,trial8,brow,15.8365,TRUE
pp4811,673,bin_6,6,trial8,brow,16.7288,TRUE
pp4811,673,bin_7,7,trial8,brow,16.1756,TRUE
pp4811,673,bin_8,8,trial8,brow,17.1813,TRUE
pp4811,673,bin_9,9,trial8,brow,15.9904,TRUE
pp4811,673,bin_10,10,trial8,brow,18.1825,TRUE
pp4811,673,bin_0,0,trial3,cheek,2.7114,TRUE
pp4811,673,bin_1,1,trial3,cheek,2.7673,TRUE
pp4811,673,bin_2,2,trial3,cheek,2.4907,TRUE
pp4811,673,bin_3,3,trial3,cheek,2.5204,TRUE
pp4811,673,bin_4,4,trial3,cheek,2.639,TRUE
pp4811,673,bin_5,5,trial3,cheek,2.2908,TRUE
pp4811,673,bin_6,6,trial3,cheek,2.4468,TRUE
pp4811,673,bin_7,7,trial3,cheek,2.3081,TRUE
