pp_no,condition,bin,bin_no,trial,muscle,rms,outlier1.5SD
pp481,285,bin_0,0,trial1,brow,12.0125,FALSE
pp481,285,bin_1,1,trial1,brow,12.2868,FALSE
pp481,285,bin_2,2,trial1,brow,13.4181,FALSE
pp481,285,bin_3,3,trial1,brow,10.8095,FALSE
pp481,285,bin_4,4,trial1,brow,6.6134,FALSE
pp481,285,bin_5,5,trial1,brow,6.6709,FALSE
pp481,285,bin_6,6,trial1,brow,9.9625,FALSE
pp481,285,bin_7,7,trial1,brow,9.7553,FALSE
pp481,285,bin_8,8,trial1,brow,13.2534,FALSE
pp481,285,bin_9,9,trial1,brow,11.8944,FALSE
pp481,285,bin_10,10,trial1,brow,9.2107,FALSE
pp481,285,bin_0,0,trial2,brow,11.3728,FALSE
pp481,285,bin_1,1,trial2,brow,12.0517,FALSE
pp481,285,bin_2,2,trial2,brow,9.1109000000000009,FALSE
pp481,285,bin_3,3,trial2,brow,10.6009,FALSE
pp481,285,bin_4,4,trial2,brow,9.6081,FALSE
pp481,285,bin_5,5,trial2,brow,7.6755,FALSE
pp481,285,bin_6,6,trial2,brow,9.0955,FALSE
pp481,285,bin_7,7,trial2,brow,11.2581,FALSE
pp481,285,bin_8,8,trial2,brow,15.0307,FALSE
pp481,285,bin_9,9,trial2,brow,10.6974,FALSE
pp481,285,bin_10,10,trial2,brow,7.1049,FALSE
pp481,285,bin_0,0,trial3,brow,10.2259,FALSE
pp481,285,bin_1,1,trial3,brow,11.1226,FALSE
pp481,285,bin_2,2,trial3,brow,10.0186,FALSE
pp481,285,bin_3,3,trial3,brow,14.8734,FALSE
pp481,285,bin_4,4,trial3,brow,12.7882,FALSE
pp481,285,bin_5,5,trial3,brow,9.3895,FALSE
pp481,285,bin_6,6,trial3,brow,10.0124,FALSE
pp481,285,bin_7,7,trial3,brow,11.022,FALSE
pp481,285,bin_8,8,trial3,brow,9.1853,FALSE
pp481,285,bin_9,9,trial3,brow,11.6877,FALSE
pp481,285,bin_10,10,trial3,brow,11.4509,FALSE
pp481,285,bin_0,0,trial4,brow,11.4429,FALSE
pp481,285,bin_1,1,trial4,brow,14.3175,FALSE
pp481,285,bin_2,2,trial4,brow,9.8228,FALSE
pp481,285,bin_3,3,trial4,brow,10.7433,FALSE
pp481,285,bin_4,4,trial4,brow,9.239,FALSE
pp481,285,bin_5,5,trial4,brow,10.3652,FALSE
pp481,285,bin_6,6,trial4,brow,7.3853,FALSE
pp481,285,bin_7,7,trial4,brow,10.7602,FALSE
pp481,285,bin_8,8,trial4,brow,10.6191,FALSE
pp481,285,bin_9,9,trial4,brow,9.512,FALSE
pp481,285,bin_10,10,trial4,brow,8.7575,FALSE
pp481,285,bin_0,0,trial6,brow,7.6974,FALSE
pp481,285,bin_1,1,trial6,brow,9.8993,FALSE
pp481,285,bin_2,2,trial6,brow,6.9557,FALSE
pp481,285,bin_3,3,trial6,brow,6.7443,FALSE
pp481,285,bin_4,4,trial6,brow,8.0154,FALSE
pp481,285,bin_5,5,trial6,brow,6.9318,FALSE
pp481,285,bin_6,6,trial6,brow,6.8221,FALSE
pp481,285,bin_7,7,trial6,brow,6.6868,FALSE
pp481,285,bin_8,8,trial6,brow,6.7604,FALSE
pp481,285,bin_9,9,trial6,brow,6.2183,FALSE
pp481,285,bin_10,10,trial6,brow,6.0842,FALSE
pp481,285,bin_0,0,trial7,brow,11.1542,FALSE
pp481,285,bin_1,1,trial7,brow,13.3443,FALSE
pp481,285,bin_2,2,trial7,brow,11.5997,FALSE
pp481,285,bin_3,3,trial7,brow,9.9376,FALSE
pp481,285,bin_4,4,trial7,brow,11.3508,FALSE
pp481,285,bin_5,5,trial7,brow,10.1425,FALSE
pp481,285,bin_6,6,trial7,brow,9.8299,FALSE
pp481,285,bin_7,7,trial7,brow,8.8641,FALSE
pp481,285,bin_8,8,trial7,brow,9.1383,FALSE
pp481,285,bin_9,9,trial7,brow,8.3762,FALSE
pp481,285,bin_10,10,trial7,brow,12.6256,FALSE
pp481,285,bin_0,0,trial8,brow,15.6678,FALSE
pp481,285,bin_1,1,trial8,brow,12.0524,FALSE
pp481,285,bin_2,2,trial8,brow,12.9591,FALSE
pp481,285,bin_3,3,trial8,brow,12.4816,FALSE
pp481,285,bin_4,4,trial8,brow,9.7806,FALSE
pp481,285,bin_5,5,trial8,brow,12.6084,FALSE
pp481,285,bin_6,6,trial8,brow,10.0229,FALSE
pp481,285,bin_7,7,trial8,brow,11.3922,FALSE
pp481,285,bin_8,8,trial8,brow,10.4132,FALSE
pp481,285,bin_9,9,trial8,brow,7.3272,FALSE
pp481,285,bin_10,10,trial8,brow,10.144,FALSE
pp481,285,bin_0,0,trial2,cheek,5.7501,FALSE
pp481,285,bin_1,1,trial2,cheek,4.4909,FALSE
pp481,285,bin_2,2,trial2,cheek,4.5228,FALSE
pp481,285,bin_3,3,trial2,cheek,6.217,FALSE
pp481,285,bin_4,4,trial2,cheek,8.5744,FALSE
pp481,285,bin_5,5,trial2,cheek,7.3297,FALSE
pp481,285,bin_6,6,trial2,cheek,8.7622,FALSE
pp481,285,bin_7,7,trial2,cheek,5.1608,FALSE
pp481,285,bin_8,8,trial2,cheek,7.6237,FALSE
pp481,285,bin_9,9,trial2,cheek,14.3669,FALSE
pp481,285,bin_10,10,trial2,cheek,15.1828,FALSE
pp481,285,bin_0,0,trial3,cheek,5.0833,FALSE
pp481,285,bin_1,1,trial3,cheek,4.0473,FALSE
pp481,285,bin_2,2,trial3,cheek,5.1242,FALSE
pp481,285,bin_3,3,trial3,cheek,5.2285,FALSE
pp481,285,bin_4,4,trial3,cheek,4.9847,FALSE
pp481,285,bin_5,5,trial3,cheek,5.2434,FALSE
pp481,285,bin_6,6,trial3,cheek,6.5131,FALSE
pp481,285,bin_7,7,trial3,cheek,5.7431,FALSE
pp481,285,bin_8,8,trial3,cheek,3.7891,FALSE
pp481,285,bin_9,9,trial3,cheek,4.0076,FALSE
pp481,285,bin_10,10,trial3,cheek,3.7067,FALSE
pp481,285,bin_0,0,trial4,cheek,3.241,FALSE
pp481,285,bin_1,1,trial4,cheek,4.8099,FALSE
pp481,285,bin_2,2,trial4,cheek,3.93,FALSE
pp481,285,bin_3,3,trial4,cheek,4.4654,FALSE
pp481,285,bin_4,4,trial4,cheek,3.9113,FALSE
pp481,285,bin_5,5,trial4,cheek,3.9614,FALSE
pp481,285,bin_6,6,trial4,cheek,5.2694,FALSE
pp481,285,bin_7,7,trial4,cheek,4.7231,FALSE
pp481,285,bin_8,8,trial4,cheek,4.4437,FALSE
pp481,285,bin_9,9,trial4,cheek,3.0486,FALSE
pp481,285,bin_10,10,trial4,cheek,5.4034,FALSE
pp481,285,bin_0,0,trial5,cheek,7.5924,FALSE
pp481,285,bin_1,1,trial5,cheek,10.0967,FALSE
pp481,285,bin_2,2,trial5,cheek,6.3453,FALSE
pp481,285,bin_3,3,trial5,cheek,6.9256,FALSE
pp481,285,bin_4,4,trial5,cheek,6.4945,FALSE
pp481,285,bin_5,5,trial5,cheek,8.0889,FALSE
pp481,285,bin_6,6,trial5,cheek,8.9349,FALSE
pp481,285,bin_7,7,trial5,cheek,10.1715,FALSE
pp481,285,bin_8,8,trial5,cheek,13.5069,FALSE
pp481,285,bin_9,9,trial5,cheek,15.0056,FALSE
pp481,285,bin_10,10,trial5,cheek,10.3172,FALSE
pp481,285,bin_0,0,trial6,cheek,7.0753,FALSE
pp481,285,bin_1,1,trial6,cheek,7.2857,FALSE
pp481,285,bin_2,2,trial6,cheek,7.7362,FALSE
pp481,285,bin_3,3,trial6,cheek,8.531,FALSE
pp481,285,bin_4,4,trial6,cheek,6.6821,FALSE
pp481,285,bin_5,5,trial6,cheek,9.7672,FALSE
pp481,285,bin_6,6,trial6,cheek,6.2822,FALSE
pp481,285,bin_7,7,trial6,cheek,8.4927,FALSE
pp481,285,bin_8,8,trial6,cheek,6.8409,FALSE
pp481,285,bin_9,9,trial6,cheek,6.7022,FALSE
pp481,285,bin_10,10,trial6,cheek,7.3228,FALSE
pp481,285,bin_0,0,trial7,cheek,4.426,FALSE
pp481,285,bin_1,1,trial7,cheek,3.7461,FALSE
pp481,285,bin_2,2,trial7,cheek,4.3464,FALSE
pp481,285,bin_3,3,trial7,cheek,4.6006,FALSE
pp481,285,bin_4,4,trial7,cheek,4.2308,FALSE
pp481,285,bin_5,5,trial7,cheek,4.2213,FALSE
pp481,285,bin_6,6,trial7,cheek,4.0431,FALSE
pp481,285,bin_7,7,trial7,cheek,4.2801,FALSE
pp481,285,bin_8,8,trial7,cheek,4.1725,FALSE
pp481,285,bin_9,9,trial7,cheek,5.5913,FALSE
pp481,285,bin_10,10,trial7,cheek,9.5736,FALSE
pp481,285,bin_0,0,trial8,cheek,4.0035,FALSE
pp481,285,bin_1,1,trial8,cheek,2.8729,FALSE
pp481,285,bin_2,2,trial8,cheek,3.9128,FALSE
pp481,285,bin_3,3,trial8,cheek,3.1515,FALSE
pp481,285,bin_4,4,trial8,cheek,4.314,FALSE
pp481,285,bin_5,5,trial8,cheek,3.6004,FALSE
pp481,285,bin_6,6,trial8,cheek,3.6915,FALSE
pp481,285,bin_7,7,trial8,cheek,4.4159,FALSE
pp481,285,bin_8,8,trial8,cheek,7.4415,FALSE
pp481,285,bin_9,9,trial8,cheek,5.3733,FALSE
pp481,285,bin_10,10,trial8,cheek,5.2908,FALSE
pp481,913,bin_0,0,trial1,brow,7.302,FALSE
pp481,913,bin_1,1,trial1,brow,7.4461,FALSE
pp481,913,bin_2,2,trial1,brow,7.9961,FALSE
pp481,913,bin_3,3,trial1,brow,8.9169,FALSE
pp481,913,bin_4,4,trial1,brow,10.7588,FALSE
pp481,913,bin_5,5,trial1,brow,8.4423,FALSE
pp481,913,bin_6,6,trial1,brow,6.1158,FALSE
pp481,913,bin_7,7,trial1,brow,10.0808,FALSE
pp481,913,bin_8,8,trial1,brow,7.6194,FALSE
pp481,913,bin_9,9,trial1,brow,8.8972,FALSE
pp481,913,bin_10,10,trial1,brow,7.9732,FALSE
pp481,913,bin_0,0,trial2,brow,12.611,FALSE
pp481,913,bin_1,1,trial2,brow,7.7293,FALSE
pp481,913,bin_2,2,trial2,brow,6.5443,FALSE
pp481,913,bin_3,3,trial2,brow,6.8686,FALSE
pp481,913,bin_4,4,trial2,brow,6.5886,FALSE
pp481,913,bin_5,5,trial2,brow,7.4421,FALSE
pp481,913,bin_6,6,trial2,brow,6.1661,FALSE
pp481,913,bin_7,7,trial2,brow,7.3055,FALSE
pp481,913,bin_8,8,trial2,brow,14.2235,FALSE
pp481,913,bin_9,9,trial2,brow,10.3891,FALSE
pp481,913,bin_10,10,trial2,brow,7.7974,FALSE
pp481,913,bin_0,0,trial3,brow,9.7493,FALSE
pp481,913,bin_1,1,trial3,brow,9.9201,FALSE
pp481,913,bin_2,2,trial3,brow,8.6359,FALSE
pp481,913,bin_3,3,trial3,brow,10.1059,FALSE
pp481,913,bin_4,4,trial3,brow,12.3173,FALSE
pp481,913,bin_5,5,trial3,brow,10.3649,FALSE
pp481,913,bin_6,6,trial3,brow,12.6905,FALSE
pp481,913,bin_7,7,trial3,brow,11.8695,FALSE
pp481,913,bin_8,8,trial3,brow,9.788,FALSE
pp481,913,bin_9,9,trial3,brow,10.6159,FALSE
pp481,913,bin_10,10,trial3,brow,13.5253,FALSE
pp481,913,bin_0,0,trial4,brow,8.9569,FALSE
pp481,913,bin_1,1,trial4,brow,8.9929,FALSE
pp481,913,bin_2,2,trial4,brow,9.1798,FALSE
pp481,913,bin_3,3,trial4,brow,10.0826,FALSE
