pp_no,condition,bin,bin_no,trial,muscle,rms,outlier1.5SD
pp481,285,bin_0,0,trial5,brow,16.7097,TRUE
pp481,285,bin_1,1,trial5,brow,8.532,TRUE
pp481,285,bin_2,2,trial5,brow,8.099,TRUE
pp481,285,bin_3,3,trial5,brow,5.9809,TRUE
pp481,285,bin_4,4,trial5,brow,6.7046,TRUE
pp481,285,bin_5,5,trial5,brow,7.2874,TRUE
pp481,285,bin_6,6,trial5,brow,8.2326,TRUE
pp481,285,bin_7,7,trial5,brow,8.1536,TRUE
pp481,285,bin_8,8,trial5,brow,8.2399,TRUE
pp481,285,bin_9,9,trial5,brow,6.5698,TRUE
pp481,285,bin_10,10,trial5,brow,7.3157,TRUE
pp481,285,bin_0,0,trial1,cheek,23.2327,TRUE
pp481,285,bin_1,1,trial1,cheek,17.6087,TRUE
pp481,285,bin_2,2,trial1,cheek,17.943,TRUE
pp481,285,bin_3,3,trial1,cheek,16.5596,TRUE
pp481,285,bin_4,4,trial1,cheek,18.0215,TRUE
pp481,285,bin_5,5,trial1,cheek,12.6041,TRUE
pp481,285,bin_6,6,trial1,cheek,5.7069,TRUE
pp481,285,bin_7,7,trial1,cheek,8.6367,TRUE
pp481,285,bin_8,8,trial1,cheek,10.1104,TRUE
pp481,285,bin_9,9,trial1,cheek,16.219,TRUE
pp481,285,bin_10,10,trial1,cheek,11.2995,TRUE
pp481,913,bin_0,0,trial5,brow,42.6509,TRUE
pp481,913,bin_1,1,trial5,brow,28.1822,TRUE
pp481,913,bin_2,2,trial5,brow,23.7197,TRUE
pp481,913,bin_3,3,trial5,brow,15.1493,TRUE
pp481,913,bin_4,4,trial5,brow,10.1932,TRUE
pp481,913,bin_5,5,trial5,brow,13.1167,TRUE
pp481,913,bin_6,6,trial5,brow,6.5398,TRUE
pp481,913,bin_7,7,trial5,brow,7.744,TRUE
pp481,913,bin_8,8,trial5,brow,9.2482,TRUE
pp481,913,bin_9,9,trial5,brow,10.0322,TRUE
pp481,913,bin_10,10,trial5,brow,7.7134,TRUE
pp481,913,bin_0,0,trial6,cheek,37.2574,TRUE
pp481,913,bin_1,1,trial6,cheek,33.7568,TRUE
pp481,913,bin_2,2,trial6,cheek,32.1395,TRUE
pp481,913,bin_3,3,trial6,cheek,27.618,TRUE
pp481,913,bin_4,4,trial6,cheek,17.0776,TRUE
pp481,913,bin_5,5,trial6,cheek,11.6856,TRUE
pp481,913,bin_6,6,trial6,cheek,8.8552,TRUE
pp481,913,bin_7,7,trial6,cheek,9.6756,TRUE
pp481,913,bin_8,8,trial6,cheek,6.5272,TRUE
pp481,913,bin_9,9,trial6,cheek,4.591,TRUE
pp481,913,bin_10,10,trial6,cheek,3.2624,TRUE
pp4810,285,bin_0,0,trial6,cheek,12.3828,TRUE
pp4810,285,bin_1,1,trial6,cheek,12.1332,TRUE
pp4810,285,bin_2,2,trial6,cheek,7.602,TRUE
pp4810,285,bin_3,3,trial6,cheek,4.074,TRUE
pp4810,285,bin_4,4,trial6,cheek,3.7526,TRUE
pp4810,285,bin_5,5,trial6,cheek,7.6663,TRUE
pp4810,285,bin_6,6,trial6,cheek,8.9432,TRUE
pp4810,285,bin_7,7,trial6,cheek,5.2794,TRUE
pp4810,285,bin_8,8,trial6,cheek,6.9655,TRUE
pp4810,285,bin_9,9,trial6,cheek,4.8246,TRUE
pp4810,285,bin_10,10,trial6,cheek,7.1153,TRUE
pp4810,913,bin_0,0,trial5,brow,57.6115,TRUE
pp4810,913,bin_1,1,trial5,brow,58.518,TRUE
pp4810,913,bin_2,2,trial5,brow,44.9302,TRUE
pp4810,913,bin_3,3,trial5,brow,30.3062,TRUE
pp4810,913,bin_4,4,trial5,brow,23.6633,TRUE
pp4810,913,bin_5,5,trial5,brow,16.3496,TRUE
pp4810,913,bin_6,6,trial5,brow,11.9109,TRUE
pp4810,913,bin_7,7,trial5,brow,5.5657,TRUE
pp4810,913,bin_8,8,trial5,brow,4.8301,TRUE
pp4810,913,bin_9,9,trial5,brow,5.5672,TRUE
pp4810,913,bin_10,10,trial5,brow,5.6636,TRUE
pp4810,913,bin_0,0,trial5,cheek,51.6291,TRUE
pp4810,913,bin_1,1,trial5,cheek,28.8185,TRUE
pp4810,913,bin_2,2,trial5,cheek,59.9021,TRUE
pp4810,913,bin_3,3,trial5,cheek,87.1256,TRUE
