"","pp_no","condition","trial","muscle","bin","Zdiff"
"1","pp481","429","trial1","brow","diff_bin1",-0.0722255700099351
"2","pp481","429","trial1","brow","diff_bin2",0.0283719882191617
"3","pp481","429","trial1","brow","diff_bin3",-0.185680722900202
"4","pp481","429","trial1","brow","diff_bin4",-0.244704298391972
"5","pp481","429","trial1","brow","diff_bin5",-0.184729523295166
"6","pp481","429","trial1","brow","diff_bin6",-0.279849483798714
"7","pp481","429","trial1","brow","diff_bin7",0.0212707911677764
"8","pp481","429","trial1","brow","diff_bin8",-0.572425362313075
"9","pp481","429","trial1","brow","diff_bin9",-0.410229429661336
"10","pp481","429","trial1","brow","diff_bin10",-0.47561620251093
"11","pp481","429","trial1","cheek","diff_bin1",-0.507430231260839
"12","pp481","429","trial1","cheek","diff_bin2",-0.540271000408509
"13","pp481","429","trial1","cheek","diff_bin3",-0.437836166484763
"14","pp481","429","trial1","cheek","diff_bin4",-0.239837873269062
"15","pp481","429","trial1","cheek","diff_bin5",-0.0578075787528613
"16","pp481","429","trial1","cheek","diff_bin6",-0.637815176231336
"17","pp481","429","trial1","cheek","diff_bin7",-0.191860517299048
"18","pp481","429","trial1","cheek","diff_bin8",0.194305846349507
"19","pp481","429","trial1","cheek","diff_bin9",0.412404744359984
"20","pp481","429","trial1","cheek","diff_bin10",0.511342757741573
"21","pp481","429","trial2","brow","diff_bin1",-0.456411810485127
"22","pp481","429","trial2","brow","diff_bin2",-0.37915144256578
"23","pp481","429","trial2","brow","diff_bin3",-0.330230262879214
"24","pp481","429","trial2","brow","diff_bin4",-0.711792504443963
"25","pp481","429","trial2","brow","diff_bin5",-0.23292910328136
"26","pp481","429","trial2","brow","diff_bin6",-0.843615649707328
"27","pp481","429","trial2","brow","diff_bin7",-0.633843336810625
"28","pp481","429","trial2","brow","diff_bin8",-0.905706023925679
"29","pp481","429","trial2","brow","diff_bin9",-0.313699069743425
"30","pp481","429","trial2","brow","diff_bin10",0.323801465548629
"31","pp481","429","trial2","cheek","diff_bin1",-0.541958277453326
"32","pp481","429","trial2","cheek","diff_bin2",-0.325082043968078
"33","pp481","429","trial2","cheek","diff_bin3",-0.509044148434142
"34","pp481","429","trial2","cheek","diff_bin4",-0.444536368083022
"35","pp481","429","trial2","cheek","diff_bin5",-0.658478206707718
"36","pp481","429","trial2","cheek","diff_bin6",-0.324177272219408
"37","pp481","429","trial2","cheek","diff_bin7",-0.0933626631465415
"38","pp481","429","trial2","cheek","diff_bin8",-0.0204918574428501
"39","pp481","429","trial2","cheek","diff_bin9",-0.451970168396418
"40","pp481","429","trial2","cheek","diff_bin10",0.455466988938576
"41","pp481","429","trial3","brow","diff_bin1",NA
"42","pp481","429","trial3","brow","diff_bin2",NA
"43","pp481","429","trial3","brow","diff_bin3",NA
"44","pp481","429","trial3","brow","diff_bin4",NA
"45","pp481","429","trial3","brow","diff_bin5",NA
"46","pp481","429","trial3","brow","diff_bin6",NA
"47","pp481","429","trial3","brow","diff_bin7",NA
