"","pp_no","condition","trial","muscle","bin","Zdiff"
"1","pp481","285","trial1","brow","diff_bin1",0.0874685498497509
"2","pp481","285","trial1","brow","diff_bin2",0.448216528140029
"3","pp481","285","trial1","brow","diff_bin3",-0.383611613085127
"4","pp481","285","trial1","brow","diff_bin4",-1.72166039917532
"5","pp481","285","trial1","brow","diff_bin5",-1.70332484825895
"6","pp481","285","trial1","brow","diff_bin6",-0.653702250061937
"7","pp481","285","trial1","brow","diff_bin7",-0.719774009190148
"8","pp481","285","trial1","brow","diff_bin8",0.395697132732614
"9","pp481","285","trial1","brow","diff_bin9",-0.037659627186495
"10","pp481","285","trial1","brow","diff_bin10",-0.893435592304163
"11","pp481","285","trial1","cheek","diff_bin1",NA
"12","pp481","285","trial1","cheek","diff_bin2",NA
"13","pp481","285","trial1","cheek","diff_bin3",NA
"14","pp481","285","trial1","cheek","diff_bin4",NA
"15","pp481","285","trial1","cheek","diff_bin5",NA
"16","pp481","285","trial1","cheek","diff_bin6",NA
"17","pp481","285","trial1","cheek","diff_bin7",NA
"18","pp481","285","trial1","cheek","diff_bin8",NA
"19","pp481","285","trial1","cheek","diff_bin9",NA
"20","pp481","285","trial1","cheek","diff_bin10",NA
"21","pp481","285","trial2","brow","diff_bin1",0.216487052471731
"22","pp481","285","trial2","brow","diff_bin2",-0.721272741178095
"23","pp481","285","trial2","brow","diff_bin3",-0.246142813084297
"24","pp481","285","trial2","brow","diff_bin4",-0.562726029602097
"25","pp481","285","trial2","brow","diff_bin5",-1.17899186788
"26","pp481","285","trial2","brow","diff_bin6",-0.726183480032219
"27","pp481","285","trial2","brow","diff_bin7",-0.036575438088831
"28","pp481","285","trial2","brow","diff_bin8",1.16642802951296
"29","pp481","285","trial2","brow","diff_bin9",-0.21537097545943
"30","pp481","285","trial2","brow","diff_bin10",-1.36094430879968
"31","pp481","285","trial2","cheek","diff_bin1",-0.477900167016248
"32","pp481","285","trial2","cheek","diff_bin2",-0.465793261578019
"33","pp481","285","trial2","cheek","diff_bin3",0.177201070504992
"34","pp481","285","trial2","cheek","diff_bin4",1.07189758712197
"35","pp481","285","trial2","cheek","diff_bin5",0.599500558941284
"36","pp481","285","trial2","cheek","diff_bin6",1.14317272321287
"37","pp481","285","trial2","cheek","diff_bin7",-0.223655152813433
"38","pp481","285","trial2","cheek","diff_bin8",0.711081442917442
"39","pp481","285","trial2","cheek","diff_bin9",3.27030667022364
"40","pp481","285","trial2","cheek","diff_bin10",3.57996259959829
"41","pp481","285","trial3","brow","diff_bin1",0.285938930551483
"42","pp481","285","trial3","brow","diff_bin2",-0.0661036470428486
"43","pp481","285","trial3","brow","diff_bin3",1.48199083276237
"44","pp481","285","trial3","brow","diff_bin4",0.817064036748147
"45","pp481","285","trial3","brow","diff_bin5",-0.26671051802527
