pp_no,condition,trial,muscle,bin,Zdiff
pp481,429,trial1,brow,diff_bin1,-0.0722255700099351
pp481,429,trial1,brow,diff_bin2,0.0283719882191617
pp481,429,trial1,brow,diff_bin3,-0.185680722900202
pp481,429,trial1,brow,diff_bin4,-0.244704298391972
pp481,429,trial1,brow,diff_bin5,-0.184729523295166
pp481,429,trial1,brow,diff_bin6,-0.279849483798714
pp481,429,trial1,brow,diff_bin7,0.0212707911677764
pp481,429,trial1,brow,diff_bin8,-0.572425362313075
pp481,429,trial1,brow,diff_bin9,-0.410229429661336
pp481,429,trial1,brow,diff_bin10,-0.47561620251093
pp481,429,trial1,cheek,diff_bin1,-0.507430231260839
pp481,429,trial1,cheek,diff_bin2,-0.540271000408509
pp481,429,trial1,cheek,diff_bin3,-0.437836166484763
pp481,429,trial1,cheek,diff_bin4,-0.239837873269062
pp481,429,trial1,cheek,diff_bin5,-0.0578075787528613
pp481,429,trial1,cheek,diff_bin6,-0.637815176231336
pp481,429,trial1,cheek,diff_bin7,-0.191860517299048
pp481,429,trial1,cheek,diff_bin8,0.194305846349507
pp481,429,trial1,cheek,diff_bin9,0.412404744359984
pp481,429,trial1,cheek,diff_bin10,0.511342757741573
pp481,429,trial2,brow,diff_bin1,-0.456411810485127
pp481,429,trial2,brow,diff_bin2,-0.37915144256578
pp481,429,trial2,brow,diff_bin3,-0.330230262879214
pp481,429,trial2,brow,diff_bin4,-0.711792504443963
pp481,429,trial2,brow,diff_bin5,-0.23292910328136
pp481,429,trial2,brow,diff_bin6,-0.843615649707328
pp481,429,trial2,brow,diff_bin7,-0.633843336810625
pp481,429,trial2,brow,diff_bin8,-0.905706023925679
pp481,429,trial2,brow,diff_bin9,-0.313699069743425
pp481,429,trial2,brow,diff_bin10,NA
pp481,429,trial2,cheek,diff_bin1,-0.541958277453326
pp481,429,trial2,cheek,diff_bin2,-0.325082043968078
pp481,429,trial2,cheek,diff_bin3,-0.509044148434142
pp481,429,trial2,cheek,diff_bin4,-0.444536368083022
pp481,429,trial2,cheek,diff_bin5,-0.658478206707718
pp481,429,trial2,cheek,diff_bin6,-0.324177272219408
pp481,429,trial2,cheek,diff_bin7,-0.0933626631465415
pp481,429,trial2,cheek,diff_bin8,-0.0204918574428501
pp481,429,trial2,cheek,diff_bin9,-0.451970168396418
pp481,429,trial2,cheek,diff_bin10,NA
pp481,429,trial3,brow,diff_bin1,NA
pp481,429,trial3,brow,diff_bin2,NA
pp481,429,trial3,brow,diff_bin3,NA
pp481,429,trial3,brow,diff_bin4,NA
pp481,429,trial3,brow,diff_bin5,NA
pp481,429,trial3,brow,diff_bin6,NA
pp481,429,trial3,brow,diff_bin7,NA
pp481,429,trial3,brow,diff_bin8,NA
pp481,429,trial3,brow,diff_bin9,NA
pp481,429,trial3,brow,diff_bin10,NA
pp481,429,trial3,cheek,diff_bin1,-0.210909630602127
pp481,429,trial3,cheek,diff_bin2,-0.59600004946848
pp481,429,trial3,cheek,diff_bin3,-0.327502919728033
pp481,429,trial3,cheek,diff_bin4,-0.0511562837356115
pp481,429,trial3,cheek,diff_bin5,-0.201617380210381
pp481,429,trial3,cheek,diff_bin6,-0.676035669290017
pp481,429,trial3,cheek,diff_bin7,-0.750716018491048
pp481,429,trial3,cheek,diff_bin8,-0.684129708447038
pp481,429,trial3,cheek,diff_bin9,-0.109966447399161
pp481,429,trial3,cheek,diff_bin10,NA
pp481,429,trial4,brow,diff_bin1,-0.267073889103496
pp481,429,trial4,brow,diff_bin2,-0.145861539434234
pp481,429,trial4,brow,diff_bin3,-0.0577115760365491
pp481,429,trial4,brow,diff_bin4,-0.161375932992226
pp481,429,trial4,brow,diff_bin5,-0.231272703969144
pp481,429,trial4,brow,diff_bin6,-0.22984590456159
pp481,429,trial4,brow,diff_bin7,-0.302120674551096
pp481,429,trial4,brow,diff_bin8,-0.270813087550877
