pp_no,condition,trial,muscle,bin,Zdiff
pp481,285,trial1,brow,diff_bin1,0.0874685498497509
pp481,285,trial1,brow,diff_bin2,0.448216528140029
pp481,285,trial1,brow,diff_bin3,-0.383611613085127
pp481,285,trial1,brow,diff_bin4,-1.72166039917532
pp481,285,trial1,brow,diff_bin5,-1.70332484825895
pp481,285,trial1,brow,diff_bin6,-0.653702250061937
pp481,285,trial1,brow,diff_bin7,-0.719774009190148
pp481,285,trial1,brow,diff_bin8,0.395697132732614
pp481,285,trial1,brow,diff_bin9,-0.037659627186495
pp481,285,trial1,brow,diff_bin10,-0.893435592304163
pp481,285,trial1,cheek,diff_bin1,NA
pp481,285,trial1,cheek,diff_bin2,NA
pp481,285,trial1,cheek,diff_bin3,NA
pp481,285,trial1,cheek,diff_bin4,NA
pp481,285,trial1,cheek,diff_bin5,NA
pp481,285,trial1,cheek,diff_bin6,NA
pp481,285,trial1,cheek,diff_bin7,NA
pp481,285,trial1,cheek,diff_bin8,NA
pp481,285,trial1,cheek,diff_bin9,NA
pp481,285,trial1,cheek,diff_bin10,NA
pp481,285,trial2,brow,diff_bin1,0.216487052471731
pp481,285,trial2,brow,diff_bin2,-0.721272741178095
pp481,285,trial2,brow,diff_bin3,-0.246142813084297
pp481,285,trial2,brow,diff_bin4,-0.56272602960209706
pp481,285,trial2,brow,diff_bin5,-1.17899186788
pp481,285,trial2,brow,diff_bin6,-0.726183480032219
pp481,285,trial2,brow,diff_bin7,-0.036575438088831
pp481,285,trial2,brow,diff_bin8,NA
pp481,285,trial2,brow,diff_bin9,-0.21537097545943
pp481,285,trial2,brow,diff_bin10,-1.36094430879968
pp481,285,trial2,cheek,diff_bin1,-0.477900167016248
pp481,285,trial2,cheek,diff_bin2,-0.465793261578019
pp481,285,trial2,cheek,diff_bin3,0.177201070504992
pp481,285,trial2,cheek,diff_bin4,1.07189758712197
pp481,285,trial2,cheek,diff_bin5,0.599500558941284
pp481,285,trial2,cheek,diff_bin6,1.14317272321287
pp481,285,trial2,cheek,diff_bin7,-0.223655152813433
pp481,285,trial2,cheek,diff_bin8,0.711081442917442
pp481,285,trial2,cheek,diff_bin9,3.27030667022364
pp481,285,trial2,cheek,diff_bin10,3.57996259959829
pp481,285,trial3,brow,diff_bin1,0.285938930551483
pp481,285,trial3,brow,diff_bin2,-0.0661036470428486
pp481,285,trial3,brow,diff_bin3,NA
pp481,285,trial3,brow,diff_bin4,0.817064036748147
pp481,285,trial3,brow,diff_bin5,-0.26671051802527
pp481,285,trial3,brow,diff_bin6,-0.0680806977503529
pp481,285,trial3,brow,diff_bin7,0.253859688426492
pp481,285,trial3,brow,diff_bin8,-0.331825639714367
pp481,285,trial3,brow,diff_bin9,0.466137536166117
pp481,285,trial3,brow,diff_bin10,0.390626954305304
pp481,285,trial3,cheek,diff_bin1,-0.393189781630268
pp481,285,trial3,cheek,diff_bin2,0.015522646784438
pp481,285,trial3,cheek,diff_bin3,0.0551072937188367
pp481,285,trial3,cheek,diff_bin4,-0.0374213440817997
pp481,285,trial3,cheek,diff_bin5,0.0607622432808936
pp481,285,trial3,cheek,diff_bin6,0.542647441867718
pp481,285,trial3,cheek,diff_bin7,0.250411793358736
pp481,285,trial3,cheek,diff_bin8,-0.491183605584838
pp481,285,trial3,cheek,diff_bin9,-0.408256996235211
pp481,285,trial3,cheek,diff_bin10,-0.522456615243462
pp481,285,trial4,brow,diff_bin1,NA
pp481,285,trial4,brow,diff_bin2,-0.516616105036753
pp481,285,trial4,brow,diff_bin3,-0.223087850801625
pp481,285,trial4,brow,diff_bin4,-0.702777750688538
pp481,285,trial4,brow,diff_bin5,-0.343656056044756
pp481,285,trial4,brow,diff_bin6,-1.29388402431771
pp481,285,trial4,brow,diff_bin7,-0.217698793227944
pp481,285,trial4,brow,diff_bin8,-0.262692640780987
pp481,285,trial4,brow,diff_bin9,-0.61572374372907
pp481,285,trial4,brow,diff_bin10,-0.8563180596665
pp481,285,trial4,cheek,diff_bin1,0.595439622007458
pp481,285,trial4,cheek,diff_bin2,0.261493976393103
pp481,285,trial4,cheek,diff_bin3,0.464692633810907
pp481,285,trial4,cheek,diff_bin4,0.254396824929313
pp481,285,trial4,cheek,diff_bin5,0.273411118423209
pp481,285,trial4,cheek,diff_bin6,0.769832194072234
pp481,285,trial4,cheek,diff_bin7,0.562496694357355
pp481,285,trial4,cheek,diff_bin8,0.456456901898381
pp481,285,trial4,cheek,diff_bin9,-0.0730209594456211
pp481,285,trial4,cheek,diff_bin10,0.820688787449122
pp481,285,trial5,brow,diff_bin1,NA
pp481,285,trial5,brow,diff_bin2,NA
pp481,285,trial5,brow,diff_bin3,NA
pp481,285,trial5,brow,diff_bin4,NA
pp481,285,trial5,brow,diff_bin5,NA
pp481,285,trial5,brow,diff_bin6,NA
pp481,285,trial5,brow,diff_bin7,NA
pp481,285,trial5,brow,diff_bin8,NA
pp481,285,trial5,brow,diff_bin9,NA
pp481,285,trial5,brow,diff_bin10,NA
pp481,285,trial5,cheek,diff_bin1,0.950449005923436
