file_name,bin,bin_no,trial,muscle,rms
pp609_429.xlsx,bin_0,0,trial1,brow,4.0288
pp609_429.xlsx,bin_0,0,trial1,cheek,7.0304
pp609_429.xlsx,bin_1,1,trial1,brow,4.3006
pp609_429.xlsx,bin_1,1,trial1,cheek,4.3983
pp609_429.xlsx,bin_2,2,trial1,brow,3.2589
pp609_429.xlsx,bin_2,2,trial1,cheek,6.0142
pp609_429.xlsx,bin_3,3,trial1,brow,3.5709
pp609_429.xlsx,bin_3,3,trial1,cheek,5.1926
pp609_429.xlsx,bin_4,4,trial1,brow,3.8522
pp609_429.xlsx,bin_4,4,trial1,cheek,4.3832
pp609_429.xlsx,bin_5,5,trial1,brow,3.5266
pp609_429.xlsx,bin_5,5,trial1,cheek,4.5638
pp609_429.xlsx,bin_6,6,trial1,brow,4.0102
pp609_429.xlsx,bin_6,6,trial1,cheek,3.7946
pp609_429.xlsx,bin_7,7,trial1,brow,3.3383
pp609_429.xlsx,bin_7,7,trial1,cheek,5.893
pp609_429.xlsx,bin_8,8,trial1,brow,3.9824
pp609_429.xlsx,bin_8,8,trial1,cheek,5.3884
pp609_429.xlsx,bin_9,9,trial1,brow,3.6805
pp609_429.xlsx,bin_9,9,trial1,cheek,3.7531
pp609_429.xlsx,bin_10,10,trial1,brow,4.4748
pp609_429.xlsx,bin_10,10,trial1,cheek,5.5564
pp609_429.xlsx,bin_0,0,trial2,brow,3.6237
pp609_429.xlsx,bin_0,0,trial2,cheek,4.2286
pp609_429.xlsx,bin_1,1,trial2,brow,3.8318
pp609_429.xlsx,bin_1,1,trial2,cheek,4.7533
pp609_429.xlsx,bin_2,2,trial2,brow,3.2095
pp609_429.xlsx,bin_2,2,trial2,cheek,4.8964
pp609_429.xlsx,bin_3,3,trial2,brow,3.6277
pp609_429.xlsx,bin_3,3,trial2,cheek,4.2196
pp609_429.xlsx,bin_4,4,trial2,brow,3.2867
pp609_429.xlsx,bin_4,4,trial2,cheek,4.2022
pp609_429.xlsx,bin_5,5,trial2,brow,3.8362
pp609_429.xlsx,bin_5,5,trial2,cheek,5.0078
pp609_429.xlsx,bin_6,6,trial2,brow,4.8865
pp609_429.xlsx,bin_6,6,trial2,cheek,6.4603
pp609_429.xlsx,bin_7,7,trial2,brow,5.0047
pp609_429.xlsx,bin_7,7,trial2,cheek,6.883
pp609_429.xlsx,bin_8,8,trial2,brow,4.1161
pp609_429.xlsx,bin_8,8,trial2,cheek,4.2856
pp609_429.xlsx,bin_9,9,trial2,brow,3.716
pp609_429.xlsx,bin_9,9,trial2,cheek,3.7977
pp609_429.xlsx,bin_10,10,trial2,brow,4.6124
pp609_429.xlsx,bin_10,10,trial2,cheek,4.28
pp609_429.xlsx,bin_0,0,trial3,brow,4.055
pp609_429.xlsx,bin_0,0,trial3,cheek,4.0516
pp609_429.xlsx,bin_1,1,trial3,brow,4.7269
pp609_429.xlsx,bin_1,1,trial3,cheek,3.1587
pp609_429.xlsx,bin_2,2,trial3,brow,4.8132
pp609_429.xlsx,bin_2,2,trial3,cheek,4.5689
pp609_429.xlsx,bin_3,3,trial3,brow,4.4806
pp609_429.xlsx,bin_3,3,trial3,cheek,4.9019
pp609_429.xlsx,bin_4,4,trial3,brow,3.8776
pp609_429.xlsx,bin_4,4,trial3,cheek,4.2733
pp609_429.xlsx,bin_5,5,trial3,brow,4.3348
pp609_429.xlsx,bin_5,5,trial3,cheek,3.3327
pp609_429.xlsx,bin_6,6,trial3,brow,4.6512
pp609_429.xlsx,bin_6,6,trial3,cheek,3.7516
pp609_429.xlsx,bin_7,7,trial3,brow,3.9704
pp609_429.xlsx,bin_7,7,trial3,cheek,4.1795
pp609_429.xlsx,bin_8,8,trial3,brow,4.6557
pp609_429.xlsx,bin_8,8,trial3,cheek,5.7322
pp609_429.xlsx,bin_9,9,trial3,brow,4.8083
pp609_429.xlsx,bin_9,9,trial3,cheek,7.0575
pp609_429.xlsx,bin_10,10,trial3,brow,5.2704
pp609_429.xlsx,bin_10,10,trial3,cheek,3.7557
pp609_429.xlsx,bin_0,0,trial4,brow,4.4328
pp609_429.xlsx,bin_0,0,trial4,cheek,4.4458
pp609_429.xlsx,bin_1,1,trial4,brow,5.0098
pp609_429.xlsx,bin_1,1,trial4,cheek,3.0992
pp609_429.xlsx,bin_2,2,trial4,brow,4.2187
pp609_429.xlsx,bin_2,2,trial4,cheek,4.1936
pp609_429.xlsx,bin_3,3,trial4,brow,5.3025
pp609_429.xlsx,bin_3,3,trial4,cheek,4.1819
pp609_429.xlsx,bin_4,4,trial4,brow,4.3052
pp609_429.xlsx,bin_4,4,trial4,cheek,2.6974
pp609_429.xlsx,bin_5,5,trial4,brow,5.3879
pp609_429.xlsx,bin_5,5,trial4,cheek,3.762
pp609_429.xlsx,bin_6,6,trial4,brow,5.5372
pp609_429.xlsx,bin_6,6,trial4,cheek,3.9616
pp609_429.xlsx,bin_7,7,trial4,brow,5.2142
pp609_429.xlsx,bin_7,7,trial4,cheek,3.086
pp609_429.xlsx,bin_8,8,trial4,brow,6.1075
pp609_429.xlsx,bin_8,8,trial4,cheek,3.4464
pp609_429.xlsx,bin_9,9,trial4,brow,4.9428
pp609_429.xlsx,bin_9,9,trial4,cheek,3.0366
pp609_429.xlsx,bin_10,10,trial4,brow,4.9908
pp609_429.xlsx,bin_10,10,trial4,cheek,3.9438
pp609_429.xlsx,bin_0,0,trial5,brow,11.6141
pp609_429.xlsx,bin_0,0,trial5,cheek,3.4491
pp609_429.xlsx,bin_1,1,trial5,brow,6.6286
pp609_429.xlsx,bin_1,1,trial5,cheek,4.0655
pp609_429.xlsx,bin_2,2,trial5,brow,9.6348
pp609_429.xlsx,bin_2,2,trial5,cheek,5.8212
pp609_429.xlsx,bin_3,3,trial5,brow,9.6268
pp609_429.xlsx,bin_3,3,trial5,cheek,4.8742
pp609_429.xlsx,bin_4,4,trial5,brow,7.7435
pp609_429.xlsx,bin_4,4,trial5,cheek,5.801
pp609_429.xlsx,bin_5,5,trial5,brow,5.0201
pp609_429.xlsx,bin_5,5,trial5,cheek,3.8652
pp609_429.xlsx,bin_6,6,trial5,brow,7.8638
pp609_429.xlsx,bin_6,6,trial5,cheek,4.0244
