file_name,bin,bin_no,trial,muscle,rms
pp481_429.xlsx,bin_0,0,trial1,brow,8.5941
pp481_429.xlsx,bin_0,0,trial1,cheek,6.6256
pp481_429.xlsx,bin_1,1,trial1,brow,8.1537
pp481_429.xlsx,bin_1,1,trial1,cheek,4.5505
pp481_429.xlsx,bin_2,2,trial1,brow,8.7671
pp481_429.xlsx,bin_2,2,trial1,cheek,4.4162
pp481_429.xlsx,bin_3,3,trial1,brow,7.4619
pp481_429.xlsx,bin_3,3,trial1,cheek,4.8351
pp481_429.xlsx,bin_4,4,trial1,brow,7.102
pp481_429.xlsx,bin_4,4,trial1,cheek,5.6448
pp481_429.xlsx,bin_5,5,trial1,brow,7.4677
pp481_429.xlsx,bin_5,5,trial1,cheek,6.3892
pp481_429.xlsx,bin_6,6,trial1,brow,6.8877
pp481_429.xlsx,bin_6,6,trial1,cheek,4.0173
pp481_429.xlsx,bin_7,7,trial1,brow,8.7238
pp481_429.xlsx,bin_7,7,trial1,cheek,5.841
pp481_429.xlsx,bin_8,8,trial1,brow,5.1037
pp481_429.xlsx,bin_8,8,trial1,cheek,7.4202
pp481_429.xlsx,bin_9,9,trial1,brow,6.0927
pp481_429.xlsx,bin_9,9,trial1,cheek,8.3121
pp481_429.xlsx,bin_10,10,trial1,brow,5.694
pp481_429.xlsx,bin_10,10,trial1,cheek,8.7167
pp481_429.xlsx,bin_0,0,trial2,brow,10.2982
pp481_429.xlsx,bin_0,0,trial2,cheek,7.2651
pp481_429.xlsx,bin_1,1,trial2,brow,7.5152
pp481_429.xlsx,bin_1,1,trial2,cheek,5.0488
pp481_429.xlsx,bin_2,2,trial2,brow,7.9863
pp481_429.xlsx,bin_2,2,trial2,cheek,5.9357
pp481_429.xlsx,bin_3,3,trial2,brow,8.2846
pp481_429.xlsx,bin_3,3,trial2,cheek,5.1834
pp481_429.xlsx,bin_4,4,trial2,brow,5.958
pp481_429.xlsx,bin_4,4,trial2,cheek,5.4472
pp481_429.xlsx,bin_5,5,trial2,brow,8.8779
pp481_429.xlsx,bin_5,5,trial2,cheek,4.5723
pp481_429.xlsx,bin_6,6,trial2,brow,5.1542
pp481_429.xlsx,bin_6,6,trial2,cheek,5.9394
pp481_429.xlsx,bin_7,7,trial2,brow,6.4333
pp481_429.xlsx,bin_7,7,trial2,cheek,6.8833
pp481_429.xlsx,bin_8,8,trial2,brow,4.7756
pp481_429.xlsx,bin_8,8,trial2,cheek,7.1813
pp481_429.xlsx,bin_9,9,trial2,brow,8.3854
pp481_429.xlsx,bin_9,9,trial2,cheek,5.4168
pp481_429.xlsx,bin_10,10,trial2,brow,12.2726
pp481_429.xlsx,bin_10,10,trial2,cheek,9.1277
pp481_429.xlsx,bin_0,0,trial3,brow,13.5665
pp481_429.xlsx,bin_0,0,trial3,cheek,6.3531
pp481_429.xlsx,bin_1,1,trial3,brow,12.8451
pp481_429.xlsx,bin_1,1,trial3,cheek,5.4906
pp481_429.xlsx,bin_2,2,trial3,brow,10.6346
pp481_429.xlsx,bin_2,2,trial3,cheek,3.9158
pp481_429.xlsx,bin_3,3,trial3,brow,10.2023
pp481_429.xlsx,bin_3,3,trial3,cheek,5.0138
pp481_429.xlsx,bin_4,4,trial3,brow,10.4927
pp481_429.xlsx,bin_4,4,trial3,cheek,6.1439
pp481_429.xlsx,bin_5,5,trial3,brow,10.5337
pp481_429.xlsx,bin_5,5,trial3,cheek,5.5286
pp481_429.xlsx,bin_6,6,trial3,brow,10.6708
pp481_429.xlsx,bin_6,6,trial3,cheek,3.5885
pp481_429.xlsx,bin_7,7,trial3,brow,8.9785
pp481_429.xlsx,bin_7,7,trial3,cheek,3.2831
pp481_429.xlsx,bin_8,8,trial3,brow,8.6716
pp481_429.xlsx,bin_8,8,trial3,cheek,3.5554
pp481_429.xlsx,bin_9,9,trial3,brow,8.3823
pp481_429.xlsx,bin_9,9,trial3,cheek,5.9034
pp481_429.xlsx,bin_10,10,trial3,brow,7.4027
