file_name,bin,bin_no,trial,muscle,rms
pp602_913.xlsx,bin_0,0,trial1,brow,14.8847
pp602_913.xlsx,bin_0,0,trial1,cheek,5.4621
pp602_913.xlsx,bin_1,1,trial1,brow,10.7077
pp602_913.xlsx,bin_1,1,trial1,cheek,11.3752
pp602_913.xlsx,bin_2,2,trial1,brow,8.5705
pp602_913.xlsx,bin_2,2,trial1,cheek,17.1885
pp602_913.xlsx,bin_3,3,trial1,brow,17.2834
pp602_913.xlsx,bin_3,3,trial1,cheek,17.2654
pp602_913.xlsx,bin_4,4,trial1,brow,90.9163
pp602_913.xlsx,bin_4,4,trial1,cheek,8.6512
pp602_913.xlsx,bin_5,5,trial1,brow,23.4476
pp602_913.xlsx,bin_5,5,trial1,cheek,7.6066
pp602_913.xlsx,bin_6,6,trial1,brow,9.0641
pp602_913.xlsx,bin_6,6,trial1,cheek,14.5288
pp602_913.xlsx,bin_7,7,trial1,brow,13.447
pp602_913.xlsx,bin_7,7,trial1,cheek,6.9938
pp602_913.xlsx,bin_8,8,trial1,brow,12.1561
pp602_913.xlsx,bin_8,8,trial1,cheek,6.5025
pp602_913.xlsx,bin_9,9,trial1,brow,11.6309
pp602_913.xlsx,bin_9,9,trial1,cheek,10.3046
pp602_913.xlsx,bin_10,10,trial1,brow,3.9035
pp602_913.xlsx,bin_10,10,trial1,cheek,5.7348
pp602_913.xlsx,bin_0,0,trial2,brow,9.5767
pp602_913.xlsx,bin_0,0,trial2,cheek,3.7947
pp602_913.xlsx,bin_1,1,trial2,brow,12.528
pp602_913.xlsx,bin_1,1,trial2,cheek,4.2257
pp602_913.xlsx,bin_2,2,trial2,brow,14.3853
pp602_913.xlsx,bin_2,2,trial2,cheek,2.6751
pp602_913.xlsx,bin_3,3,trial2,brow,13.96
pp602_913.xlsx,bin_3,3,trial2,cheek,3.725
pp602_913.xlsx,bin_4,4,trial2,brow,11.6305
pp602_913.xlsx,bin_4,4,trial2,cheek,3.2664
pp602_913.xlsx,bin_5,5,trial2,brow,11.3712
pp602_913.xlsx,bin_5,5,trial2,cheek,3.3579
pp602_913.xlsx,bin_6,6,trial2,brow,9.6146
pp602_913.xlsx,bin_6,6,trial2,cheek,4.6838
pp602_913.xlsx,bin_7,7,trial2,brow,7.3369
pp602_913.xlsx,bin_7,7,trial2,cheek,3.3255
pp602_913.xlsx,bin_8,8,trial2,brow,9.3278
pp602_913.xlsx,bin_8,8,trial2,cheek,4.3048
pp602_913.xlsx,bin_9,9,trial2,brow,3.5385
pp602_913.xlsx,bin_9,9,trial2,cheek,5.0015
pp602_913.xlsx,bin_10,10,trial2,brow,3.4195
pp602_913.xlsx,bin_10,10,trial2,cheek,4.6401
pp602_913.xlsx,bin_0,0,trial3,brow,15.8477
pp602_913.xlsx,bin_0,0,trial3,cheek,4.3873
pp602_913.xlsx,bin_1,1,trial3,brow,16.1139
pp602_913.xlsx,bin_1,1,trial3,cheek,3.2731
pp602_913.xlsx,bin_2,2,trial3,brow,15.1215
pp602_913.xlsx,bin_2,2,trial3,cheek,4.9935
pp602_913.xlsx,bin_3,3,trial3,brow,17.5491
pp602_913.xlsx,bin_3,3,trial3,cheek,8.7172
pp602_913.xlsx,bin_4,4,trial3,brow,18.1326
pp602_913.xlsx,bin_4,4,trial3,cheek,5.7645
pp602_913.xlsx,bin_5,5,trial3,brow,18.0439
pp602_913.xlsx,bin_5,5,trial3,cheek,3.5202
pp602_913.xlsx,bin_6,6,trial3,brow,19.3959
pp602_913.xlsx,bin_6,6,trial3,cheek,4.4309
pp602_913.xlsx,bin_7,7,trial3,brow,22.0194
pp602_913.xlsx,bin_7,7,trial3,cheek,6.0884
pp602_913.xlsx,bin_8,8,trial3,brow,20.2065
pp602_913.xlsx,bin_8,8,trial3,cheek,4.9811
pp602_913.xlsx,bin_9,9,trial3,brow,10.9626
pp602_913.xlsx,bin_9,9,trial3,cheek,5.1969
pp602_913.xlsx,bin_10,10,trial3,brow,14.1575
pp602_913.xlsx,bin_10,10,trial3,cheek,5.0651
pp602_913.xlsx,bin_0,0,trial4,brow,22.1242
pp602_913.xlsx,bin_0,0,trial4,cheek,3.0969
pp602_913.xlsx,bin_1,1,trial4,brow,23.9176
pp602_913.xlsx,bin_1,1,trial4,cheek,4.546
pp602_913.xlsx,bin_2,2,trial4,brow,17.6984
pp602_913.xlsx,bin_2,2,trial4,cheek,13.6449
pp602_913.xlsx,bin_3,3,trial4,brow,24.3532
pp602_913.xlsx,bin_3,3,trial4,cheek,7.0773
pp602_913.xlsx,bin_4,4,trial4,brow,25.7299
pp602_913.xlsx,bin_4,4,trial4,cheek,11.9506
pp602_913.xlsx,bin_5,5,trial4,brow,26.2274
pp602_913.xlsx,bin_5,5,trial4,cheek,6.0813
pp602_913.xlsx,bin_6,6,trial4,brow,20.208
pp602_913.xlsx,bin_6,6,trial4,cheek,3.506
pp602_913.xlsx,bin_7,7,trial4,brow,22.6814
pp602_913.xlsx,bin_7,7,trial4,cheek,2.544
pp602_913.xlsx,bin_8,8,trial4,brow,19.3014
pp602_913.xlsx,bin_8,8,trial4,cheek,3.497
pp602_913.xlsx,bin_9,9,trial4,brow,17.8031
pp602_913.xlsx,bin_9,9,trial4,cheek,2.8461
pp602_913.xlsx,bin_10,10,trial4,brow,21.5762
pp602_913.xlsx,bin_10,10,trial4,cheek,3.3079
pp602_913.xlsx,bin_0,0,trial5,brow,22.7464
pp602_913.xlsx,bin_0,0,trial5,cheek,5.0278
pp602_913.xlsx,bin_1,1,trial5,brow,21.4536
pp602_913.xlsx,bin_1,1,trial5,cheek,4.5087
pp602_913.xlsx,bin_2,2,trial5,brow,24.6921
pp602_913.xlsx,bin_2,2,trial5,cheek,3.6345
pp602_913.xlsx,bin_3,3,trial5,brow,25.0617
pp602_913.xlsx,bin_3,3,trial5,cheek,7.6723
pp602_913.xlsx,bin_4,4,trial5,brow,22.9275
pp602_913.xlsx,bin_4,4,trial5,cheek,8.9743
pp602_913.xlsx,bin_5,5,trial5,brow,22.4359
pp602_913.xlsx,bin_5,5,trial5,cheek,9.1713
pp602_913.xlsx,bin_6,6,trial5,brow,19.4029
pp602_913.xlsx,bin_6,6,trial5,cheek,19.04
pp602_913.xlsx,bin_7,7,trial5,brow,19.8978
pp602_913.xlsx,bin_7,7,trial5,cheek,8.9586
pp602_913.xlsx,bin_8,8,trial5,brow,23.6762
pp602_913.xlsx,bin_8,8,trial5,cheek,3.1059
pp602_913.xlsx,bin_9,9,trial5,brow,18.1968
pp602_913.xlsx,bin_9,9,trial5,cheek,2.8032
pp602_913.xlsx,bin_10,10,trial5,brow,20.3476
pp602_913.xlsx,bin_10,10,trial5,cheek,4.7376
pp602_913.xlsx,bin_0,0,trial6,brow,20.333
pp602_913.xlsx,bin_0,0,trial6,cheek,3.6744
pp602_913.xlsx,bin_1,1,trial6,brow,17.1392
pp602_913.xlsx,bin_1,1,trial6,cheek,2.3288
pp602_913.xlsx,bin_2,2,trial6,brow,13.4926
pp602_913.xlsx,bin_2,2,trial6,cheek,2.4773
pp602_913.xlsx,bin_3,3,trial6,brow,17.7692
pp602_913.xlsx,bin_3,3,trial6,cheek,2.8441
pp602_913.xlsx,bin_4,4,trial6,brow,21.279
pp602_913.xlsx,bin_4,4,trial6,cheek,2.9492
pp602_913.xlsx,bin_5,5,trial6,brow,21.9301
pp602_913.xlsx,bin_5,5,trial6,cheek,2.7361
pp602_913.xlsx,bin_6,6,trial6,brow,15.811
pp602_913.xlsx,bin_6,6,trial6,cheek,2.8979
pp602_913.xlsx,bin_7,7,trial6,brow,16.0184
pp602_913.xlsx,bin_7,7,trial6,cheek,2.7463
pp602_913.xlsx,bin_8,8,trial6,brow,18.6437
pp602_913.xlsx,bin_8,8,trial6,cheek,2.0773
pp602_913.xlsx,bin_9,9,trial6,brow,15.7136
pp602_913.xlsx,bin_9,9,trial6,cheek,2.6241
pp602_913.xlsx,bin_10,10,trial6,brow,20.073
pp602_913.xlsx,bin_10,10,trial6,cheek,2.5261
pp602_913.xlsx,bin_0,0,trial7,brow,20.6933
pp602_913.xlsx,bin_0,0,trial7,cheek,2.5708
pp602_913.xlsx,bin_1,1,trial7,brow,20.5707
pp602_913.xlsx,bin_1,1,trial7,cheek,1.8824
pp602_913.xlsx,bin_2,2,trial7,brow,24.3485
pp602_913.xlsx,bin_2,2,trial7,cheek,2.5805
pp602_913.xlsx,bin_3,3,trial7,brow,19.1774
pp602_913.xlsx,bin_3,3,trial7,cheek,1.8787
pp602_913.xlsx,bin_4,4,trial7,brow,19.3594
pp602_913.xlsx,bin_4,4,trial7,cheek,2.735
pp602_913.xlsx,bin_5,5,trial7,brow,20.4722
pp602_913.xlsx,bin_5,5,trial7,cheek,2.3821
pp602_913.xlsx,bin_6,6,trial7,brow,23.8457
pp602_913.xlsx,bin_6,6,trial7,cheek,2.7955
pp602_913.xlsx,bin_7,7,trial7,brow,22.6402
pp602_913.xlsx,bin_7,7,trial7,cheek,2.5843
pp602_913.xlsx,bin_8,8,trial7,brow,18.0045
pp602_913.xlsx,bin_8,8,trial7,cheek,3.3919
pp602_913.xlsx,bin_9,9,trial7,brow,20.5322
pp602_913.xlsx,bin_9,9,trial7,cheek,4.6673
pp602_913.xlsx,bin_10,10,trial7,brow,19.2318
pp602_913.xlsx,bin_10,10,trial7,cheek,2.3669
pp602_913.xlsx,bin_0,0,trial8,brow,22.5111
pp602_913.xlsx,bin_0,0,trial8,cheek,2.6567
pp602_913.xlsx,bin_1,1,trial8,brow,22.4626
pp602_913.xlsx,bin_1,1,trial8,cheek,2.7476
pp602_913.xlsx,bin_2,2,trial8,brow,19.7738
pp602_913.xlsx,bin_2,2,trial8,cheek,2.5525
pp602_913.xlsx,bin_3,3,trial8,brow,24.9466
pp602_913.xlsx,bin_3,3,trial8,cheek,9.6935
pp602_913.xlsx,bin_4,4,trial8,brow,23.348
pp602_913.xlsx,bin_4,4,trial8,cheek,3.0798
pp602_913.xlsx,bin_5,5,trial8,brow,16.2936
pp602_913.xlsx,bin_5,5,trial8,cheek,3.4592
pp602_913.xlsx,bin_6,6,trial8,brow,20.304
pp602_913.xlsx,bin_6,6,trial8,cheek,5.0559
pp602_913.xlsx,bin_7,7,trial8,brow,18.1574
pp602_913.xlsx,bin_7,7,trial8,cheek,2.3853
pp602_913.xlsx,bin_8,8,trial8,brow,19.566
pp602_913.xlsx,bin_8,8,trial8,cheek,2.3803
pp602_913.xlsx,bin_9,9,trial8,brow,25.3702
pp602_913.xlsx,bin_9,9,trial8,cheek,2.9034
pp602_913.xlsx,bin_10,10,trial8,brow,20.4823
pp602_913.xlsx,bin_10,10,trial8,cheek,2.5286
