file_name,bin,bin_no,trial,muscle,rms
pp604_429.xlsx,bin_0,0,trial1,brow,3.6057
pp604_429.xlsx,bin_0,0,trial1,cheek,4.0671
pp604_429.xlsx,bin_1,1,trial1,brow,2.8194
pp604_429.xlsx,bin_1,1,trial1,cheek,4.7251
pp604_429.xlsx,bin_2,2,trial1,brow,/Users/saharfatima/UNSW/Jenny Richmond - HONOURS2020/SAHAR/R_cleaning_analysing/R_cleaning/data/clean_data/faces
pp604_429.xlsx,bin_2,2,trial1,cheek,/Users/saharfatima/UNSW/Jenny Richmond - HONOURS2020/SAHAR/R_cleaning_analysing/R_cleaning/data/clean_data/faces
pp604_429.xlsx,bin_3,3,trial1,brow,4.0005
pp604_429.xlsx,bin_3,3,trial1,cheek,5.6408
pp604_429.xlsx,bin_4,4,trial1,brow,2.0718
pp604_429.xlsx,bin_4,4,trial1,cheek,5.687
pp604_429.xlsx,bin_5,5,trial1,brow,2.9594
pp604_429.xlsx,bin_5,5,trial1,cheek,3.0943
pp604_429.xlsx,bin_6,6,trial1,brow,2.2044
pp604_429.xlsx,bin_6,6,trial1,cheek,6.0961
pp604_429.xlsx,bin_7,7,trial1,brow,2.5164
pp604_429.xlsx,bin_7,7,trial1,cheek,4.8102
pp604_429.xlsx,bin_8,8,trial1,brow,2.0561
pp604_429.xlsx,bin_8,8,trial1,cheek,5.4068
pp604_429.xlsx,bin_9,9,trial1,brow,2.5634
pp604_429.xlsx,bin_9,9,trial1,cheek,5.018
pp604_429.xlsx,bin_10,10,trial1,brow,2.1316
pp604_429.xlsx,bin_10,10,trial1,cheek,4.7793
pp604_429.xlsx,bin_0,0,trial2,brow,4.1758
pp604_429.xlsx,bin_0,0,trial2,cheek,3.3646
pp604_429.xlsx,bin_1,1,trial2,brow,1.979
pp604_429.xlsx,bin_1,1,trial2,cheek,2.959
pp604_429.xlsx,bin_2,2,trial2,brow,/Users/saharfatima/UNSW/Jenny Richmond - HONOURS2020/SAHAR/R_cleaning_analysing/R_cleaning/data/clean_data/faces
pp604_429.xlsx,bin_2,2,trial2,cheek,2.5261
