pp_no,condition,bin,bin_no,trial,muscle,rms,outlier1.5SD
pp481,429,bin_0,0,trial1,brow,8.5941,FALSE
pp481,429,bin_1,1,trial1,brow,8.1537,FALSE
pp481,429,bin_2,2,trial1,brow,8.7671,FALSE
pp481,429,bin_3,3,trial1,brow,7.4619,FALSE
pp481,429,bin_4,4,trial1,brow,7.102,FALSE
pp481,429,bin_5,5,trial1,brow,7.4677,FALSE
pp481,429,bin_6,6,trial1,brow,6.8877,FALSE
pp481,429,bin_7,7,trial1,brow,8.7238,FALSE
pp481,429,bin_8,8,trial1,brow,5.1037,FALSE
pp481,429,bin_9,9,trial1,brow,6.0927,FALSE
pp481,429,bin_10,10,trial1,brow,5.694,FALSE
pp481,429,bin_11,11,trial1,brow,7.6318,FALSE
pp481,429,bin_12,12,trial1,brow,6.7203,FALSE
pp481,429,bin_13,13,trial1,brow,7.1506,FALSE
pp481,429,bin_14,14,trial1,brow,4.1283,FALSE
pp481,429,bin_15,15,trial1,brow,5.6426,FALSE
pp481,429,bin_16,16,trial1,brow,3.2013,FALSE
pp481,429,bin_17,17,trial1,brow,2.6007,FALSE
pp481,429,bin_18,18,trial1,brow,4.7136,FALSE
pp481,429,bin_19,19,trial1,brow,3.9931,FALSE
pp481,429,bin_20,20,trial1,brow,3.9837,FALSE
pp481,429,bin_0,0,trial2,brow,10.2982,FALSE
pp481,429,bin_1,1,trial2,brow,7.5152,FALSE
pp481,429,bin_2,2,trial2,brow,7.9863,FALSE
pp481,429,bin_3,3,trial2,brow,8.2846,FALSE
pp481,429,bin_4,4,trial2,brow,5.958,FALSE
pp481,429,bin_5,5,trial2,brow,8.8779,FALSE
pp481,429,bin_6,6,trial2,brow,5.1542,FALSE
pp481,429,bin_7,7,trial2,brow,6.4333,FALSE
pp481,429,bin_8,8,trial2,brow,4.7756,FALSE
pp481,429,bin_9,9,trial2,brow,8.3854,FALSE
pp481,429,bin_10,10,trial2,brow,12.2726,FALSE
pp481,429,bin_11,11,trial2,brow,14.5083,FALSE
pp481,429,bin_12,12,trial2,brow,11.2683,FALSE
pp481,429,bin_13,13,trial2,brow,12.5979,FALSE
pp481,429,bin_14,14,trial2,brow,12.892,FALSE
pp481,429,bin_15,15,trial2,brow,7.9554,FALSE
pp481,429,bin_16,16,trial2,brow,11.4693,FALSE
pp481,429,bin_17,17,trial2,brow,11.41,FALSE
pp481,429,bin_18,18,trial2,brow,10.3137,FALSE
pp481,429,bin_19,19,trial2,brow,7.7296,FALSE
pp481,429,bin_20,20,trial2,brow,9.0318,FALSE
pp481,429,bin_0,0,trial4,brow,7.4143,FALSE
pp481,429,bin_1,1,trial4,brow,5.7858,FALSE
pp481,429,bin_2,2,trial4,brow,6.5249,FALSE
pp481,429,bin_3,3,trial4,brow,7.0624,FALSE
pp481,429,bin_4,4,trial4,brow,6.4303,FALSE
pp481,429,bin_5,5,trial4,brow,6.0041,FALSE
pp481,429,bin_6,6,trial4,brow,6.0128,FALSE
pp481,429,bin_7,7,trial4,brow,5.5721,FALSE
pp481,429,bin_8,8,trial4,brow,5.763,FALSE
pp481,429,bin_9,9,trial4,brow,6.9798,FALSE
pp481,429,bin_10,10,trial4,brow,8.388,FALSE
pp481,429,bin_11,11,trial4,brow,5.5516,FALSE
pp481,429,bin_12,12,trial4,brow,7.9477,FALSE
pp481,429,bin_13,13,trial4,brow,7.8864,FALSE
pp481,429,bin_14,14,trial4,brow,8.1077,FALSE
pp481,429,bin_15,15,trial4,brow,9.6364,FALSE
pp481,429,bin_16,16,trial4,brow,9.5633,FALSE
pp481,429,bin_17,17,trial4,brow,9.123,FALSE
pp481,429,bin_18,18,trial4,brow,9.1703,FALSE
pp481,429,bin_19,19,trial4,brow,8.4545,FALSE
pp481,429,bin_20,20,trial4,brow,8.035,FALSE
pp481,429,bin_0,0,trial5,brow,11.7947,FALSE
pp481,429,bin_1,1,trial5,brow,13.3618,FALSE
pp481,429,bin_2,2,trial5,brow,10.4755,FALSE
pp481,429,bin_3,3,trial5,brow,9.2025,FALSE
pp481,429,bin_4,4,trial5,brow,9.4083,FALSE
pp481,429,bin_5,5,trial5,brow,10.0779,FALSE
pp481,429,bin_6,6,trial5,brow,11.9883,FALSE
pp481,429,bin_7,7,trial5,brow,10.1151,FALSE
pp481,429,bin_8,8,trial5,brow,9.649,FALSE
pp481,429,bin_9,9,trial5,brow,31.2571,FALSE
pp481,429,bin_10,10,trial5,brow,69.5005,FALSE
pp481,429,bin_11,11,trial5,brow,66.1155,FALSE
pp481,429,bin_12,12,trial5,brow,41.0611,FALSE
pp481,429,bin_13,13,trial5,brow,47.749,FALSE
pp481,429,bin_14,14,trial5,brow,19.6282,FALSE
pp481,429,bin_15,15,trial5,brow,48.2316,FALSE
pp481,429,bin_16,16,trial5,brow,43.7968,FALSE
pp481,429,bin_17,17,trial5,brow,41.8931,FALSE
pp481,429,bin_18,18,trial5,brow,39.2641,FALSE
pp481,429,bin_19,19,trial5,brow,27.6209,FALSE
pp481,429,bin_20,20,trial5,brow,24.5469,FALSE
pp481,429,bin_0,0,trial6,brow,10.7565,FALSE
pp481,429,bin_1,1,trial6,brow,9.9376,FALSE
pp481,429,bin_2,2,trial6,brow,8.4254,FALSE
pp481,429,bin_3,3,trial6,brow,10.2048,FALSE
pp481,429,bin_4,4,trial6,brow,8.8937,FALSE
pp481,429,bin_5,5,trial6,brow,8.5926,FALSE
pp481,429,bin_6,6,trial6,brow,9.1201,FALSE
pp481,429,bin_7,7,trial6,brow,10.3869,FALSE
pp481,429,bin_8,8,trial6,brow,9.0427,FALSE
pp481,429,bin_9,9,trial6,brow,8.5851,FALSE
pp481,429,bin_10,10,trial6,brow,6.4665,FALSE
pp481,429,bin_11,11,trial6,brow,8.471,FALSE
pp481,429,bin_12,12,trial6,brow,8.8637,FALSE
pp481,429,bin_13,13,trial6,brow,9.3746,FALSE
pp481,429,bin_14,14,trial6,brow,11.9817,FALSE
pp481,429,bin_15,15,trial6,brow,9.9128,FALSE
pp481,429,bin_16,16,trial6,brow,8.1009,FALSE
pp481,429,bin_17,17,trial6,brow,8.6978,FALSE
pp481,429,bin_18,18,trial6,brow,8.5673,FALSE
pp481,429,bin_19,19,trial6,brow,9.7936,FALSE
pp481,429,bin_20,20,trial6,brow,9.6066,FALSE
pp481,429,bin_0,0,trial7,brow,10.5713,FALSE
pp481,429,bin_1,1,trial7,brow,8.8547,FALSE
pp481,429,bin_2,2,trial7,brow,10.3503,FALSE
pp481,429,bin_3,3,trial7,brow,11.9073,FALSE
pp481,429,bin_4,4,trial7,brow,11.902,FALSE
pp481,429,bin_5,5,trial7,brow,11.175,FALSE
pp481,429,bin_6,6,trial7,brow,11.7738,FALSE
pp481,429,bin_7,7,trial7,brow,7.7162,FALSE
pp481,429,bin_8,8,trial7,brow,10.0678,FALSE
pp481,429,bin_9,9,trial7,brow,8.986,FALSE
pp481,429,bin_10,10,trial7,brow,9.7763,FALSE
pp481,429,bin_11,11,trial7,brow,9.2708,FALSE
pp481,429,bin_12,12,trial7,brow,11.0079,FALSE
pp481,429,bin_13,13,trial7,brow,8.0188,FALSE
pp481,429,bin_14,14,trial7,brow,8.8116,FALSE
pp481,429,bin_15,15,trial7,brow,8.9855,FALSE
pp481,429,bin_16,16,trial7,brow,10.7487,FALSE
pp481,429,bin_17,17,trial7,brow,6.9317,FALSE
pp481,429,bin_18,18,trial7,brow,12.1813,FALSE
pp481,429,bin_19,19,trial7,brow,9.0286,FALSE
pp481,429,bin_20,20,trial7,brow,7.2024,FALSE
pp481,429,bin_0,0,trial8,brow,8.6842,FALSE
pp481,429,bin_1,1,trial8,brow,10.0165,FALSE
pp481,429,bin_2,2,trial8,brow,9.7729,FALSE
pp481,429,bin_3,3,trial8,brow,7.5874,FALSE
pp481,429,bin_4,4,trial8,brow,7.7624,FALSE
pp481,429,bin_5,5,trial8,brow,9.4185,FALSE
pp481,429,bin_6,6,trial8,brow,9.2796,FALSE
pp481,429,bin_7,7,trial8,brow,8.8382,FALSE
pp481,429,bin_8,8,trial8,brow,9.15,FALSE
pp481,429,bin_9,9,trial8,brow,9.891,FALSE
pp481,429,bin_10,10,trial8,brow,9.6268,FALSE
pp481,429,bin_11,11,trial8,brow,8.5727,FALSE
pp481,429,bin_12,12,trial8,brow,12.7741,FALSE
pp481,429,bin_13,13,trial8,brow,13.5458,FALSE
pp481,429,bin_14,14,trial8,brow,22.8927,FALSE
pp481,429,bin_15,15,trial8,brow,25.2506,FALSE
pp481,429,bin_16,16,trial8,brow,17.326,FALSE
pp481,429,bin_17,17,trial8,brow,18.9866,FALSE
pp481,429,bin_18,18,trial8,brow,18.7571,FALSE
pp481,429,bin_19,19,trial8,brow,16.163,FALSE
pp481,429,bin_20,20,trial8,brow,15.0221,FALSE
pp481,429,bin_0,0,trial1,cheek,6.6256,FALSE
pp481,429,bin_1,1,trial1,cheek,4.5505,FALSE
pp481,429,bin_2,2,trial1,cheek,4.4162,FALSE
pp481,429,bin_3,3,trial1,cheek,4.8351,FALSE
pp481,429,bin_4,4,trial1,cheek,5.6448,FALSE
pp481,429,bin_5,5,trial1,cheek,6.3892,FALSE
pp481,429,bin_6,6,trial1,cheek,4.0173,FALSE
pp481,429,bin_7,7,trial1,cheek,5.841,FALSE
pp481,429,bin_8,8,trial1,cheek,7.4202,FALSE
pp481,429,bin_9,9,trial1,cheek,8.3121,FALSE
pp481,429,bin_10,10,trial1,cheek,8.7167,FALSE
pp481,429,bin_11,11,trial1,cheek,6.8389,FALSE
pp481,429,bin_12,12,trial1,cheek,8.281,FALSE
pp481,429,bin_13,13,trial1,cheek,12.8053,FALSE
pp481,429,bin_14,14,trial1,cheek,16.851,FALSE
pp481,429,bin_15,15,trial1,cheek,15.9223,FALSE
pp481,429,bin_16,16,trial1,cheek,15.2423,FALSE
pp481,429,bin_17,17,trial1,cheek,10.4918,FALSE
pp481,429,bin_18,18,trial1,cheek,19.3761,FALSE
pp481,429,bin_19,19,trial1,cheek,16.2842,FALSE
pp481,429,bin_20,20,trial1,cheek,15.5485,FALSE
pp481,429,bin_0,0,trial2,cheek,7.2651,FALSE
pp481,429,bin_1,1,trial2,cheek,5.0488,FALSE
pp481,429,bin_2,2,trial2,cheek,5.9357,FALSE
pp481,429,bin_3,3,trial2,cheek,5.1834,FALSE
pp481,429,bin_4,4,trial2,cheek,5.4472,FALSE
pp481,429,bin_5,5,trial2,cheek,4.5723,FALSE
pp481,429,bin_6,6,trial2,cheek,5.9394,FALSE
pp481,429,bin_7,7,trial2,cheek,6.8833,FALSE
pp481,429,bin_8,8,trial2,cheek,7.1813,FALSE
pp481,429,bin_9,9,trial2,cheek,5.4168,FALSE
pp481,429,bin_10,10,trial2,cheek,9.1277,FALSE
pp481,429,bin_11,11,trial2,cheek,6.3418,FALSE
pp481,429,bin_12,12,trial2,cheek,6.9056,FALSE
