pp_no,condition,bin,bin_no,trial,muscle,rms,outlier1.5SD
pp481,429,bin_0,0,trial3,brow,13.5665,TRUE
pp481,429,bin_1,1,trial3,brow,12.8451,TRUE
pp481,429,bin_2,2,trial3,brow,10.6346,TRUE
pp481,429,bin_3,3,trial3,brow,10.2023,TRUE
pp481,429,bin_4,4,trial3,brow,10.4927,TRUE
pp481,429,bin_5,5,trial3,brow,10.5337,TRUE
pp481,429,bin_6,6,trial3,brow,10.6708,TRUE
pp481,429,bin_7,7,trial3,brow,8.9785,TRUE
pp481,429,bin_8,8,trial3,brow,8.6716,TRUE
pp481,429,bin_9,9,trial3,brow,8.3823,TRUE
pp481,429,bin_10,10,trial3,brow,7.4027,TRUE
pp481,429,bin_11,11,trial3,brow,6.5031,TRUE
pp481,429,bin_12,12,trial3,brow,9.9134,TRUE
pp481,429,bin_13,13,trial3,brow,7.9844,TRUE
pp481,429,bin_14,14,trial3,brow,6.9341,TRUE
pp481,429,bin_15,15,trial3,brow,8.99,TRUE
pp481,429,bin_16,16,trial3,brow,8.4254,TRUE
pp481,429,bin_17,17,trial3,brow,8.2989,TRUE
pp481,429,bin_18,18,trial3,brow,8.3598,TRUE
pp481,429,bin_19,19,trial3,brow,7.8858,TRUE
pp481,429,bin_20,20,trial3,brow,6.8925,TRUE
pp481,429,bin_0,0,trial7,cheek,11.238,TRUE
pp481,429,bin_1,1,trial7,cheek,7.4987,TRUE
pp481,429,bin_2,2,trial7,cheek,6.4871,TRUE
pp481,429,bin_3,3,trial7,cheek,6.243,TRUE
pp481,429,bin_4,4,trial7,cheek,9.2465,TRUE
pp481,429,bin_5,5,trial7,cheek,8.0974,TRUE
pp481,429,bin_6,6,trial7,cheek,9.0131,TRUE
pp481,429,bin_7,7,trial7,cheek,9.6153,TRUE
pp481,429,bin_8,8,trial7,cheek,7.3603,TRUE
pp481,429,bin_9,9,trial7,cheek,6.7559,TRUE
pp481,429,bin_10,10,trial7,cheek,7.1487,TRUE
pp481,429,bin_11,11,trial7,cheek,4.5933,TRUE
pp481,429,bin_12,12,trial7,cheek,3.8345,TRUE
pp481,429,bin_13,13,trial7,cheek,4.6351,TRUE
pp481,429,bin_14,14,trial7,cheek,4.3046,TRUE
pp481,429,bin_15,15,trial7,cheek,5.2181,TRUE
pp481,429,bin_16,16,trial7,cheek,4.6795,TRUE
pp481,429,bin_17,17,trial7,cheek,4.0174,TRUE
pp481,429,bin_18,18,trial7,cheek,4.4755,TRUE
pp481,429,bin_19,19,trial7,cheek,4.1417,TRUE
pp481,429,bin_20,20,trial7,cheek,3.8572,TRUE
pp481,673,bin_0,0,trial3,cheek,10.7857,TRUE
pp481,673,bin_1,1,trial3,cheek,10.9392,TRUE
pp481,673,bin_2,2,trial3,cheek,9.2023,TRUE
pp481,673,bin_3,3,trial3,cheek,9.3314,TRUE
pp481,673,bin_4,4,trial3,cheek,7.295,TRUE
pp481,673,bin_5,5,trial3,cheek,6.9233,TRUE
pp481,673,bin_6,6,trial3,cheek,4.759,TRUE
pp481,673,bin_7,7,trial3,cheek,4.9389,TRUE
pp481,673,bin_8,8,trial3,cheek,5.782,TRUE
pp481,673,bin_9,9,trial3,cheek,6.0906,TRUE
pp481,673,bin_10,10,trial3,cheek,4.7176,TRUE
pp481,673,bin_11,11,trial3,cheek,3.5907,TRUE
pp481,673,bin_12,12,trial3,cheek,3.8038,TRUE
pp481,673,bin_13,13,trial3,cheek,5.121,TRUE
pp481,673,bin_14,14,trial3,cheek,5.0105,TRUE
pp481,673,bin_15,15,trial3,cheek,5.8134,TRUE
pp481,673,bin_16,16,trial3,cheek,5.8768,TRUE
pp481,673,bin_17,17,trial3,cheek,6.1855,TRUE
pp481,673,bin_18,18,trial3,cheek,6.6574,TRUE
pp481,673,bin_19,19,trial3,cheek,5.3548,TRUE
pp481,673,bin_20,20,trial3,cheek,7.2599,TRUE
pp4811,429,bin_0,0,trial6,cheek,3.0405,TRUE
