pp_no,condition,bin,bin_no,trial,muscle,rms,outlier1.5SD
5410,285,bin_0,0,trial1,brow,2.9791,FALSE
5410,285,bin_1,1,trial1,brow,3.8066,FALSE
5410,285,bin_2,2,trial1,brow,3.9071,FALSE
5410,285,bin_3,3,trial1,brow,17.013,FALSE
5410,285,bin_4,4,trial1,brow,15.3155,FALSE
5410,285,bin_5,5,trial1,brow,9.7,FALSE
5410,285,bin_6,6,trial1,brow,8.1597,FALSE
5410,285,bin_7,7,trial1,brow,6.3645,FALSE
5410,285,bin_8,8,trial1,brow,7.4055,FALSE
5410,285,bin_9,9,trial1,brow,8.786,FALSE
5410,285,bin_10,10,trial1,brow,6.6788,FALSE
5410,285,bin_11,11,trial1,brow,4.1309,FALSE
5410,285,bin_12,12,trial1,brow,5.9804,FALSE
5410,285,bin_13,13,trial1,brow,2.7133,FALSE
5410,285,bin_14,14,trial1,brow,2.2441,FALSE
5410,285,bin_15,15,trial1,brow,6.4836,FALSE
5410,285,bin_16,16,trial1,brow,5.9113,FALSE
5410,285,bin_17,17,trial1,brow,5.5233,FALSE
5410,285,bin_18,18,trial1,brow,6.2749,FALSE
5410,285,bin_19,19,trial1,brow,4.1548,FALSE
5410,285,bin_20,20,trial1,brow,3.7118,FALSE
5410,285,bin_0,0,trial2,brow,9.5844,FALSE
5410,285,bin_1,1,trial2,brow,7.1729,FALSE
5410,285,bin_2,2,trial2,brow,9.9684,FALSE
5410,285,bin_3,3,trial2,brow,7.6102,FALSE
5410,285,bin_4,4,trial2,brow,11.977,FALSE
5410,285,bin_5,5,trial2,brow,8.7096,FALSE
5410,285,bin_6,6,trial2,brow,8.8743,FALSE
5410,285,bin_7,7,trial2,brow,10.0758,FALSE
5410,285,bin_8,8,trial2,brow,12.1664,FALSE
5410,285,bin_9,9,trial2,brow,8.0767,FALSE
5410,285,bin_10,10,trial2,brow,9.8169,FALSE
5410,285,bin_11,11,trial2,brow,9.998,FALSE
5410,285,bin_12,12,trial2,brow,10.8423,FALSE
5410,285,bin_13,13,trial2,brow,10.2629,FALSE
5410,285,bin_14,14,trial2,brow,11.8904,FALSE
5410,285,bin_15,15,trial2,brow,13.1683,FALSE
5410,285,bin_16,16,trial2,brow,10.6722,FALSE
5410,285,bin_17,17,trial2,brow,10.0733,FALSE
5410,285,bin_18,18,trial2,brow,11.2844,FALSE
5410,285,bin_19,19,trial2,brow,11.2595,FALSE
5410,285,bin_20,20,trial2,brow,10.0971,FALSE
5410,285,bin_0,0,trial3,brow,17.7902,FALSE
5410,285,bin_1,1,trial3,brow,14.6383,FALSE
5410,285,bin_2,2,trial3,brow,19.8301,FALSE
5410,285,bin_3,3,trial3,brow,17.9394,FALSE
5410,285,bin_4,4,trial3,brow,21.1661,FALSE
5410,285,bin_5,5,trial3,brow,19.184,FALSE
5410,285,bin_6,6,trial3,brow,18.2219,FALSE
5410,285,bin_7,7,trial3,brow,20.5206,FALSE
5410,285,bin_8,8,trial3,brow,23.738,FALSE
5410,285,bin_9,9,trial3,brow,19.3075,FALSE
5410,285,bin_10,10,trial3,brow,19.6579,FALSE
5410,285,bin_11,11,trial3,brow,19.1107,FALSE
5410,285,bin_12,12,trial3,brow,18.2857,FALSE
5410,285,bin_13,13,trial3,brow,20.7014,FALSE
5410,285,bin_14,14,trial3,brow,65.8603,FALSE
5410,285,bin_15,15,trial3,brow,41.6469,FALSE
5410,285,bin_16,16,trial3,brow,27.5339,FALSE
5410,285,bin_17,17,trial3,brow,18.9454,FALSE
5410,285,bin_18,18,trial3,brow,20.5763,FALSE
5410,285,bin_19,19,trial3,brow,14.6414,FALSE
5410,285,bin_20,20,trial3,brow,19.3138,FALSE
5410,285,bin_0,0,trial4,brow,13.2002,FALSE
5410,285,bin_1,1,trial4,brow,12.0436,FALSE
5410,285,bin_2,2,trial4,brow,11.6015,FALSE
5410,285,bin_3,3,trial4,brow,11.677,FALSE
5410,285,bin_4,4,trial4,brow,11.933,FALSE
5410,285,bin_5,5,trial4,brow,14.699,FALSE
5410,285,bin_6,6,trial4,brow,12.008,FALSE
5410,285,bin_7,7,trial4,brow,10.0702,FALSE
5410,285,bin_8,8,trial4,brow,10.3822,FALSE
5410,285,bin_9,9,trial4,brow,9.6642,FALSE
5410,285,bin_10,10,trial4,brow,11.337,FALSE
5410,285,bin_11,11,trial4,brow,13.1748,FALSE
5410,285,bin_12,12,trial4,brow,13.7259,FALSE
5410,285,bin_13,13,trial4,brow,11.9923,FALSE
5410,285,bin_14,14,trial4,brow,10.4872,FALSE
5410,285,bin_15,15,trial4,brow,6.7445,FALSE
5410,285,bin_16,16,trial4,brow,5.1908,FALSE
5410,285,bin_17,17,trial4,brow,14.5538,FALSE
5410,285,bin_18,18,trial4,brow,11.4289,FALSE
5410,285,bin_19,19,trial4,brow,7.6331,FALSE
5410,285,bin_20,20,trial4,brow,6.3396,FALSE
5410,285,bin_0,0,trial5,brow,15.5961,FALSE
5410,285,bin_1,1,trial5,brow,17.9614,FALSE
5410,285,bin_2,2,trial5,brow,15.8771,FALSE
5410,285,bin_3,3,trial5,brow,14.2261,FALSE
5410,285,bin_4,4,trial5,brow,9.9844,FALSE
5410,285,bin_5,5,trial5,brow,12.6599,FALSE
5410,285,bin_6,6,trial5,brow,10.3879,FALSE
5410,285,bin_7,7,trial5,brow,7.0027,FALSE
5410,285,bin_8,8,trial5,brow,7.1703,FALSE
5410,285,bin_9,9,trial5,brow,7.4118,FALSE
5410,285,bin_10,10,trial5,brow,13.7191,FALSE
5410,285,bin_11,11,trial5,brow,35.6253,FALSE
5410,285,bin_12,12,trial5,brow,34.1841,FALSE
5410,285,bin_13,13,trial5,brow,78.4818,FALSE
5410,285,bin_14,14,trial5,brow,60.3269,FALSE
5410,285,bin_15,15,trial5,brow,35.4651,FALSE
5410,285,bin_16,16,trial5,brow,20.6466,FALSE
5410,285,bin_17,17,trial5,brow,28.5838,FALSE
5410,285,bin_18,18,trial5,brow,14.2918,FALSE
5410,285,bin_19,19,trial5,brow,19.7752,FALSE
5410,285,bin_20,20,trial5,brow,17.8666,FALSE
5410,285,bin_0,0,trial6,brow,13.148,FALSE
5410,285,bin_1,1,trial6,brow,9.9481,FALSE
5410,285,bin_2,2,trial6,brow,9.5435,FALSE
5410,285,bin_3,3,trial6,brow,7.0275,FALSE
5410,285,bin_4,4,trial6,brow,6.2793,FALSE
5410,285,bin_5,5,trial6,brow,7.0966,FALSE
5410,285,bin_6,6,trial6,brow,9.0476,FALSE
5410,285,bin_7,7,trial6,brow,17.88,FALSE
5410,285,bin_8,8,trial6,brow,16.5593,FALSE
5410,285,bin_9,9,trial6,brow,12.1676,FALSE
5410,285,bin_10,10,trial6,brow,8.9933,FALSE
5410,285,bin_11,11,trial6,brow,14.6587,FALSE
5410,285,bin_12,12,trial6,brow,22.4271,FALSE
5410,285,bin_13,13,trial6,brow,13.2526,FALSE
5410,285,bin_14,14,trial6,brow,18.9297,FALSE
5410,285,bin_15,15,trial6,brow,13.5904,FALSE
5410,285,bin_16,16,trial6,brow,10.8536,FALSE
5410,285,bin_17,17,trial6,brow,10.8448,FALSE
5410,285,bin_18,18,trial6,brow,8.199,FALSE
5410,285,bin_19,19,trial6,brow,12.6436,FALSE
5410,285,bin_20,20,trial6,brow,22.9272,FALSE
5410,285,bin_0,0,trial7,brow,12.7565,FALSE
5410,285,bin_1,1,trial7,brow,12.5203,FALSE
5410,285,bin_2,2,trial7,brow,12.1055,FALSE
5410,285,bin_3,3,trial7,brow,14.4989,FALSE
5410,285,bin_4,4,trial7,brow,10.3371,FALSE
5410,285,bin_5,5,trial7,brow,14.9815,FALSE
5410,285,bin_6,6,trial7,brow,13.388,FALSE
5410,285,bin_7,7,trial7,brow,16.284,FALSE
5410,285,bin_8,8,trial7,brow,14.8091,FALSE
5410,285,bin_9,9,trial7,brow,14.6071,FALSE
5410,285,bin_10,10,trial7,brow,12.7459,FALSE
5410,285,bin_11,11,trial7,brow,10.0944,FALSE
5410,285,bin_12,12,trial7,brow,12.2489,FALSE
5410,285,bin_13,13,trial7,brow,8.9221,FALSE
5410,285,bin_14,14,trial7,brow,6.6514,FALSE
5410,285,bin_15,15,trial7,brow,8.0233,FALSE
5410,285,bin_16,16,trial7,brow,7.1922,FALSE
5410,285,bin_17,17,trial7,brow,8.8123,FALSE
5410,285,bin_18,18,trial7,brow,8.6944,FALSE
5410,285,bin_19,19,trial7,brow,11.6177,FALSE
5410,285,bin_20,20,trial7,brow,8.862,FALSE
5410,285,bin_0,0,trial8,brow,16.4854,FALSE
5410,285,bin_1,1,trial8,brow,15.0569,FALSE
5410,285,bin_2,2,trial8,brow,14.9804,FALSE
5410,285,bin_3,3,trial8,brow,12.4585,FALSE
5410,285,bin_4,4,trial8,brow,11.1957,FALSE
5410,285,bin_5,5,trial8,brow,12.4279,FALSE
5410,285,bin_6,6,trial8,brow,11.7903,FALSE
5410,285,bin_7,7,trial8,brow,10.2057,FALSE
5410,285,bin_8,8,trial8,brow,11.7735,FALSE
5410,285,bin_9,9,trial8,brow,10.1846,FALSE
5410,285,bin_10,10,trial8,brow,10.9161,FALSE
5410,285,bin_11,11,trial8,brow,7.8776,FALSE
5410,285,bin_12,12,trial8,brow,4.5809,FALSE
5410,285,bin_13,13,trial8,brow,6.1487,FALSE
5410,285,bin_14,14,trial8,brow,5.2383,FALSE
5410,285,bin_15,15,trial8,brow,5.2837,FALSE
5410,285,bin_16,16,trial8,brow,5.5559,FALSE
5410,285,bin_17,17,trial8,brow,5.5876,FALSE
5410,285,bin_18,18,trial8,brow,6.7667,FALSE
5410,285,bin_19,19,trial8,brow,5.9014,FALSE
5410,285,bin_20,20,trial8,brow,6.7677,FALSE
5410,285,bin_0,0,trial1,cheek,4.982,FALSE
5410,285,bin_1,1,trial1,cheek,7.1065,FALSE
5410,285,bin_2,2,trial1,cheek,7.3321,FALSE
5410,285,bin_3,3,trial1,cheek,6.3116,FALSE
5410,285,bin_4,4,trial1,cheek,9.6088,FALSE
5410,285,bin_5,5,trial1,cheek,7.1991,FALSE
5410,285,bin_6,6,trial1,cheek,6.9776,FALSE
5410,285,bin_7,7,trial1,cheek,8.1261,FALSE
5410,285,bin_8,8,trial1,cheek,7.7785,FALSE
5410,285,bin_9,9,trial1,cheek,6.6016,FALSE
5410,285,bin_10,10,trial1,cheek,4.7281,FALSE
5410,285,bin_11,11,trial1,cheek,7.9534,FALSE
5410,285,bin_12,12,trial1,cheek,10.745,FALSE
5410,285,bin_13,13,trial1,cheek,8.163,FALSE
5410,285,bin_14,14,trial1,cheek,7.3055,FALSE
5410,285,bin_15,15,trial1,cheek,7.3281,FALSE
5410,285,bin_16,16,trial1,cheek,6.6362,FALSE
5410,285,bin_17,17,trial1,cheek,5.7782,FALSE
5410,285,bin_18,18,trial1,cheek,3.9395,FALSE
5410,285,bin_19,19,trial1,cheek,4.072,FALSE
5410,285,bin_20,20,trial1,cheek,4.098,FALSE
5410,285,bin_0,0,trial2,cheek,4.6485,FALSE
5410,285,bin_1,1,trial2,cheek,3.9904,FALSE
5410,285,bin_2,2,trial2,cheek,4.0595,FALSE
5410,285,bin_3,3,trial2,cheek,3.7599,FALSE
5410,285,bin_4,4,trial2,cheek,5.114,FALSE
5410,285,bin_5,5,trial2,cheek,9.8358,FALSE
5410,285,bin_6,6,trial2,cheek,9.436,FALSE
5410,285,bin_7,7,trial2,cheek,10.8388,FALSE
5410,285,bin_8,8,trial2,cheek,8.7632,FALSE
5410,285,bin_9,9,trial2,cheek,7.1668,FALSE
5410,285,bin_10,10,trial2,cheek,5.5129,FALSE
5410,285,bin_11,11,trial2,cheek,6.2646,FALSE
5410,285,bin_12,12,trial2,cheek,5.6561,FALSE
5410,285,bin_13,13,trial2,cheek,4.3031,FALSE
5410,285,bin_14,14,trial2,cheek,5.0222,FALSE
