pp_no,condition,bin,bin_no,trial,muscle,rms,outlier1.5SD
5410,285,bin_0,0,trial5,cheek,9.5544,TRUE
5410,285,bin_1,1,trial5,cheek,7.5812,TRUE
5410,285,bin_2,2,trial5,cheek,10.4135,TRUE
5410,285,bin_3,3,trial5,cheek,8.24,TRUE
5410,285,bin_4,4,trial5,cheek,8.4478,TRUE
5410,285,bin_5,5,trial5,cheek,9.6047,TRUE
5410,285,bin_6,6,trial5,cheek,9.033,TRUE
5410,285,bin_7,7,trial5,cheek,11.193,TRUE
5410,285,bin_8,8,trial5,cheek,13.4281,TRUE
5410,285,bin_9,9,trial5,cheek,14.1687,TRUE
5410,285,bin_10,10,trial5,cheek,19.2422,TRUE
5410,285,bin_11,11,trial5,cheek,54.0066,TRUE
5410,285,bin_12,12,trial5,cheek,55.7353,TRUE
5410,285,bin_13,13,trial5,cheek,148.8394,TRUE
5410,285,bin_14,14,trial5,cheek,135.502,TRUE
5410,285,bin_15,15,trial5,cheek,66.7434,TRUE
5410,285,bin_16,16,trial5,cheek,94.4353,TRUE
5410,285,bin_17,17,trial5,cheek,69.5168,TRUE
5410,285,bin_18,18,trial5,cheek,48.1177,TRUE
5410,285,bin_19,19,trial5,cheek,59.9894,TRUE
5410,285,bin_20,20,trial5,cheek,55.2989,TRUE
p488,285,bin_0,0,trial4,cheek,6.3902,TRUE
p488,285,bin_1,1,trial4,cheek,8.1174,TRUE
p488,285,bin_2,2,trial4,cheek,3.3892,TRUE
p488,285,bin_3,3,trial4,cheek,3.1458,TRUE
p488,285,bin_4,4,trial4,cheek,4.6117,TRUE
p488,285,bin_5,5,trial4,cheek,3.3211,TRUE
p488,285,bin_6,6,trial4,cheek,4.0894,TRUE
p488,285,bin_7,7,trial4,cheek,4.2825,TRUE
p488,285,bin_8,8,trial4,cheek,5.8433,TRUE
p488,285,bin_9,9,trial4,cheek,3.2824,TRUE
p488,285,bin_10,10,trial4,cheek,3.9208,TRUE
p488,285,bin_11,11,trial4,cheek,4.0926,TRUE
p488,285,bin_12,12,trial4,cheek,3.7011,TRUE
p488,285,bin_13,13,trial4,cheek,4.5931,TRUE
p488,285,bin_14,14,trial4,cheek,4.8419,TRUE
p488,285,bin_15,15,trial4,cheek,4.6474,TRUE
p488,285,bin_16,16,trial4,cheek,3.8873,TRUE
p488,285,bin_17,17,trial4,cheek,12.2403,TRUE
p488,285,bin_18,18,trial4,cheek,9.8227,TRUE
p488,285,bin_19,19,trial4,cheek,7.5026,TRUE
p488,285,bin_20,20,trial4,cheek,4.9713,TRUE
pp481,285,bin_0,0,trial5,brow,16.7097,TRUE
pp481,285,bin_1,1,trial5,brow,8.532,TRUE
pp481,285,bin_2,2,trial5,brow,8.099,TRUE
pp481,285,bin_3,3,trial5,brow,5.9809,TRUE
pp481,285,bin_4,4,trial5,brow,6.7046,TRUE
pp481,285,bin_5,5,trial5,brow,7.2874,TRUE
pp481,285,bin_6,6,trial5,brow,8.2326,TRUE
pp481,285,bin_7,7,trial5,brow,8.1536,TRUE
pp481,285,bin_8,8,trial5,brow,8.2399,TRUE
pp481,285,bin_9,9,trial5,brow,6.5698,TRUE
pp481,285,bin_10,10,trial5,brow,7.3157,TRUE
pp481,285,bin_11,11,trial5,brow,6.6281,TRUE
pp481,285,bin_12,12,trial5,brow,7.2614,TRUE
pp481,285,bin_13,13,trial5,brow,8.2733,TRUE
pp481,285,bin_14,14,trial5,brow,7.6545,TRUE
pp481,285,bin_15,15,trial5,brow,6.4405,TRUE
pp481,285,bin_16,16,trial5,brow,5.9344,TRUE
pp481,285,bin_17,17,trial5,brow,6.9872,TRUE
