"","pp_no","condition","trial","muscle","bin","Zdiff"
"1","pp481","429","trial1","brow","diff_bin1",-0.0567067869826282
"2","pp481","429","trial1","brow","diff_bin2",0.0222758268573904
"3","pp481","429","trial1","brow","diff_bin3",-0.145784342011199
"4","pp481","429","trial1","brow","diff_bin4",-0.192125787594868
"5","pp481","429","trial1","brow","diff_bin5",-0.145037522382454
"6","pp481","429","trial1","brow","diff_bin6",-0.219719485256942
"7","pp481","429","trial1","brow","diff_bin7",0.0167004320427951
"8","pp481","429","trial1","brow","diff_bin8",-0.44943090209847
"9","pp481","429","trial1","brow","diff_bin9",-0.322085279196972
"10","pp481","429","trial1","brow","diff_bin10",-0.373422690572935
"11","pp481","429","trial1","brow","diff_bin11",-0.123907677369172
"12","pp481","429","trial1","brow","diff_bin12",-0.241274244886578
"13","pp481","429","trial1","brow","diff_bin13",-0.185867954154006
"14","pp481","429","trial1","brow","diff_bin14",-0.575025361732566
"15","pp481","429","trial1","brow","diff_bin15",-0.380041057627674
"16","pp481","429","trial1","brow","diff_bin16",-0.69438774032679
"17","pp481","429","trial1","brow","diff_bin17",-0.771722200503372
"18","pp481","429","trial1","brow","diff_bin18",-0.499660960231811
"19","pp481","429","trial1","brow","diff_bin19",-0.592433984802619
"20","pp481","429","trial1","brow","diff_bin20",-0.593644347649205
"21","pp481","429","trial1","cheek","diff_bin1",-0.381408589638597
"22","pp481","429","trial1","cheek","diff_bin2",-0.406093266805222
"23","pp481","429","trial1","cheek","diff_bin3",-0.329098395136576
"24","pp481","429","trial1","cheek","diff_bin4",-0.180273502345688
"25","pp481","429","trial1","cheek","diff_bin5",-0.0434509134935978
"26","pp481","429","trial1","cheek","diff_bin6",-0.479412088262905
"27","pp481","429","trial1","cheek","diff_bin7",-0.144211449776128
"28","pp481","429","trial1","cheek","diff_bin8",0.14604947488161
"29","pp481","429","trial1","cheek","diff_bin9",0.309982934039561
"30","pp481","429","trial1","cheek","diff_bin10",0.384349429807369
"31","pp481","429","trial1","cheek","diff_bin11",0.0392050754999337
"32","pp481","429","trial1","cheek","diff_bin12",0.304266675961512
"33","pp481","429","trial1","cheek","diff_bin13",1.13584437443479
"34","pp481","429","trial1","cheek","diff_bin14",1.8794541913597
"35","pp481","429","trial1","cheek","diff_bin15",1.70875679981357
"36","pp481","429","trial1","cheek","diff_bin16",1.58377109264079
"37","pp481","429","trial1","cheek","diff_bin17",0.710617266281502
"38","pp481","429","trial1","cheek","diff_bin18",2.34357391074499
"39","pp481","429","trial1","cheek","diff_bin19",1.77527492838097
"40","pp481","429","trial1","cheek","diff_bin20",1.64005142137065
"41","pp481","429","trial2","brow","diff_bin1",-0.358344659792586
"42","pp481","429","trial2","brow","diff_bin2",-0.297684879257808
"43","pp481","429","trial2","brow","diff_bin3",-0.259275173179429
"44","pp481","429","trial2","brow","diff_bin4",-0.55885285391009
"45","pp481","429","trial2","brow","diff_bin5",-0.182880675639026
"46","pp481","429","trial2","brow","diff_bin6",-0.662351753493734
"47","pp481","429","trial2","brow","diff_bin7",-0.497652272954497
"48","pp481","429","trial2","brow","diff_bin8",-0.711101048570081
"49","pp481","429","trial2","brow","diff_bin9",-0.246295963079863
"50","pp481","429","trial2","brow","diff_bin10",0.254227702585153
"51","pp481","429","trial2","brow","diff_bin11",0.542100917065313
"52","pp481","429","trial2","brow","diff_bin12",0.124912021007829
"53","pp481","429","trial2","brow","diff_bin13",0.296113982797345
"54","pp481","429","trial2","brow","diff_bin14",0.333982888454908
"55","pp481","429","trial2","brow","diff_bin15",-0.301663625210949
"56","pp481","429","trial2","brow","diff_bin16",0.150793184003988
"57","pp481","429","trial2","brow","diff_bin17",0.143157597110096
"58","pp481","429","trial2","brow","diff_bin18",0.00199581107681837
"59","pp481","429","trial2","brow","diff_bin19",-0.330738085930017
"60","pp481","429","trial2","brow","diff_bin20",-0.163064203076296
"61","pp481","429","trial2","cheek","diff_bin1",-0.407361504128005
"62","pp481","429","trial2","cheek","diff_bin2",-0.244347057522795
"63","pp481","429","trial2","cheek","diff_bin3",-0.382621686208216
"64","pp481","429","trial2","cheek","diff_bin4",-0.334134583925597
"65","pp481","429","trial2","cheek","diff_bin5",-0.494943400404229
"66","pp481","429","trial2","cheek","diff_bin6",-0.243666988233766
"67","pp481","429","trial2","cheek","diff_bin7",-0.0701757985273078
"68","pp481","429","trial2","cheek","diff_bin8",-0.0154026503839403
"69","pp481","429","trial2","cheek","diff_bin9",-0.339722180246262
"70","pp481","429","trial2","cheek","diff_bin10",0.342350556147102
"71","pp481","429","trial2","cheek","diff_bin11",-0.169704857989165
"72","pp481","429","trial2","cheek","diff_bin12",-0.0660770025420828
"73","pp481","429","trial2","cheek","diff_bin13",0.642683858382882
"74","pp481","429","trial2","cheek","diff_bin14",0.695802783931316
"75","pp481","429","trial2","cheek","diff_bin15",1.51243733829703
"76","pp481","429","trial2","cheek","diff_bin16",0.495458047433763
"77","pp481","429","trial2","cheek","diff_bin17",1.14439119117529
"78","pp481","429","trial2","cheek","diff_bin18",1.3287634895062
"79","pp481","429","trial2","cheek","diff_bin19",4.8208273874117
"80","pp481","429","trial2","cheek","diff_bin20",0.913902842947826
"81","pp481","429","trial3","brow","diff_bin1",NA
"82","pp481","429","trial3","brow","diff_bin2",NA
"83","pp481","429","trial3","brow","diff_bin3",NA
"84","pp481","429","trial3","brow","diff_bin4",NA
"85","pp481","429","trial3","brow","diff_bin5",NA
"86","pp481","429","trial3","brow","diff_bin6",NA
"87","pp481","429","trial3","brow","diff_bin7",NA
"88","pp481","429","trial3","brow","diff_bin8",NA
"89","pp481","429","trial3","brow","diff_bin9",NA
"90","pp481","429","trial3","brow","diff_bin10",NA
"91","pp481","429","trial3","brow","diff_bin11",NA
"92","pp481","429","trial3","brow","diff_bin12",NA
"93","pp481","429","trial3","brow","diff_bin13",NA
"94","pp481","429","trial3","brow","diff_bin14",NA
"95","pp481","429","trial3","brow","diff_bin15",NA
"96","pp481","429","trial3","brow","diff_bin16",NA
"97","pp481","429","trial3","brow","diff_bin17",NA
"98","pp481","429","trial3","brow","diff_bin18",NA
"99","pp481","429","trial3","brow","diff_bin19",NA
"100","pp481","429","trial3","brow","diff_bin20",NA
"101","pp481","429","trial3","cheek","diff_bin1",-0.158529665347834
"102","pp481","429","trial3","cheek","diff_bin2",-0.44798185895916
"103","pp481","429","trial3","cheek","diff_bin3",-0.246166702377222
"104","pp481","429","trial3","cheek","diff_bin4",-0.0384514852066862
"105","pp481","429","trial3","cheek","diff_bin5",-0.151545169947002
"106","pp481","429","trial3","cheek","diff_bin6",-0.50814042066159
"107","pp481","429","trial3","cheek","diff_bin7",-0.564273707383015
"108","pp481","429","trial3","cheek","diff_bin8",-0.514224283760736
"109","pp481","429","trial3","cheek","diff_bin9",-0.0826559889935315
"110","pp481","429","trial3","cheek","diff_bin10",0.503949723421091
"111","pp481","429","trial3","cheek","diff_bin11",0.713245642182341
"112","pp481","429","trial3","cheek","diff_bin12",0.127761125082063
"113","pp481","429","trial3","cheek","diff_bin13",0.298826121649285
"114","pp481","429","trial3","cheek","diff_bin14",0.607908423387161
"115","pp481","429","trial3","cheek","diff_bin15",0.416955995178622
"116","pp481","429","trial3","cheek","diff_bin16",0.38881583081369
"117","pp481","429","trial3","cheek","diff_bin17",0.0812039491602006
"118","pp481","429","trial3","cheek","diff_bin18",0.0189684190885755
"119","pp481","429","trial3","cheek","diff_bin19",0.402104752326326
"120","pp481","429","trial3","cheek","diff_bin20",0.344574566524735
"121","pp481","429","trial4","brow","diff_bin1",-0.209688925070868
"122","pp481","429","trial4","brow","diff_bin2",-0.114520927207879
"123","pp481","429","trial4","brow","diff_bin3",-0.0453113495440212
"124","pp481","429","trial4","brow","diff_bin4",-0.126701812876717
"125","pp481","429","trial4","brow","diff_bin5",-0.18158017938897
"126","pp481","429","trial4","brow","diff_bin6",-0.180459949945853
"127","pp481","429","trial4","brow","diff_bin7",-0.237205365529968
"128","pp481","429","trial4","brow","diff_bin8",-0.212624698783865
"129","pp481","429","trial4","brow","diff_bin9",-0.0559470911533879
"130","pp481","429","trial4","brow","diff_bin10",0.12537556422567
"131","pp481","429","trial4","brow","diff_bin11",-0.239844986631567
"132","pp481","429","trial4","brow","diff_bin12",0.0686816534435377
"133","pp481","429","trial4","brow","diff_bin13",0.0607885425397341
"134","pp481","429","trial4","brow","diff_bin14",0.0892835742364998
"135","pp481","429","trial4","brow","diff_bin15",0.286122051212758
"136","pp481","429","trial4","brow","diff_bin16",0.276709548650473
"137","pp481","429","trial4","brow","diff_bin17",0.22001563786834
"138","pp481","429","trial4","brow","diff_bin18",0.22610608070276
"139","pp481","429","trial4","brow","diff_bin19",0.133938237555245
"140","pp481","429","trial4","brow","diff_bin20",0.0799225764761977
"141","pp481","429","trial4","cheek","diff_bin1",-0.21958885935195
"142","pp481","429","trial4","cheek","diff_bin2",-0.0882252050631425
"143","pp481","429","trial4","cheek","diff_bin3",-0.0591660281454699
"144","pp481","429","trial4","cheek","diff_bin4",0.00547731481433666
"145","pp481","429","trial4","cheek","diff_bin5",-0.178692800754973
"146","pp481","429","trial4","cheek","diff_bin6",-0.155037417647418
"147","pp481","429","trial4","cheek","diff_bin7",-0.0723814286538865
"148","pp481","429","trial4","cheek","diff_bin8",-0.138862796719175
