pp_no,condition,trial,muscle,bin,Zdiff
pp481,429,trial1,brow,diff_bin1,-0.0567067869826282
pp481,429,trial1,brow,diff_bin2,0.0222758268573904
pp481,429,trial1,brow,diff_bin3,-0.145784342011199
pp481,429,trial1,brow,diff_bin4,-0.192125787594868
pp481,429,trial1,brow,diff_bin5,-0.145037522382454
pp481,429,trial1,brow,diff_bin6,-0.219719485256942
pp481,429,trial1,brow,diff_bin7,0.0167004320427951
pp481,429,trial1,brow,diff_bin8,-0.44943090209847
pp481,429,trial1,brow,diff_bin9,-0.322085279196972
pp481,429,trial1,brow,diff_bin10,-0.373422690572935
pp481,429,trial1,brow,diff_bin11,-0.123907677369172
pp481,429,trial1,brow,diff_bin12,-0.241274244886578
pp481,429,trial1,brow,diff_bin13,-0.185867954154006
pp481,429,trial1,brow,diff_bin14,-0.575025361732566
pp481,429,trial1,brow,diff_bin15,-0.380041057627674
pp481,429,trial1,brow,diff_bin16,-0.69438774032679
pp481,429,trial1,brow,diff_bin17,-0.771722200503372
pp481,429,trial1,brow,diff_bin18,-0.499660960231811
pp481,429,trial1,brow,diff_bin19,-0.592433984802619
pp481,429,trial1,brow,diff_bin20,-0.593644347649205
pp481,429,trial1,cheek,diff_bin1,-0.381408589638597
pp481,429,trial1,cheek,diff_bin2,-0.406093266805222
pp481,429,trial1,cheek,diff_bin3,-0.329098395136576
pp481,429,trial1,cheek,diff_bin4,-0.180273502345688
pp481,429,trial1,cheek,diff_bin5,-0.0434509134935978
pp481,429,trial1,cheek,diff_bin6,-0.479412088262905
pp481,429,trial1,cheek,diff_bin7,-0.144211449776128
pp481,429,trial1,cheek,diff_bin8,0.14604947488161
pp481,429,trial1,cheek,diff_bin9,0.309982934039561
pp481,429,trial1,cheek,diff_bin10,0.384349429807369
pp481,429,trial1,cheek,diff_bin11,0.0392050754999337
pp481,429,trial1,cheek,diff_bin12,0.304266675961512
pp481,429,trial1,cheek,diff_bin13,1.13584437443479
pp481,429,trial1,cheek,diff_bin14,1.8794541913597
pp481,429,trial1,cheek,diff_bin15,1.70875679981357
pp481,429,trial1,cheek,diff_bin16,1.58377109264079
pp481,429,trial1,cheek,diff_bin17,0.710617266281502
pp481,429,trial1,cheek,diff_bin18,2.34357391074499
pp481,429,trial1,cheek,diff_bin19,1.77527492838097
pp481,429,trial1,cheek,diff_bin20,1.64005142137065
pp481,429,trial2,brow,diff_bin1,-0.358344659792586
pp481,429,trial2,brow,diff_bin2,-0.297684879257808
pp481,429,trial2,brow,diff_bin3,-0.259275173179429
pp481,429,trial2,brow,diff_bin4,-0.55885285391009
pp481,429,trial2,brow,diff_bin5,-0.182880675639026
pp481,429,trial2,brow,diff_bin6,-0.662351753493734
pp481,429,trial2,brow,diff_bin7,-0.497652272954497
pp481,429,trial2,brow,diff_bin8,-0.711101048570081
pp481,429,trial2,brow,diff_bin9,-0.246295963079863
pp481,429,trial2,brow,diff_bin10,0.254227702585153
pp481,429,trial2,brow,diff_bin11,0.542100917065313
pp481,429,trial2,brow,diff_bin12,0.124912021007829
pp481,429,trial2,brow,diff_bin13,0.296113982797345
pp481,429,trial2,brow,diff_bin14,0.333982888454908
pp481,429,trial2,brow,diff_bin15,-0.301663625210949
pp481,429,trial2,brow,diff_bin16,0.150793184003988
pp481,429,trial2,brow,diff_bin17,0.143157597110096
pp481,429,trial2,brow,diff_bin18,0.00199581107681837
pp481,429,trial2,brow,diff_bin19,-0.330738085930017
pp481,429,trial2,brow,diff_bin20,-0.163064203076296
pp481,429,trial2,cheek,diff_bin1,-0.407361504128005
pp481,429,trial2,cheek,diff_bin2,-0.244347057522795
pp481,429,trial2,cheek,diff_bin3,-0.382621686208216
pp481,429,trial2,cheek,diff_bin4,-0.334134583925597
pp481,429,trial2,cheek,diff_bin5,-0.494943400404229
