pp_no,condition,trial,muscle,bin,Zdiff
5410,285,trial1,brow,diff_bin1,0.0847927989603898
5410,285,trial1,brow,diff_bin2,0.0950908972027091
5410,285,trial1,brow,diff_bin3,NA
5410,285,trial1,brow,diff_bin4,NA
5410,285,trial1,brow,diff_bin5,0.688681477381129
5410,285,trial1,brow,diff_bin6,0.530849032379693
5410,285,trial1,brow,diff_bin7,0.34689733123928
5410,285,trial1,brow,diff_bin8,0.453567184674646
5410,285,trial1,brow,diff_bin9,0.595025141127599
5410,285,trial1,brow,diff_bin10,0.379103224548344
5410,285,trial1,brow,diff_bin11,0.118023378661725
5410,285,trial1,brow,diff_bin12,0.307539126912167
5410,285,trial1,brow,diff_bin13,-0.0272361643065517
5410,285,trial1,brow,diff_bin14,-0.0753144498318872
5410,285,trial1,brow,diff_bin15,0.359101346171222
5410,285,trial1,brow,diff_bin16,0.300458543941577
5410,285,trial1,brow,diff_bin17,0.260700711921479
5410,285,trial1,brow,diff_bin18,0.337716141164535
5410,285,trial1,brow,diff_bin19,0.120472379139251
5410,285,trial1,brow,diff_bin20,0.0750787719616649
5410,285,trial1,cheek,diff_bin1,0.100947580033942
5410,285,trial1,cheek,diff_bin2,0.111667172434816
5410,285,trial1,cheek,diff_bin3,0.0631771722349394
5410,285,trial1,cheek,diff_bin4,0.219846676065446
5410,285,trial1,cheek,diff_bin5,0.105347554574371
5410,285,trial1,cheek,diff_bin6,0.0948227774609243
5410,285,trial1,cheek,diff_bin7,0.149394815902431
5410,285,trial1,cheek,diff_bin8,0.132878280802503
5410,285,trial1,cheek,diff_bin9,0.076956790126134
5410,285,trial1,cheek,diff_bin10,-0.0120642930433597
5410,285,trial1,cheek,diff_bin11,0.141188815868606
5410,285,trial1,cheek,diff_bin12,NA
5410,285,trial1,cheek,diff_bin13,0.151148153489277
5410,285,trial1,cheek,diff_bin14,0.110403248862727
5410,285,trial1,cheek,diff_bin15,0.111477108739765
5410,285,trial1,cheek,diff_bin16,0.0786008410883248
5410,285,trial1,cheek,diff_bin17,0.0378321784998937
5410,285,trial1,cheek,diff_bin18,-0.0495353505226567
5410,285,trial1,cheek,diff_bin19,-0.0432394906240936
5410,285,trial1,cheek,diff_bin20,-0.0420040766062623
5410,285,trial2,brow,diff_bin1,-0.247103123496049
5410,285,trial2,brow,diff_bin2,0.03934795746319
5410,285,trial2,brow,diff_bin3,-0.202293587562056
5410,285,trial2,brow,diff_bin4,0.245166466214657
5410,285,trial2,brow,diff_bin5,-0.0896395655958298
5410,285,trial2,brow,diff_bin6,-0.0727629807151334
5410,285,trial2,brow,diff_bin7,0.0503530893161758
5410,285,trial2,brow,diff_bin8,0.264574026484262
5410,285,trial2,brow,diff_bin9,-0.154491967362634
5410,285,trial2,brow,diff_bin10,0.0238239586202908
5410,285,trial2,brow,diff_bin11,0.0423810291843107
5410,285,trial2,brow,diff_bin12,0.128895301283715
5410,285,trial2,brow,diff_bin13,0.0695249717155583
5410,285,trial2,brow,diff_bin14,0.236292682057594
5410,285,trial2,brow,diff_bin15,0.367237356125851
5410,285,trial2,brow,diff_bin16,0.111465385751193
5410,285,trial2,brow,diff_bin17,0.0500969177181082
5410,285,trial2,brow,diff_bin18,0.174196686685997
5410,285,trial2,brow,diff_bin19,0.171645217569243
5410,285,trial2,brow,diff_bin20,0.0525356713317121
5410,285,trial2,cheek,diff_bin1,-0.0312702294282594
5410,285,trial2,cheek,diff_bin2,-0.027986879096254
5410,285,trial2,cheek,diff_bin3,-0.0422226498555709
5410,285,trial2,cheek,diff_bin4,0.0221186625115555
5410,285,trial2,cheek,diff_bin5,0.246479351334462
5410,285,trial2,cheek,diff_bin6,0.227482485014119
5410,285,trial2,cheek,diff_bin7,NA
5410,285,trial2,cheek,diff_bin8,0.195513771506547
5410,285,trial2,cheek,diff_bin9,0.119659350811709
5410,285,trial2,cheek,diff_bin10,0.0410727645005126
5410,285,trial2,cheek,diff_bin11,0.0767904843929644
5410,285,trial2,cheek,diff_bin12,0.047877044783337
5410,285,trial2,cheek,diff_bin13,-0.0164120000676505
5410,285,trial2,cheek,diff_bin14,0.017756700710136
5410,285,trial2,cheek,diff_bin15,-0.0513884715494036
5410,285,trial2,cheek,diff_bin16,-0.0257013631632662
5410,285,trial2,cheek,diff_bin17,-0.0128815669320789
5410,285,trial2,cheek,diff_bin18,-0.00292222931140856
5410,285,trial2,cheek,diff_bin19,-0.0408494396588278
5410,285,trial2,cheek,diff_bin20,-0.0775697455426734
5410,285,trial3,brow,diff_bin1,-0.322970903979762
5410,285,trial3,brow,diff_bin2,0.209025777159274
5410,285,trial3,brow,diff_bin3,0.015288320972677
5410,285,trial3,brow,diff_bin4,0.345923879166623
5410,285,trial3,brow,diff_bin5,0.142820789354673
5410,285,trial3,brow,diff_bin6,0.0442357115543209
5410,285,trial3,brow,diff_bin7,0.279780372545557
5410,285,trial3,brow,diff_bin8,0.609462972394691
5410,285,trial3,brow,diff_bin9,0.155475666299214
5410,285,trial3,brow,diff_bin10,0.191380677484375
5410,285,trial3,brow,diff_bin11,0.135309838099329
5410,285,trial3,brow,diff_bin12,0.0507732107370068
5410,285,trial3,brow,diff_bin13,0.298306702517809
5410,285,trial3,brow,diff_bin14,NA
5410,285,trial3,brow,diff_bin15,2.44456358544814
5410,285,trial3,brow,diff_bin16,0.998423680036678
5410,285,trial3,brow,diff_bin17,0.118371772035097
5410,285,trial3,brow,diff_bin18,0.285487875750504
5410,285,trial3,brow,diff_bin19,-0.322653251198158
5410,285,trial3,brow,diff_bin20,0.156121218726345
5410,285,trial3,cheek,diff_bin1,-0.0574990193452919
