file_name,bin,bin_no,trial,muscle,rms
5410_285.xlsx,bin_0,0,trial1,brow,2.9791
5410_285.xlsx,bin_1,1,trial1,brow,3.8066
5410_285.xlsx,bin_2,2,trial1,brow,3.9071
5410_285.xlsx,bin_3,3,trial1,brow,17.013
5410_285.xlsx,bin_4,4,trial1,brow,15.3155
5410_285.xlsx,bin_5,5,trial1,brow,9.7
5410_285.xlsx,bin_6,6,trial1,brow,8.1597
5410_285.xlsx,bin_7,7,trial1,brow,6.3645
5410_285.xlsx,bin_8,8,trial1,brow,7.4055
5410_285.xlsx,bin_9,9,trial1,brow,8.786
5410_285.xlsx,bin_10,10,trial1,brow,6.6788
5410_285.xlsx,bin_11,11,trial1,brow,4.1309
5410_285.xlsx,bin_12,12,trial1,brow,5.9804
5410_285.xlsx,bin_13,13,trial1,brow,2.7133
5410_285.xlsx,bin_14,14,trial1,brow,2.2441
5410_285.xlsx,bin_15,15,trial1,brow,6.4836
5410_285.xlsx,bin_16,16,trial1,brow,5.9113
5410_285.xlsx,bin_17,17,trial1,brow,5.5233
5410_285.xlsx,bin_18,18,trial1,brow,6.2749
5410_285.xlsx,bin_19,19,trial1,brow,4.1548
5410_285.xlsx,bin_20,20,trial1,brow,3.7118
5410_285.xlsx,bin_0,0,trial2,brow,9.5844
5410_285.xlsx,bin_1,1,trial2,brow,7.1729
5410_285.xlsx,bin_2,2,trial2,brow,9.9684
5410_285.xlsx,bin_3,3,trial2,brow,7.6102
5410_285.xlsx,bin_4,4,trial2,brow,11.977
5410_285.xlsx,bin_5,5,trial2,brow,8.7096
5410_285.xlsx,bin_6,6,trial2,brow,8.8743
5410_285.xlsx,bin_7,7,trial2,brow,10.0758
5410_285.xlsx,bin_8,8,trial2,brow,12.1664
5410_285.xlsx,bin_9,9,trial2,brow,8.0767
5410_285.xlsx,bin_10,10,trial2,brow,9.8169
5410_285.xlsx,bin_11,11,trial2,brow,9.998
5410_285.xlsx,bin_12,12,trial2,brow,10.8423
5410_285.xlsx,bin_13,13,trial2,brow,10.2629
5410_285.xlsx,bin_14,14,trial2,brow,11.8904
5410_285.xlsx,bin_15,15,trial2,brow,13.1683
5410_285.xlsx,bin_16,16,trial2,brow,10.6722
5410_285.xlsx,bin_17,17,trial2,brow,10.0733
5410_285.xlsx,bin_18,18,trial2,brow,11.2844
5410_285.xlsx,bin_19,19,trial2,brow,11.2595
5410_285.xlsx,bin_20,20,trial2,brow,10.0971
5410_285.xlsx,bin_0,0,trial3,brow,17.7902
5410_285.xlsx,bin_1,1,trial3,brow,14.6383
5410_285.xlsx,bin_2,2,trial3,brow,19.8301
5410_285.xlsx,bin_3,3,trial3,brow,17.9394
5410_285.xlsx,bin_4,4,trial3,brow,21.1661
5410_285.xlsx,bin_5,5,trial3,brow,19.184
5410_285.xlsx,bin_6,6,trial3,brow,18.2219
5410_285.xlsx,bin_7,7,trial3,brow,20.5206
5410_285.xlsx,bin_8,8,trial3,brow,23.738
5410_285.xlsx,bin_9,9,trial3,brow,19.3075
5410_285.xlsx,bin_10,10,trial3,brow,19.6579
5410_285.xlsx,bin_11,11,trial3,brow,19.1107
5410_285.xlsx,bin_12,12,trial3,brow,18.2857
5410_285.xlsx,bin_13,13,trial3,brow,20.7014
5410_285.xlsx,bin_14,14,trial3,brow,65.8603
5410_285.xlsx,bin_15,15,trial3,brow,41.6469
5410_285.xlsx,bin_16,16,trial3,brow,27.5339
5410_285.xlsx,bin_17,17,trial3,brow,18.9454
5410_285.xlsx,bin_18,18,trial3,brow,20.5763
5410_285.xlsx,bin_19,19,trial3,brow,14.6414
5410_285.xlsx,bin_20,20,trial3,brow,19.3138
5410_285.xlsx,bin_0,0,trial4,brow,13.2002
5410_285.xlsx,bin_1,1,trial4,brow,12.0436
5410_285.xlsx,bin_2,2,trial4,brow,11.6015
5410_285.xlsx,bin_3,3,trial4,brow,11.677
5410_285.xlsx,bin_4,4,trial4,brow,11.933
5410_285.xlsx,bin_5,5,trial4,brow,14.699
5410_285.xlsx,bin_6,6,trial4,brow,12.008
5410_285.xlsx,bin_7,7,trial4,brow,10.0702
5410_285.xlsx,bin_8,8,trial4,brow,10.3822
5410_285.xlsx,bin_9,9,trial4,brow,9.6642
5410_285.xlsx,bin_10,10,trial4,brow,11.337
5410_285.xlsx,bin_11,11,trial4,brow,13.1748
5410_285.xlsx,bin_12,12,trial4,brow,13.7259
5410_285.xlsx,bin_13,13,trial4,brow,11.9923
5410_285.xlsx,bin_14,14,trial4,brow,10.4872
5410_285.xlsx,bin_15,15,trial4,brow,6.7445
5410_285.xlsx,bin_16,16,trial4,brow,5.1908
5410_285.xlsx,bin_17,17,trial4,brow,14.5538
5410_285.xlsx,bin_18,18,trial4,brow,11.4289
5410_285.xlsx,bin_19,19,trial4,brow,7.6331
5410_285.xlsx,bin_20,20,trial4,brow,6.3396
5410_285.xlsx,bin_0,0,trial5,brow,15.5961
5410_285.xlsx,bin_1,1,trial5,brow,17.9614
5410_285.xlsx,bin_2,2,trial5,brow,15.8771
5410_285.xlsx,bin_3,3,trial5,brow,14.2261
5410_285.xlsx,bin_4,4,trial5,brow,9.9844
5410_285.xlsx,bin_5,5,trial5,brow,12.6599
5410_285.xlsx,bin_6,6,trial5,brow,10.3879
5410_285.xlsx,bin_7,7,trial5,brow,7.0027
5410_285.xlsx,bin_8,8,trial5,brow,7.1703
5410_285.xlsx,bin_9,9,trial5,brow,7.4118
5410_285.xlsx,bin_10,10,trial5,brow,13.7191
5410_285.xlsx,bin_11,11,trial5,brow,35.6253
5410_285.xlsx,bin_12,12,trial5,brow,34.1841
5410_285.xlsx,bin_13,13,trial5,brow,78.4818
5410_285.xlsx,bin_14,14,trial5,brow,60.3269
5410_285.xlsx,bin_15,15,trial5,brow,35.4651
5410_285.xlsx,bin_16,16,trial5,brow,20.6466
5410_285.xlsx,bin_17,17,trial5,brow,28.5838
5410_285.xlsx,bin_18,18,trial5,brow,14.2918
5410_285.xlsx,bin_19,19,trial5,brow,19.7752
5410_285.xlsx,bin_20,20,trial5,brow,17.8666
5410_285.xlsx,bin_0,0,trial6,brow,13.148
5410_285.xlsx,bin_1,1,trial6,brow,9.9481
5410_285.xlsx,bin_2,2,trial6,brow,9.5435
5410_285.xlsx,bin_3,3,trial6,brow,7.0275
5410_285.xlsx,bin_4,4,trial6,brow,6.2793
5410_285.xlsx,bin_5,5,trial6,brow,7.0966
5410_285.xlsx,bin_6,6,trial6,brow,9.0476
5410_285.xlsx,bin_7,7,trial6,brow,17.88
5410_285.xlsx,bin_8,8,trial6,brow,16.5593
5410_285.xlsx,bin_9,9,trial6,brow,12.1676
5410_285.xlsx,bin_10,10,trial6,brow,8.9933
5410_285.xlsx,bin_11,11,trial6,brow,14.6587
5410_285.xlsx,bin_12,12,trial6,brow,22.4271
5410_285.xlsx,bin_13,13,trial6,brow,13.2526
5410_285.xlsx,bin_14,14,trial6,brow,18.9297
5410_285.xlsx,bin_15,15,trial6,brow,13.5904
5410_285.xlsx,bin_16,16,trial6,brow,10.8536
5410_285.xlsx,bin_17,17,trial6,brow,10.8448
5410_285.xlsx,bin_18,18,trial6,brow,8.199
5410_285.xlsx,bin_19,19,trial6,brow,12.6436
5410_285.xlsx,bin_20,20,trial6,brow,22.9272
5410_285.xlsx,bin_0,0,trial7,brow,12.7565
5410_285.xlsx,bin_1,1,trial7,brow,12.5203
5410_285.xlsx,bin_2,2,trial7,brow,12.1055
5410_285.xlsx,bin_3,3,trial7,brow,14.4989
5410_285.xlsx,bin_4,4,trial7,brow,10.3371
5410_285.xlsx,bin_5,5,trial7,brow,14.9815
5410_285.xlsx,bin_6,6,trial7,brow,13.388
5410_285.xlsx,bin_7,7,trial7,brow,16.284
5410_285.xlsx,bin_8,8,trial7,brow,14.8091
5410_285.xlsx,bin_9,9,trial7,brow,14.6071
5410_285.xlsx,bin_10,10,trial7,brow,12.7459
5410_285.xlsx,bin_11,11,trial7,brow,10.0944
5410_285.xlsx,bin_12,12,trial7,brow,12.2489
5410_285.xlsx,bin_13,13,trial7,brow,8.9221
5410_285.xlsx,bin_14,14,trial7,brow,6.6514
5410_285.xlsx,bin_15,15,trial7,brow,8.0233
5410_285.xlsx,bin_16,16,trial7,brow,7.1922
5410_285.xlsx,bin_17,17,trial7,brow,8.8123
5410_285.xlsx,bin_18,18,trial7,brow,8.6944
5410_285.xlsx,bin_19,19,trial7,brow,11.6177
5410_285.xlsx,bin_20,20,trial7,brow,8.862
5410_285.xlsx,bin_0,0,trial8,brow,16.4854
5410_285.xlsx,bin_1,1,trial8,brow,15.0569
5410_285.xlsx,bin_2,2,trial8,brow,14.9804
5410_285.xlsx,bin_3,3,trial8,brow,12.4585
5410_285.xlsx,bin_4,4,trial8,brow,11.1957
5410_285.xlsx,bin_5,5,trial8,brow,12.4279
5410_285.xlsx,bin_6,6,trial8,brow,11.7903
5410_285.xlsx,bin_7,7,trial8,brow,10.2057
5410_285.xlsx,bin_8,8,trial8,brow,11.7735
5410_285.xlsx,bin_9,9,trial8,brow,10.1846
5410_285.xlsx,bin_10,10,trial8,brow,10.9161
5410_285.xlsx,bin_11,11,trial8,brow,7.8776
5410_285.xlsx,bin_12,12,trial8,brow,4.5809
5410_285.xlsx,bin_13,13,trial8,brow,6.1487
5410_285.xlsx,bin_14,14,trial8,brow,5.2383
5410_285.xlsx,bin_15,15,trial8,brow,5.2837
5410_285.xlsx,bin_16,16,trial8,brow,5.5559
5410_285.xlsx,bin_17,17,trial8,brow,5.5876
5410_285.xlsx,bin_18,18,trial8,brow,6.7667
5410_285.xlsx,bin_19,19,trial8,brow,5.9014
5410_285.xlsx,bin_20,20,trial8,brow,6.7677
5410_285.xlsx,bin_0,0,trial1,cheek,4.982
5410_285.xlsx,bin_1,1,trial1,cheek,7.1065
5410_285.xlsx,bin_2,2,trial1,cheek,7.3321
5410_285.xlsx,bin_3,3,trial1,cheek,6.3116
5410_285.xlsx,bin_4,4,trial1,cheek,9.6088
5410_285.xlsx,bin_5,5,trial1,cheek,7.1991
5410_285.xlsx,bin_6,6,trial1,cheek,6.9776
5410_285.xlsx,bin_7,7,trial1,cheek,8.1261
5410_285.xlsx,bin_8,8,trial1,cheek,7.7785
