file_name,bin,bin_no,trial,muscle,rms
pp5411_673.xlsx,bin_0,0,trial1,brow,5.5486
pp5411_673.xlsx,bin_1,1,trial1,brow,6.1748
pp5411_673.xlsx,bin_2,2,trial1,brow,6.1345
pp5411_673.xlsx,bin_3,3,trial1,brow,7.3807
pp5411_673.xlsx,bin_4,4,trial1,brow,4.8462
pp5411_673.xlsx,bin_5,5,trial1,brow,4.0169
pp5411_673.xlsx,bin_6,6,trial1,brow,5.3768
pp5411_673.xlsx,bin_7,7,trial1,brow,5.3283
pp5411_673.xlsx,bin_8,8,trial1,brow,6.8964
pp5411_673.xlsx,bin_9,9,trial1,brow,3.9654
pp5411_673.xlsx,bin_10,10,trial1,brow,5.4135
pp5411_673.xlsx,bin_11,11,trial1,brow,4.2202
pp5411_673.xlsx,bin_12,12,trial1,brow,3.0173
pp5411_673.xlsx,bin_13,13,trial1,brow,2.5088
pp5411_673.xlsx,bin_14,14,trial1,brow,2.828
pp5411_673.xlsx,bin_15,15,trial1,brow,3.28
pp5411_673.xlsx,bin_16,16,trial1,brow,3.19
pp5411_673.xlsx,bin_17,17,trial1,brow,2.644
pp5411_673.xlsx,bin_18,18,trial1,brow,2.3259
pp5411_673.xlsx,bin_19,19,trial1,brow,2.6618
pp5411_673.xlsx,bin_20,20,trial1,brow,2.1419
pp5411_673.xlsx,bin_0,0,trial2,brow,4.1478
pp5411_673.xlsx,bin_1,1,trial2,brow,3.7144
pp5411_673.xlsx,bin_2,2,trial2,brow,4.0696
pp5411_673.xlsx,bin_3,3,trial2,brow,3.4112
pp5411_673.xlsx,bin_4,4,trial2,brow,2.9282
pp5411_673.xlsx,bin_5,5,trial2,brow,3.2426
pp5411_673.xlsx,bin_6,6,trial2,brow,3.0267
pp5411_673.xlsx,bin_7,7,trial2,brow,2.7081
pp5411_673.xlsx,bin_8,8,trial2,brow,3.1875
pp5411_673.xlsx,bin_9,9,trial2,brow,2.0262
pp5411_673.xlsx,bin_10,10,trial2,brow,2.5372
pp5411_673.xlsx,bin_11,11,trial2,brow,3.4806
pp5411_673.xlsx,bin_12,12,trial2,brow,3.2956
pp5411_673.xlsx,bin_13,13,trial2,brow,3.0406
pp5411_673.xlsx,bin_14,14,trial2,brow,2.6287
pp5411_673.xlsx,bin_15,15,trial2,brow,2.3512
pp5411_673.xlsx,bin_16,16,trial2,brow,2.6925
pp5411_673.xlsx,bin_17,17,trial2,brow,2.5446
pp5411_673.xlsx,bin_18,18,trial2,brow,3.6534
pp5411_673.xlsx,bin_19,19,trial2,brow,2.8316
pp5411_673.xlsx,bin_20,20,trial2,brow,3.568
pp5411_673.xlsx,bin_0,0,trial3,brow,3.6592
pp5411_673.xlsx,bin_1,1,trial3,brow,3.3558
pp5411_673.xlsx,bin_2,2,trial3,brow,3.9589
pp5411_673.xlsx,bin_3,3,trial3,brow,3.1346
pp5411_673.xlsx,bin_4,4,trial3,brow,3.1882
pp5411_673.xlsx,bin_5,5,trial3,brow,3.5784
pp5411_673.xlsx,bin_6,6,trial3,brow,3.1099
pp5411_673.xlsx,bin_7,7,trial3,brow,2.5181
pp5411_673.xlsx,bin_8,8,trial3,brow,3.1958
pp5411_673.xlsx,bin_9,9,trial3,brow,2.797
pp5411_673.xlsx,bin_10,10,trial3,brow,2.9095
pp5411_673.xlsx,bin_11,11,trial3,brow,4.4629
pp5411_673.xlsx,bin_12,12,trial3,brow,2.9216
pp5411_673.xlsx,bin_13,13,trial3,brow,2.3675
pp5411_673.xlsx,bin_14,14,trial3,brow,2.7391
pp5411_673.xlsx,bin_15,15,trial3,brow,3.383
pp5411_673.xlsx,bin_16,16,trial3,brow,2.5576
pp5411_673.xlsx,bin_17,17,trial3,brow,2.4927
pp5411_673.xlsx,bin_18,18,trial3,brow,2.6454
pp5411_673.xlsx,bin_19,19,trial3,brow,3.4513
pp5411_673.xlsx,bin_20,20,trial3,brow,3.0303
pp5411_673.xlsx,bin_0,0,trial4,brow,4.9817
pp5411_673.xlsx,bin_1,1,trial4,brow,4.6064
pp5411_673.xlsx,bin_2,2,trial4,brow,5.2531
pp5411_673.xlsx,bin_3,3,trial4,brow,3.7605
pp5411_673.xlsx,bin_4,4,trial4,brow,4.3371
pp5411_673.xlsx,bin_5,5,trial4,brow,4.487
pp5411_673.xlsx,bin_6,6,trial4,brow,4.1238
pp5411_673.xlsx,bin_7,7,trial4,brow,4.2317
pp5411_673.xlsx,bin_8,8,trial4,brow,4.6708
pp5411_673.xlsx,bin_9,9,trial4,brow,4.1104
pp5411_673.xlsx,bin_10,10,trial4,brow,4.9436
pp5411_673.xlsx,bin_11,11,trial4,brow,4.8255
pp5411_673.xlsx,bin_12,12,trial4,brow,4.634
pp5411_673.xlsx,bin_13,13,trial4,brow,4.6596
pp5411_673.xlsx,bin_14,14,trial4,brow,3.4164
pp5411_673.xlsx,bin_15,15,trial4,brow,3.4795
pp5411_673.xlsx,bin_16,16,trial4,brow,4.5556
pp5411_673.xlsx,bin_17,17,trial4,brow,3.9124
pp5411_673.xlsx,bin_18,18,trial4,brow,4.3803
pp5411_673.xlsx,bin_19,19,trial4,brow,3.2133
pp5411_673.xlsx,bin_20,20,trial4,brow,5.5798
pp5411_673.xlsx,bin_0,0,trial5,brow,4.1083
pp5411_673.xlsx,bin_1,1,trial5,brow,5.1065
pp5411_673.xlsx,bin_2,2,trial5,brow,4.5664
pp5411_673.xlsx,bin_3,3,trial5,brow,4.5397
pp5411_673.xlsx,bin_4,4,trial5,brow,4.0055
pp5411_673.xlsx,bin_5,5,trial5,brow,4.6191
pp5411_673.xlsx,bin_6,6,trial5,brow,3.9488
pp5411_673.xlsx,bin_7,7,trial5,brow,4.9166
pp5411_673.xlsx,bin_8,8,trial5,brow,3.7081
pp5411_673.xlsx,bin_9,9,trial5,brow,3.1239
pp5411_673.xlsx,bin_10,10,trial5,brow,4.0125
pp5411_673.xlsx,bin_11,11,trial5,brow,3.5674
pp5411_673.xlsx,bin_12,12,trial5,brow,3.8306
pp5411_673.xlsx,bin_13,13,trial5,brow,2.7513
pp5411_673.xlsx,bin_14,14,trial5,brow,2.8437
pp5411_673.xlsx,bin_15,15,trial5,brow,3.9036
pp5411_673.xlsx,bin_16,16,trial5,brow,5.2478
pp5411_673.xlsx,bin_17,17,trial5,brow,3.8366
pp5411_673.xlsx,bin_18,18,trial5,brow,4.6844
pp5411_673.xlsx,bin_19,19,trial5,brow,4.1166
pp5411_673.xlsx,bin_20,20,trial5,brow,4.2898
pp5411_673.xlsx,bin_0,0,trial6,brow,4.3813
pp5411_673.xlsx,bin_1,1,trial6,brow,4.3748
pp5411_673.xlsx,bin_2,2,trial6,brow,5.1213
pp5411_673.xlsx,bin_3,3,trial6,brow,4.4942
pp5411_673.xlsx,bin_4,4,trial6,brow,4.6602
pp5411_673.xlsx,bin_5,5,trial6,brow,5.399
pp5411_673.xlsx,bin_6,6,trial6,brow,4.2365
pp5411_673.xlsx,bin_7,7,trial6,brow,5.7564
pp5411_673.xlsx,bin_8,8,trial6,brow,6.3135
pp5411_673.xlsx,bin_9,9,trial6,brow,4.9502
pp5411_673.xlsx,bin_10,10,trial6,brow,4.4186
pp5411_673.xlsx,bin_11,11,trial6,brow,4.5812
pp5411_673.xlsx,bin_12,12,trial6,brow,4.7847
pp5411_673.xlsx,bin_13,13,trial6,brow,4.0637
pp5411_673.xlsx,bin_14,14,trial6,brow,4.5555
pp5411_673.xlsx,bin_15,15,trial6,brow,4.1778
pp5411_673.xlsx,bin_16,16,trial6,brow,5.1288
pp5411_673.xlsx,bin_17,17,trial6,brow,4.0807
pp5411_673.xlsx,bin_18,18,trial6,brow,5.416
pp5411_673.xlsx,bin_19,19,trial6,brow,4.9748
