file_name,bin,bin_no,trial,muscle,rms
pp5417_673.xlsx,bin_0,0,trial1,brow,22.7214
pp5417_673.xlsx,bin_1,1,trial1,brow,18.0413
pp5417_673.xlsx,bin_2,2,trial1,brow,21.0389
pp5417_673.xlsx,bin_3,3,trial1,brow,18.7789
pp5417_673.xlsx,bin_4,4,trial1,brow,15.3463
pp5417_673.xlsx,bin_5,5,trial1,brow,26.7457
pp5417_673.xlsx,bin_6,6,trial1,brow,21.3284
pp5417_673.xlsx,bin_7,7,trial1,brow,24.3263
pp5417_673.xlsx,bin_8,8,trial1,brow,20.8554
pp5417_673.xlsx,bin_9,9,trial1,brow,20.8044
pp5417_673.xlsx,bin_10,10,trial1,brow,17.8233
pp5417_673.xlsx,bin_11,11,trial1,brow,18.4636
pp5417_673.xlsx,bin_12,12,trial1,brow,6.8131
pp5417_673.xlsx,bin_13,13,trial1,brow,7.7694
pp5417_673.xlsx,bin_14,14,trial1,brow,16.0791
pp5417_673.xlsx,bin_15,15,trial1,brow,10.2051
pp5417_673.xlsx,bin_16,16,trial1,brow,7.6153
pp5417_673.xlsx,bin_17,17,trial1,brow,9.5304
pp5417_673.xlsx,bin_18,18,trial1,brow,12.2144
pp5417_673.xlsx,bin_19,19,trial1,brow,13.3732
pp5417_673.xlsx,bin_20,20,trial1,brow,11.3783
pp5417_673.xlsx,bin_0,0,trial2,brow,25.6077
pp5417_673.xlsx,bin_1,1,trial2,brow,33.618
pp5417_673.xlsx,bin_2,2,trial2,brow,18.4682
pp5417_673.xlsx,bin_3,3,trial2,brow,29.0151
pp5417_673.xlsx,bin_4,4,trial2,brow,18.4909
pp5417_673.xlsx,bin_5,5,trial2,brow,23.0578
pp5417_673.xlsx,bin_6,6,trial2,brow,23.1944
pp5417_673.xlsx,bin_7,7,trial2,brow,21.8924
pp5417_673.xlsx,bin_8,8,trial2,brow,22.5656
pp5417_673.xlsx,bin_9,9,trial2,brow,16.9295
pp5417_673.xlsx,bin_10,10,trial2,brow,14.7244
pp5417_673.xlsx,bin_11,11,trial2,brow,17.6932
pp5417_673.xlsx,bin_12,12,trial2,brow,22.0264
pp5417_673.xlsx,bin_13,13,trial2,brow,24.6734
pp5417_673.xlsx,bin_14,14,trial2,brow,26.4413
pp5417_673.xlsx,bin_15,15,trial2,brow,40.6142
pp5417_673.xlsx,bin_16,16,trial2,brow,56.0837
pp5417_673.xlsx,bin_17,17,trial2,brow,47.8937
pp5417_673.xlsx,bin_18,18,trial2,brow,61.0939
pp5417_673.xlsx,bin_19,19,trial2,brow,31.1522
pp5417_673.xlsx,bin_20,20,trial2,brow,30.9734
pp5417_673.xlsx,bin_0,0,trial3,brow,33.3071
pp5417_673.xlsx,bin_1,1,trial3,brow,28.1936
pp5417_673.xlsx,bin_2,2,trial3,brow,39.1645
pp5417_673.xlsx,bin_3,3,trial3,brow,56.6514
pp5417_673.xlsx,bin_4,4,trial3,brow,32.7516
pp5417_673.xlsx,bin_5,5,trial3,brow,34.9723
pp5417_673.xlsx,bin_6,6,trial3,brow,28.5311
pp5417_673.xlsx,bin_7,7,trial3,brow,29.9703
pp5417_673.xlsx,bin_8,8,trial3,brow,39.471
pp5417_673.xlsx,bin_9,9,trial3,brow,32.6721
pp5417_673.xlsx,bin_10,10,trial3,brow,21.9753
pp5417_673.xlsx,bin_11,11,trial3,brow,27.258
pp5417_673.xlsx,bin_12,12,trial3,brow,27.439
pp5417_673.xlsx,bin_13,13,trial3,brow,25.6224
pp5417_673.xlsx,bin_14,14,trial3,brow,29.8796
pp5417_673.xlsx,bin_15,15,trial3,brow,28.5358
pp5417_673.xlsx,bin_16,16,trial3,brow,29.407
pp5417_673.xlsx,bin_17,17,trial3,brow,25.264
pp5417_673.xlsx,bin_18,18,trial3,brow,35.5211
pp5417_673.xlsx,bin_19,19,trial3,brow,22.5525
pp5417_673.xlsx,bin_20,20,trial3,brow,32.2618
pp5417_673.xlsx,bin_0,0,trial4,brow,27.4899
pp5417_673.xlsx,bin_1,1,trial4,brow,21.5974
pp5417_673.xlsx,bin_2,2,trial4,brow,24.0344
pp5417_673.xlsx,bin_3,3,trial4,brow,24.9543
pp5417_673.xlsx,bin_4,4,trial4,brow,23.8554
pp5417_673.xlsx,bin_5,5,trial4,brow,27.2144
pp5417_673.xlsx,bin_6,6,trial4,brow,28.8349
pp5417_673.xlsx,bin_7,7,trial4,brow,23.6159
pp5417_673.xlsx,bin_8,8,trial4,brow,22.6559
pp5417_673.xlsx,bin_9,9,trial4,brow,26.6068
pp5417_673.xlsx,bin_10,10,trial4,brow,34.4233
