file_name,bin,bin_no,trial,muscle,rms
p488_285.xlsx,bin_0,0,trial1,brow,13.9241
p488_285.xlsx,bin_1,1,trial1,brow,11.3227
p488_285.xlsx,bin_2,2,trial1,brow,14.7327
p488_285.xlsx,bin_3,3,trial1,brow,15.8853
p488_285.xlsx,bin_4,4,trial1,brow,19.6488
p488_285.xlsx,bin_5,5,trial1,brow,15.926
p488_285.xlsx,bin_6,6,trial1,brow,14.3562
p488_285.xlsx,bin_7,7,trial1,brow,21.8659
p488_285.xlsx,bin_8,8,trial1,brow,14.6337
p488_285.xlsx,bin_9,9,trial1,brow,13.6871
p488_285.xlsx,bin_10,10,trial1,brow,18.9431
p488_285.xlsx,bin_11,11,trial1,brow,14.9691
p488_285.xlsx,bin_12,12,trial1,brow,10.4506
p488_285.xlsx,bin_13,13,trial1,brow,8.7542
p488_285.xlsx,bin_14,14,trial1,brow,9.5305
p488_285.xlsx,bin_15,15,trial1,brow,11.3773
p488_285.xlsx,bin_16,16,trial1,brow,12.8738
p488_285.xlsx,bin_17,17,trial1,brow,14.5232
p488_285.xlsx,bin_18,18,trial1,brow,16.5829
p488_285.xlsx,bin_19,19,trial1,brow,13.1663
p488_285.xlsx,bin_20,20,trial1,brow,14.0847
p488_285.xlsx,bin_0,0,trial2,brow,15.1053
p488_285.xlsx,bin_1,1,trial2,brow,17.006
p488_285.xlsx,bin_2,2,trial2,brow,12.1675
p488_285.xlsx,bin_3,3,trial2,brow,13.2199
p488_285.xlsx,bin_4,4,trial2,brow,12.9082
p488_285.xlsx,bin_5,5,trial2,brow,16.0118
p488_285.xlsx,bin_6,6,trial2,brow,18.0602
p488_285.xlsx,bin_7,7,trial2,brow,15.0736
p488_285.xlsx,bin_8,8,trial2,brow,16.7061
p488_285.xlsx,bin_9,9,trial2,brow,17.1558
p488_285.xlsx,bin_10,10,trial2,brow,13.6087
p488_285.xlsx,bin_11,11,trial2,brow,15.5478
p488_285.xlsx,bin_12,12,trial2,brow,15.1897
p488_285.xlsx,bin_13,13,trial2,brow,17.721
p488_285.xlsx,bin_14,14,trial2,brow,21.5146
p488_285.xlsx,bin_15,15,trial2,brow,13.7579
p488_285.xlsx,bin_16,16,trial2,brow,16.2461
p488_285.xlsx,bin_17,17,trial2,brow,12.6223
p488_285.xlsx,bin_18,18,trial2,brow,10.8316
p488_285.xlsx,bin_19,19,trial2,brow,11.5115
p488_285.xlsx,bin_20,20,trial2,brow,21.0258
p488_285.xlsx,bin_0,0,trial3,brow,13.9808
p488_285.xlsx,bin_1,1,trial3,brow,12.8604
p488_285.xlsx,bin_2,2,trial3,brow,13.4683
p488_285.xlsx,bin_3,3,trial3,brow,15.8759
p488_285.xlsx,bin_4,4,trial3,brow,10.1405
p488_285.xlsx,bin_5,5,trial3,brow,13.8818
p488_285.xlsx,bin_6,6,trial3,brow,11.9889
p488_285.xlsx,bin_7,7,trial3,brow,15.6774
p488_285.xlsx,bin_8,8,trial3,brow,18.2193
p488_285.xlsx,bin_9,9,trial3,brow,15.3365
p488_285.xlsx,bin_10,10,trial3,brow,10.078
p488_285.xlsx,bin_11,11,trial3,brow,13.2785
p488_285.xlsx,bin_12,12,trial3,brow,14.2197
