file_name,bin,bin_no,trial,muscle,rms
pp5418_913.xlsx,bin_0,0,trial1,brow,11.9275
pp5418_913.xlsx,bin_1,1,trial1,brow,10.4507
pp5418_913.xlsx,bin_2,2,trial1,brow,9.901
pp5418_913.xlsx,bin_3,3,trial1,brow,11.777
pp5418_913.xlsx,bin_4,4,trial1,brow,11.9941
pp5418_913.xlsx,bin_5,5,trial1,brow,12.5933
pp5418_913.xlsx,bin_6,6,trial1,brow,9.1692
pp5418_913.xlsx,bin_7,7,trial1,brow,16.1975
pp5418_913.xlsx,bin_8,8,trial1,brow,9.329
pp5418_913.xlsx,bin_9,9,trial1,brow,11.9604
pp5418_913.xlsx,bin_10,10,trial1,brow,10.575
pp5418_913.xlsx,bin_11,11,trial1,brow,8.622
pp5418_913.xlsx,bin_12,12,trial1,brow,9.2874
pp5418_913.xlsx,bin_13,13,trial1,brow,9.6372
pp5418_913.xlsx,bin_14,14,trial1,brow,11.6361
pp5418_913.xlsx,bin_15,15,trial1,brow,10.1757
pp5418_913.xlsx,bin_16,16,trial1,brow,8.9634
pp5418_913.xlsx,bin_17,17,trial1,brow,11.4613
pp5418_913.xlsx,bin_18,18,trial1,brow,10.1795
pp5418_913.xlsx,bin_19,19,trial1,brow,11.9164
pp5418_913.xlsx,bin_20,20,trial1,brow,11.27
pp5418_913.xlsx,bin_0,0,trial2,brow,14.2823
pp5418_913.xlsx,bin_1,1,trial2,brow,13.4051
pp5418_913.xlsx,bin_2,2,trial2,brow,12.0695
pp5418_913.xlsx,bin_3,3,trial2,brow,11.0294
pp5418_913.xlsx,bin_4,4,trial2,brow,11.2237
pp5418_913.xlsx,bin_5,5,trial2,brow,14.9849
pp5418_913.xlsx,bin_6,6,trial2,brow,8.5905
pp5418_913.xlsx,bin_7,7,trial2,brow,14.6013
pp5418_913.xlsx,bin_8,8,trial2,brow,8.3525
pp5418_913.xlsx,bin_9,9,trial2,brow,9.8618
pp5418_913.xlsx,bin_10,10,trial2,brow,11.3145
pp5418_913.xlsx,bin_11,11,trial2,brow,18.4871
pp5418_913.xlsx,bin_12,12,trial2,brow,11.1639
pp5418_913.xlsx,bin_13,13,trial2,brow,12.2813
pp5418_913.xlsx,bin_14,14,trial2,brow,11.2278
pp5418_913.xlsx,bin_15,15,trial2,brow,11.5031
pp5418_913.xlsx,bin_16,16,trial2,brow,11.7613
pp5418_913.xlsx,bin_17,17,trial2,brow,12.4647
pp5418_913.xlsx,bin_18,18,trial2,brow,12.3736
pp5418_913.xlsx,bin_19,19,trial2,brow,11.8251
pp5418_913.xlsx,bin_20,20,trial2,brow,9.8096
pp5418_913.xlsx,bin_0,0,trial3,brow,12.1226
pp5418_913.xlsx,bin_1,1,trial3,brow,15.8506
pp5418_913.xlsx,bin_2,2,trial3,brow,12.2646
pp5418_913.xlsx,bin_3,3,trial3,brow,12.1544
pp5418_913.xlsx,bin_4,4,trial3,brow,11.7389
pp5418_913.xlsx,bin_5,5,trial3,brow,10.6288
pp5418_913.xlsx,bin_6,6,trial3,brow,9.2611
pp5418_913.xlsx,bin_7,7,trial3,brow,11.4951
pp5418_913.xlsx,bin_8,8,trial3,brow,12.1387
pp5418_913.xlsx,bin_9,9,trial3,brow,10.0732
pp5418_913.xlsx,bin_10,10,trial3,brow,10.5204
pp5418_913.xlsx,bin_11,11,trial3,brow,12.1332
pp5418_913.xlsx,bin_12,12,trial3,brow,10.1775
pp5418_913.xlsx,bin_13,13,trial3,brow,14.1806
pp5418_913.xlsx,bin_14,14,trial3,brow,11.6387
pp5418_913.xlsx,bin_15,15,trial3,brow,10.9184
pp5418_913.xlsx,bin_16,16,trial3,brow,10.5567
pp5418_913.xlsx,bin_17,17,trial3,brow,11.8427
pp5418_913.xlsx,bin_18,18,trial3,brow,15.2384
pp5418_913.xlsx,bin_19,19,trial3,brow,11.056
pp5418_913.xlsx,bin_20,20,trial3,brow,12.4432
pp5418_913.xlsx,bin_0,0,trial4,brow,10.7126
pp5418_913.xlsx,bin_1,1,trial4,brow,11.062
pp5418_913.xlsx,bin_2,2,trial4,brow,12.0469
pp5418_913.xlsx,bin_3,3,trial4,brow,12.6068
pp5418_913.xlsx,bin_4,4,trial4,brow,10.9069
pp5418_913.xlsx,bin_5,5,trial4,brow,8.6552
pp5418_913.xlsx,bin_6,6,trial4,brow,10.3821
pp5418_913.xlsx,bin_7,7,trial4,brow,13.1138
pp5418_913.xlsx,bin_8,8,trial4,brow,10.1214
pp5418_913.xlsx,bin_9,9,trial4,brow,13.2618
pp5418_913.xlsx,bin_10,10,trial4,brow,13.9925
pp5418_913.xlsx,bin_11,11,trial4,brow,8.5333
pp5418_913.xlsx,bin_12,12,trial4,brow,9.0684
pp5418_913.xlsx,bin_13,13,trial4,brow,11.6045
pp5418_913.xlsx,bin_14,14,trial4,brow,10.8028
pp5418_913.xlsx,bin_15,15,trial4,brow,10.092
pp5418_913.xlsx,bin_16,16,trial4,brow,10.1261
pp5418_913.xlsx,bin_17,17,trial4,brow,7.6557
pp5418_913.xlsx,bin_18,18,trial4,brow,10.2451
pp5418_913.xlsx,bin_19,19,trial4,brow,10.2453
pp5418_913.xlsx,bin_20,20,trial4,brow,10.0105
pp5418_913.xlsx,bin_0,0,trial5,brow,10.109
pp5418_913.xlsx,bin_1,1,trial5,brow,9.2271
pp5418_913.xlsx,bin_2,2,trial5,brow,11.9705
pp5418_913.xlsx,bin_3,3,trial5,brow,13.2101
pp5418_913.xlsx,bin_4,4,trial5,brow,15.1467
pp5418_913.xlsx,bin_5,5,trial5,brow,8.5372
pp5418_913.xlsx,bin_6,6,trial5,brow,12.5303
