file_name,bin,bin_no,trial,muscle,rms
5410_285.xlsx,bin_0,0,trial1,brow,2.9791
p488_285.xlsx,bin_0,0,trial1,brow,13.9241
pp481_285.xlsx,bin_0,0,trial1,brow,12.0125
pp4810_285.xlsx,bin_0,0,trial1,brow,9.1277
pp4810_913.xlsx,bin_0,0,trial1,brow,7.9219
pp4811_285.xlsx,bin_0,0,trial1,brow,22.9762
pp4811_913.xlsx,bin_0,0,trial1,brow,18.9668
pp4812_285.xlsx,bin_0,0,trial1,brow,7.8698
pp4812_913.xlsx,bin_0,0,trial1,brow,17.9674
pp482_285.xlsx,bin_0,0,trial1,brow,44.257
pp482_913.xlsx,bin_0,0,trial1,brow,36.6148
pp483_285.xlsx,bin_0,0,trial1,brow,15.6978
pp483_913.xlsx,bin_0,0,trial1,brow,8.3866
pp485_285.xlsx,bin_0,0,trial1,brow,9.2909
pp485_913.xlsx,bin_0,0,trial1,brow,15.9486
pp486_285.xlsx,bin_0,0,trial1,brow,5.934
pp486_913.xlsx,bin_0,0,trial1,brow,4.7295
pp488_913.xlsx,bin_0,0,trial1,brow,9.6862
pp489_285.xlsx,bin_0,0,trial1,brow,16.4369
pp489_913.xlsx,bin_0,0,trial1,brow,3.6685
pp541_285.xlsx,bin_0,0,trial1,brow,17.9674
pp541_913.xlsx,bin_0,0,trial1,brow,8.8128
pp5410_913.xlsx,bin_0,0,trial1,brow,2.5791
pp5411_285.xlsx,bin_0,0,trial1,brow,8.7259
pp5411_913.xlsx,bin_0,0,trial1,brow,5.6684
pp5412_285.xlsx,bin_0,0,trial1,brow,5.015
pp5412_913.xlsx,bin_0,0,trial1,brow,5.0809
pp5413_285.xlsx,bin_0,0,trial1,brow,6.6543
pp5413_913.xlsx,bin_0,0,trial1,brow,8.1911
pp5414_285.xlsx,bin_0,0,trial1,brow,8.5922
pp5414_913.xlsx,bin_0,0,trial1,brow,7.805
pp5416_285.xlsx,bin_0,0,trial1,brow,5.5584
pp5416_913.xlsx,bin_0,0,trial1,brow,5.23
pp5417_285.xlsx,bin_0,0,trial1,brow,19.2769
pp5417_913.xlsx,bin_0,0,trial1,brow,16.1647
pp5418_285.xlsx,bin_0,0,trial1,brow,10.9821
pp5418_913.xlsx,bin_0,0,trial1,brow,11.9275
pp5419_285.xlsx,bin_0,0,trial1,brow,4.4605
pp5419_913.xlsx,bin_0,0,trial1,brow,4.0784
pp542_285.xlsx,bin_0,0,trial1,brow,9.477
pp542_913.xlsx,bin_0,0,trial1,brow,4.9336
pp5421_285.xlsx,bin_0,0,trial1,brow,5.5182
pp5421_913.xlsx,bin_0,0,trial1,brow,4.5028
pp5422_285.xlsx,bin_0,0,trial1,brow,7.1418
pp5422_913.xlsx,bin_0,0,trial1,brow,2.6191
pp5423_285.xlsx,bin_0,0,trial1,brow,11.3243
pp5423_913.xlsx,bin_0,0,trial1,brow,8.1581
