pp_no,muscle,condition,trial,bin,bin_no,rms
5410,brow,285,trial1,bin_0,0,2.9791
5410,brow,285,trial1,bin_1,1,3.8066
5410,brow,285,trial1,bin_2,2,3.9071
5410,brow,285,trial1,bin_3,3,17.013
5410,brow,285,trial1,bin_4,4,15.3155
5410,brow,285,trial1,bin_5,5,9.7
5410,brow,285,trial1,bin_6,6,8.1597
5410,brow,285,trial1,bin_7,7,6.3645
5410,brow,285,trial1,bin_8,8,7.4055
5410,brow,285,trial1,bin_9,9,8.786
5410,brow,285,trial1,bin_10,10,6.6788
5410,brow,285,trial1,bin_11,11,4.1309
5410,brow,285,trial1,bin_12,12,5.9804
5410,brow,285,trial1,bin_13,13,2.7133
5410,brow,285,trial1,bin_14,14,2.2441
5410,brow,285,trial1,bin_15,15,6.4836
5410,brow,285,trial1,bin_16,16,5.9113
5410,brow,285,trial1,bin_17,17,5.5233
5410,brow,285,trial1,bin_18,18,6.2749
5410,brow,285,trial1,bin_19,19,4.1548
5410,brow,285,trial1,bin_20,20,3.7118
5410,brow,285,trial2,bin_0,0,9.5844
5410,brow,285,trial2,bin_1,1,7.1729
5410,brow,285,trial2,bin_2,2,9.9684
5410,brow,285,trial2,bin_3,3,7.6102
5410,brow,285,trial2,bin_4,4,11.977
5410,brow,285,trial2,bin_5,5,8.7096
5410,brow,285,trial2,bin_6,6,8.8743
5410,brow,285,trial2,bin_7,7,10.0758
5410,brow,285,trial2,bin_8,8,12.1664
5410,brow,285,trial2,bin_9,9,8.0767
5410,brow,285,trial2,bin_10,10,9.8169
5410,brow,285,trial2,bin_11,11,9.998
5410,brow,285,trial2,bin_12,12,10.8423
5410,brow,285,trial2,bin_13,13,10.2629
5410,brow,285,trial2,bin_14,14,11.8904
5410,brow,285,trial2,bin_15,15,13.1683
5410,brow,285,trial2,bin_16,16,10.6722
5410,brow,285,trial2,bin_17,17,10.0733
5410,brow,285,trial2,bin_18,18,11.2844
5410,brow,285,trial2,bin_19,19,11.2595
5410,brow,285,trial2,bin_20,20,10.0971
5410,brow,285,trial3,bin_0,0,17.7902
5410,brow,285,trial3,bin_1,1,14.6383
5410,brow,285,trial3,bin_2,2,19.8301
5410,brow,285,trial3,bin_3,3,17.9394
5410,brow,285,trial3,bin_4,4,21.1661
5410,brow,285,trial3,bin_5,5,19.184
5410,brow,285,trial3,bin_6,6,18.2219
5410,brow,285,trial3,bin_7,7,20.5206
5410,brow,285,trial3,bin_8,8,23.738
5410,brow,285,trial3,bin_9,9,19.3075
5410,brow,285,trial3,bin_10,10,19.6579
5410,brow,285,trial3,bin_11,11,19.1107
5410,brow,285,trial3,bin_12,12,18.2857
5410,brow,285,trial3,bin_13,13,20.7014
5410,brow,285,trial3,bin_14,14,65.8603
5410,brow,285,trial3,bin_15,15,41.6469
5410,brow,285,trial3,bin_16,16,27.5339
5410,brow,285,trial3,bin_17,17,18.9454
5410,brow,285,trial3,bin_18,18,20.5763
5410,brow,285,trial3,bin_19,19,14.6414
5410,brow,285,trial3,bin_20,20,19.3138
5410,brow,285,trial4,bin_0,0,13.2002
5410,brow,285,trial4,bin_1,1,12.0436
5410,brow,285,trial4,bin_2,2,11.6015
5410,brow,285,trial4,bin_3,3,11.677
5410,brow,285,trial4,bin_4,4,11.933
5410,brow,285,trial4,bin_5,5,14.699
5410,brow,285,trial4,bin_6,6,12.008
5410,brow,285,trial4,bin_7,7,10.0702
5410,brow,285,trial4,bin_8,8,10.3822
5410,brow,285,trial4,bin_9,9,9.6642
5410,brow,285,trial4,bin_10,10,11.337
5410,brow,285,trial4,bin_11,11,13.1748
5410,brow,285,trial4,bin_12,12,13.7259
5410,brow,285,trial4,bin_13,13,11.9923
5410,brow,285,trial4,bin_14,14,10.4872
5410,brow,285,trial4,bin_15,15,6.7445
