pp_no,condition,bin,bin_no,trial,muscle,rms,meanRMS,sdRMS,outlier2SD,outlier1.5SD
pp481,429,bin_0,0,trial1,brow,8.5941,10.209975,1.9628507859379283,FALSE,FALSE
pp481,429,bin_0,0,trial2,brow,10.2982,10.209975,1.9628507859379283,FALSE,FALSE
pp481,429,bin_0,0,trial3,brow,13.5665,10.209975,1.9628507859379283,FALSE,TRUE
pp481,429,bin_0,0,trial4,brow,7.4143,10.209975,1.9628507859379283,FALSE,FALSE
pp481,429,bin_0,0,trial5,brow,11.7947,10.209975,1.9628507859379283,FALSE,FALSE
pp481,429,bin_0,0,trial6,brow,10.7565,10.209975,1.9628507859379283,FALSE,FALSE
pp481,429,bin_0,0,trial7,brow,10.5713,10.209975,1.9628507859379283,FALSE,FALSE
pp481,429,bin_0,0,trial8,brow,8.6842,10.209975,1.9628507859379283,FALSE,FALSE
pp481,429,bin_0,0,trial1,cheek,6.6256,6.9462,2.484125548932087,FALSE,FALSE
pp481,429,bin_0,0,trial2,cheek,7.2651,6.9462,2.484125548932087,FALSE,FALSE
pp481,429,bin_0,0,trial3,cheek,6.3531,6.9462,2.484125548932087,FALSE,FALSE
pp481,429,bin_0,0,trial4,cheek,3.6882,6.9462,2.484125548932087,FALSE,FALSE
pp481,429,bin_0,0,trial5,cheek,8.8762,6.9462,2.484125548932087,FALSE,FALSE
pp481,429,bin_0,0,trial6,cheek,3.8809,6.9462,2.484125548932087,FALSE,FALSE
pp481,429,bin_0,0,trial7,cheek,11.238,6.9462,2.484125548932087,FALSE,TRUE
pp481,429,bin_0,0,trial8,cheek,7.6425,6.9462,2.484125548932087,FALSE,FALSE
pp481,673,bin_0,0,trial1,brow,11.2308,10.8281375,1.2380647986013147,FALSE,FALSE
pp481,673,bin_0,0,trial2,brow,11.7591,10.8281375,1.2380647986013147,FALSE,FALSE
pp481,673,bin_0,0,trial3,brow,12.5612,10.8281375,1.2380647986013147,FALSE,FALSE
pp481,673,bin_0,0,trial4,brow,11.9237,10.8281375,1.2380647986013147,FALSE,FALSE
pp481,673,bin_0,0,trial5,brow,9.7752,10.8281375,1.2380647986013147,FALSE,FALSE
pp481,673,bin_0,0,trial6,brow,9.74,10.8281375,1.2380647986013147,FALSE,FALSE
pp481,673,bin_0,0,trial7,brow,9.0554,10.8281375,1.2380647986013147,FALSE,FALSE
pp481,673,bin_0,0,trial8,brow,10.5797,10.8281375,1.2380647986013147,FALSE,FALSE
pp481,673,bin_0,0,trial1,cheek,3.6439,5.7780375,2.2685513564749393,FALSE,FALSE
pp481,673,bin_0,0,trial2,cheek,4.6032,5.7780375,2.2685513564749393,FALSE,FALSE
pp481,673,bin_0,0,trial3,cheek,10.7857,5.7780375,2.2685513564749393,TRUE,TRUE
pp481,673,bin_0,0,trial4,cheek,6.9877,5.7780375,2.2685513564749393,FALSE,FALSE
pp481,673,bin_0,0,trial5,cheek,4.9373,5.7780375,2.2685513564749393,FALSE,FALSE
pp481,673,bin_0,0,trial6,cheek,5.9114,5.7780375,2.2685513564749393,FALSE,FALSE
pp481,673,bin_0,0,trial7,cheek,4.2288,5.7780375,2.2685513564749393,FALSE,FALSE
pp481,673,bin_0,0,trial8,cheek,5.1263,5.7780375,2.2685513564749393,FALSE,FALSE
pp4811,429,bin_0,0,trial1,brow,17.4942,17.6588875,1.2672841472303786,FALSE,FALSE
pp4811,429,bin_0,0,trial2,brow,17.622,17.6588875,1.2672841472303786,FALSE,FALSE
pp4811,429,bin_0,0,trial3,brow,15.8502,17.6588875,1.2672841472303786,FALSE,FALSE
pp4811,429,bin_0,0,trial4,brow,17.0973,17.6588875,1.2672841472303786,FALSE,FALSE
pp4811,429,bin_0,0,trial5,brow,16.2605,17.6588875,1.2672841472303786,FALSE,FALSE
pp4811,429,bin_0,0,trial6,brow,18.523,17.6588875,1.2672841472303786,FALSE,FALSE
pp4811,429,bin_0,0,trial7,brow,18.9876,17.6588875,1.2672841472303786,FALSE,FALSE
pp4811,429,bin_0,0,trial8,brow,19.4363,17.6588875,1.2672841472303786,FALSE,FALSE
pp4811,429,bin_0,0,trial1,cheek,2.0407,2.5115875,0.3363026206834722,FALSE,FALSE
pp4811,429,bin_0,0,trial2,cheek,2.5839,2.5115875,0.3363026206834722,FALSE,FALSE
pp4811,429,bin_0,0,trial3,cheek,2.2254,2.5115875,0.3363026206834722,FALSE,FALSE
pp4811,429,bin_0,0,trial4,cheek,2.9347,2.5115875,0.3363026206834722,FALSE,FALSE
pp4811,429,bin_0,0,trial5,cheek,2.435,2.5115875,0.3363026206834722,FALSE,FALSE
pp4811,429,bin_0,0,trial6,cheek,3.0405,2.5115875,0.3363026206834722,FALSE,TRUE
pp4811,429,bin_0,0,trial7,cheek,2.4138,2.5115875,0.3363026206834722,FALSE,FALSE
pp4811,429,bin_0,0,trial8,cheek,2.4187,2.5115875,0.3363026206834722,FALSE,FALSE
pp4811,673,bin_0,0,trial1,brow,12.2623,13.2112125,2.8947034979855886,FALSE,FALSE
pp4811,673,bin_0,0,trial2,brow,11.9542,13.2112125,2.8947034979855886,FALSE,FALSE
pp4811,673,bin_0,0,trial3,brow,13.8576,13.2112125,2.8947034979855886,FALSE,FALSE
pp4811,673,bin_0,0,trial4,brow,11.0118,13.2112125,2.8947034979855886,FALSE,FALSE
pp4811,673,bin_0,0,trial5,brow,10.7609,13.2112125,2.8947034979855886,FALSE,FALSE
pp4811,673,bin_0,0,trial6,brow,11.8786,13.2112125,2.8947034979855886,FALSE,FALSE
pp4811,673,bin_0,0,trial7,brow,14.2711,13.2112125,2.8947034979855886,FALSE,FALSE
pp4811,673,bin_0,0,trial8,brow,19.6932,13.2112125,2.8947034979855886,TRUE,TRUE
pp4811,673,bin_0,0,trial1,cheek,2.4628,2.4361,0.1755623454584072,FALSE,FALSE
pp4811,673,bin_0,0,trial2,cheek,2.538,2.4361,0.1755623454584072,FALSE,FALSE
pp4811,673,bin_0,0,trial3,cheek,2.7114,2.4361,0.1755623454584072,FALSE,TRUE
pp4811,673,bin_0,0,trial4,cheek,2.1248,2.4361,0.1755623454584072,FALSE,FALSE
pp4811,673,bin_0,0,trial5,cheek,2.4877,2.4361,0.1755623454584072,FALSE,FALSE
pp4811,673,bin_0,0,trial6,cheek,2.3451,2.4361,0.1755623454584072,FALSE,FALSE
pp4811,673,bin_0,0,trial7,cheek,2.3105,2.4361,0.1755623454584072,FALSE,FALSE
pp4811,673,bin_0,0,trial8,cheek,2.5085,2.4361,0.1755623454584072,FALSE,FALSE
pp4812,429,bin_0,0,trial1,brow,11.7928,10.6719125,2.934422704206789,FALSE,FALSE
pp4812,429,bin_0,0,trial2,brow,12.6792,10.6719125,2.934422704206789,FALSE,FALSE
pp4812,429,bin_0,0,trial3,brow,12.9813,10.6719125,2.934422704206789,FALSE,FALSE
pp4812,429,bin_0,0,trial4,brow,11.0083,10.6719125,2.934422704206789,FALSE,FALSE
pp4812,429,bin_0,0,trial5,brow,7.2384,10.6719125,2.934422704206789,FALSE,FALSE
pp4812,429,bin_0,0,trial6,brow,14.7844,10.6719125,2.934422704206789,FALSE,FALSE
pp4812,429,bin_0,0,trial7,brow,7.3402,10.6719125,2.934422704206789,FALSE,FALSE
pp4812,429,bin_0,0,trial8,brow,7.5507,10.6719125,2.934422704206789,FALSE,FALSE
pp4812,429,bin_0,0,trial1,cheek,3.0463,2.6717125,0.3264503394195553,FALSE,FALSE
pp4812,429,bin_0,0,trial2,cheek,3.2003,2.6717125,0.3264503394195553,FALSE,TRUE
pp4812,429,bin_0,0,trial3,cheek,2.2614,2.6717125,0.3264503394195553,FALSE,FALSE
pp4812,429,bin_0,0,trial4,cheek,2.4017,2.6717125,0.3264503394195553,FALSE,FALSE
pp4812,429,bin_0,0,trial5,cheek,2.6266,2.6717125,0.3264503394195553,FALSE,FALSE
pp4812,429,bin_0,0,trial6,cheek,2.8322,2.6717125,0.3264503394195553,FALSE,FALSE
pp4812,429,bin_0,0,trial7,cheek,2.5054,2.6717125,0.3264503394195553,FALSE,FALSE
pp4812,429,bin_0,0,trial8,cheek,2.4998,2.6717125,0.3264503394195553,FALSE,FALSE
pp4812,673,bin_0,0,trial1,brow,9.6461,12.832287500000001,3.855819653250508,FALSE,FALSE
pp4812,673,bin_0,0,trial2,brow,19.734,12.832287500000001,3.855819653250508,FALSE,TRUE
pp4812,673,bin_0,0,trial3,brow,12.6178,12.832287500000001,3.855819653250508,FALSE,FALSE
pp4812,673,bin_0,0,trial4,brow,11.7199,12.832287500000001,3.855819653250508,FALSE,FALSE
pp4812,673,bin_0,0,trial5,brow,8.2265,12.832287500000001,3.855819653250508,FALSE,FALSE
pp4812,673,bin_0,0,trial6,brow,10.3352,12.832287500000001,3.855819653250508,FALSE,FALSE
pp4812,673,bin_0,0,trial7,brow,13.3947,12.832287500000001,3.855819653250508,FALSE,FALSE
pp4812,673,bin_0,0,trial8,brow,16.9841,12.832287500000001,3.855819653250508,FALSE,FALSE
pp4812,673,bin_0,0,trial1,cheek,2.5336,3.199775,1.5195269496505437,FALSE,FALSE
pp4812,673,bin_0,0,trial2,cheek,2.805,3.199775,1.5195269496505437,FALSE,FALSE
pp4812,673,bin_0,0,trial3,cheek,6.9259,3.199775,1.5195269496505437,TRUE,TRUE
pp4812,673,bin_0,0,trial4,cheek,2.608,3.199775,1.5195269496505437,FALSE,FALSE
pp4812,673,bin_0,0,trial5,cheek,2.4835,3.199775,1.5195269496505437,FALSE,FALSE
pp4812,673,bin_0,0,trial6,cheek,2.4908,3.199775,1.5195269496505437,FALSE,FALSE
pp4812,673,bin_0,0,trial7,cheek,3.1028,3.199775,1.5195269496505437,FALSE,FALSE
pp4812,673,bin_0,0,trial8,cheek,2.6486,3.199775,1.5195269496505437,FALSE,FALSE
pp482,429,bin_0,0,trial1,brow,11.0388,9.0662,4.614705945128032,FALSE,FALSE
pp482,429,bin_0,0,trial2,brow,2.2411,9.0662,4.614705945128032,FALSE,FALSE
pp482,429,bin_0,0,trial3,brow,3.0409,9.0662,4.614705945128032,FALSE,FALSE
