pp_no,model,emotion,bin,bin_no,trial,muscle,rms,bl_outlier
pp401,child,121,bin_0,0,trial5,brow,32.0517,TRUE
pp401,child,121,bin_1,1,trial5,brow,22.492,TRUE
pp401,child,121,bin_2,2,trial5,brow,29.1307,TRUE
pp401,child,121,bin_3,3,trial5,brow,82.0765,TRUE
pp401,child,121,bin_4,4,trial5,brow,46.4021,TRUE
pp401,child,121,bin_5,5,trial5,brow,25.2655,TRUE
pp401,child,121,bin_6,6,trial5,brow,21.0327,TRUE
pp401,child,121,bin_7,7,trial5,brow,9.63,TRUE
pp401,child,121,bin_8,8,trial5,brow,11.1015,TRUE
pp401,child,121,bin_9,9,trial5,brow,15.4351,TRUE
pp401,child,121,bin_10,10,trial5,brow,53.1287,TRUE
pp401,child,121,bin_0,0,trial5,cheek,29.7472,TRUE
pp401,child,121,bin_1,1,trial5,cheek,21.9888,TRUE
pp401,child,121,bin_2,2,trial5,cheek,51.214,TRUE
pp401,child,121,bin_3,3,trial5,cheek,117.3963,TRUE
pp401,child,121,bin_4,4,trial5,cheek,44.8928,TRUE
pp401,child,121,bin_5,5,trial5,cheek,25.0737,TRUE
pp401,child,121,bin_6,6,trial5,cheek,14.6163,TRUE
pp401,child,121,bin_7,7,trial5,cheek,7.4265,TRUE
pp401,child,121,bin_8,8,trial5,cheek,6.0295,TRUE
pp401,child,121,bin_9,9,trial5,cheek,5.9151,TRUE
pp401,child,121,bin_10,10,trial5,cheek,20.6778,TRUE
pp401,adult,131,bin_0,0,trial3,cheek,7.099,TRUE
pp401,adult,131,bin_1,1,trial3,cheek,6.3749,TRUE
pp401,adult,131,bin_2,2,trial3,cheek,6.5134,TRUE
pp401,adult,131,bin_3,3,trial3,cheek,6.4249,TRUE
pp401,adult,131,bin_4,4,trial3,cheek,5.9688,TRUE
pp401,adult,131,bin_5,5,trial3,cheek,6.2645,TRUE
pp401,adult,131,bin_6,6,trial3,cheek,6.4058,TRUE
pp401,adult,131,bin_7,7,trial3,cheek,4.6684,TRUE
pp401,adult,131,bin_8,8,trial3,cheek,3.797,TRUE
pp401,adult,131,bin_9,9,trial3,cheek,3.9333,TRUE
pp401,adult,131,bin_10,10,trial3,cheek,5.9826,TRUE
pp401,adult,131,bin_0,0,trial6,brow,12.4439,TRUE
pp401,adult,131,bin_1,1,trial6,brow,9.7428,TRUE
pp401,adult,131,bin_2,2,trial6,brow,9.9692,TRUE
pp401,adult,131,bin_3,3,trial6,brow,14.0243,TRUE
pp401,adult,131,bin_4,4,trial6,brow,13.3019,TRUE
pp401,adult,131,bin_5,5,trial6,brow,12.5447,TRUE
pp401,adult,131,bin_6,6,trial6,brow,13.6172,TRUE
pp401,adult,131,bin_7,7,trial6,brow,9.5189,TRUE
pp401,adult,131,bin_8,8,trial6,brow,13.9947,TRUE
pp401,adult,131,bin_9,9,trial6,brow,11.6902,TRUE
pp401,adult,131,bin_10,10,trial6,brow,12.9735,TRUE
pp401,adult,131,bin_0,0,trial7,cheek,7.1878,TRUE
pp401,adult,131,bin_1,1,trial7,cheek,3.6909,TRUE
pp401,adult,131,bin_2,2,trial7,cheek,3.6058,TRUE
pp401,adult,131,bin_3,3,trial7,cheek,3.7057,TRUE
pp401,adult,131,bin_4,4,trial7,cheek,3.9329,TRUE
pp401,adult,131,bin_5,5,trial7,cheek,4.2913,TRUE
pp401,adult,131,bin_6,6,trial7,cheek,3.2114,TRUE
pp401,adult,131,bin_7,7,trial7,cheek,3.3261,TRUE
pp401,adult,131,bin_8,8,trial7,cheek,4.0042,TRUE
pp401,adult,131,bin_9,9,trial7,cheek,3.416,TRUE
pp401,adult,131,bin_10,10,trial7,cheek,5.8776,TRUE
pp401,adult,232,bin_0,0,trial2,brow,17.286,TRUE
pp401,adult,232,bin_1,1,trial2,brow,5.3338,TRUE
pp401,adult,232,bin_2,2,trial2,brow,6.4369,TRUE
pp401,adult,232,bin_3,3,trial2,brow,5.385,TRUE
pp401,adult,232,bin_4,4,trial2,brow,4.6107,TRUE
pp401,adult,232,bin_5,5,trial2,brow,5.6771,TRUE
pp401,adult,232,bin_6,6,trial2,brow,5.4921,TRUE
pp401,adult,232,bin_7,7,trial2,brow,5.3318,TRUE
pp401,adult,232,bin_8,8,trial2,brow,5.6797,TRUE
