pp_no,model,emotion,bin,bin_no,trial,muscle,rms
pp401,child,121,bin_0,0,trial1,brow,12.0791
pp401,child,121,bin_1,1,trial1,brow,8.9363
pp401,child,121,bin_2,2,trial1,brow,13.57
pp401,child,121,bin_3,3,trial1,brow,14.5345
pp401,child,121,bin_4,4,trial1,brow,14.6483
pp401,child,121,bin_5,5,trial1,brow,29.2168
pp401,child,121,bin_6,6,trial1,brow,73.116
pp401,child,121,bin_7,7,trial1,brow,55.3269
pp401,child,121,bin_8,8,trial1,brow,30.5879
pp401,child,121,bin_9,9,trial1,brow,29.1563
pp401,child,121,bin_10,10,trial1,brow,35.7648
pp401,child,121,bin_0,0,trial1,cheek,20.1209
pp401,child,121,bin_1,1,trial1,cheek,8.3536
pp401,child,121,bin_2,2,trial1,cheek,13.6433
pp401,child,121,bin_3,3,trial1,cheek,15.9127
pp401,child,121,bin_4,4,trial1,cheek,14.2706
pp401,child,121,bin_5,5,trial1,cheek,18.4622
pp401,child,121,bin_6,6,trial1,cheek,99.6746
pp401,child,121,bin_7,7,trial1,cheek,111.8698
pp401,child,121,bin_8,8,trial1,cheek,33.2518
pp401,child,121,bin_9,9,trial1,cheek,32.3277
pp401,child,121,bin_10,10,trial1,cheek,50.2194
pp401,child,121,bin_0,0,trial2,brow,12.0578
pp401,child,121,bin_1,1,trial2,brow,13.0681
pp401,child,121,bin_2,2,trial2,brow,12.1763
pp401,child,121,bin_3,3,trial2,brow,11.0419
pp401,child,121,bin_4,4,trial2,brow,13.9277
pp401,child,121,bin_5,5,trial2,brow,14.6308
pp401,child,121,bin_6,6,trial2,brow,12.3154
pp401,child,121,bin_7,7,trial2,brow,14.7322
pp401,child,121,bin_8,8,trial2,brow,13.7465
pp401,child,121,bin_9,9,trial2,brow,10.9273
pp401,child,121,bin_10,10,trial2,brow,10.9793
pp401,child,121,bin_0,0,trial2,cheek,7.226
pp401,child,121,bin_1,1,trial2,cheek,10.4777
pp401,child,121,bin_2,2,trial2,cheek,4.6255
pp401,child,121,bin_3,3,trial2,cheek,3.5766
pp401,child,121,bin_4,4,trial2,cheek,6.5482
pp401,child,121,bin_5,5,trial2,cheek,6.3369
pp401,child,121,bin_6,6,trial2,cheek,5.6916
pp401,child,121,bin_7,7,trial2,cheek,6.4316
pp401,child,121,bin_8,8,trial2,cheek,4.3191
pp401,child,121,bin_9,9,trial2,cheek,7.9825
pp401,child,121,bin_10,10,trial2,cheek,4.546
pp401,child,121,bin_0,0,trial3,brow,17.0438
pp401,child,121,bin_1,1,trial3,brow,9.7571
pp401,child,121,bin_2,2,trial3,brow,8.5959
pp401,child,121,bin_3,3,trial3,brow,11.0379
pp401,child,121,bin_4,4,trial3,brow,15.9492
pp401,child,121,bin_5,5,trial3,brow,11.9271
pp401,child,121,bin_6,6,trial3,brow,12.9023
pp401,child,121,bin_7,7,trial3,brow,13.0775
pp401,child,121,bin_8,8,trial3,brow,15.526
pp401,child,121,bin_9,9,trial3,brow,15.8991
pp401,child,121,bin_10,10,trial3,brow,33.3194
pp401,child,121,bin_0,0,trial3,cheek,9.2841
pp401,child,121,bin_1,1,trial3,cheek,10.3998
pp401,child,121,bin_2,2,trial3,cheek,5.0673
pp401,child,121,bin_3,3,trial3,cheek,8.1731
pp401,child,121,bin_4,4,trial3,cheek,11.9936
pp401,child,121,bin_5,5,trial3,cheek,9.0958
pp401,child,121,bin_6,6,trial3,cheek,5.4535
pp401,child,121,bin_7,7,trial3,cheek,5.8935
pp401,child,121,bin_8,8,trial3,cheek,5.1446
pp401,child,121,bin_9,9,trial3,cheek,16.6044
pp401,child,121,bin_10,10,trial3,cheek,35.0307
pp401,child,121,bin_0,0,trial4,brow,10.3866
pp401,child,121,bin_1,1,trial4,brow,9.5451
pp401,child,121,bin_2,2,trial4,brow,6.5813
pp401,child,121,bin_3,3,trial4,brow,13.3448
pp401,child,121,bin_4,4,trial4,brow,11.1711
pp401,child,121,bin_5,5,trial4,brow,11.397
pp401,child,121,bin_6,6,trial4,brow,11.0041
pp401,child,121,bin_7,7,trial4,brow,13.3888
pp401,child,121,bin_8,8,trial4,brow,8.282
pp401,child,121,bin_9,9,trial4,brow,5.8932
pp401,child,121,bin_10,10,trial4,brow,8.1441
pp401,child,121,bin_0,0,trial4,cheek,9.7898
pp401,child,121,bin_1,1,trial4,cheek,4.4666
pp401,child,121,bin_2,2,trial4,cheek,4.559
pp401,child,121,bin_3,3,trial4,cheek,5.5774
pp401,child,121,bin_4,4,trial4,cheek,5.3606
pp401,child,121,bin_5,5,trial4,cheek,4.1277
pp401,child,121,bin_6,6,trial4,cheek,7.2299
pp401,child,121,bin_7,7,trial4,cheek,6.9831
pp401,child,121,bin_8,8,trial4,cheek,5.1431
pp401,child,121,bin_9,9,trial4,cheek,4.7307
pp401,child,121,bin_10,10,trial4,cheek,4.388
pp401,child,121,bin_0,0,trial6,brow,12.5501
pp401,child,121,bin_1,1,trial6,brow,16.0295
pp401,child,121,bin_2,2,trial6,brow,11.905
pp401,child,121,bin_3,3,trial6,brow,11.8882
pp401,child,121,bin_4,4,trial6,brow,12.4345
pp401,child,121,bin_5,5,trial6,brow,10.2841
pp401,child,121,bin_6,6,trial6,brow,13.3263
pp401,child,121,bin_7,7,trial6,brow,10.5067
pp401,child,121,bin_8,8,trial6,brow,15.0512
pp401,child,121,bin_9,9,trial6,brow,12.546
pp401,child,121,bin_10,10,trial6,brow,9.5375
pp401,child,121,bin_0,0,trial6,cheek,4.0452
pp401,child,121,bin_1,1,trial6,cheek,4.2219
pp401,child,121,bin_2,2,trial6,cheek,3.7378
pp401,child,121,bin_3,3,trial6,cheek,5.8447
pp401,child,121,bin_4,4,trial6,cheek,3.4948
pp401,child,121,bin_5,5,trial6,cheek,3.3846
pp401,child,121,bin_6,6,trial6,cheek,3.1916
pp401,child,121,bin_7,7,trial6,cheek,3.4412
pp401,child,121,bin_8,8,trial6,cheek,4.0318
pp401,child,121,bin_9,9,trial6,cheek,3.2746
pp401,child,121,bin_10,10,trial6,cheek,4.0194
pp401,child,121,bin_0,0,trial7,brow,5.2585
pp401,child,121,bin_1,1,trial7,brow,4.5602
pp401,child,121,bin_2,2,trial7,brow,5.8762
pp401,child,121,bin_3,3,trial7,brow,5.5228
pp401,child,121,bin_4,4,trial7,brow,4.9253
pp401,child,121,bin_5,5,trial7,brow,5.9707
pp401,child,121,bin_6,6,trial7,brow,4.9949
pp401,child,121,bin_7,7,trial7,brow,4.4083
pp401,child,121,bin_8,8,trial7,brow,6.2887
pp401,child,121,bin_9,9,trial7,brow,6.467
pp401,child,121,bin_10,10,trial7,brow,3.97
pp401,child,121,bin_0,0,trial7,cheek,9.42
pp401,child,121,bin_1,1,trial7,cheek,10.0737
pp401,child,121,bin_2,2,trial7,cheek,9.2494
pp401,child,121,bin_3,3,trial7,cheek,9.1968
pp401,child,121,bin_4,4,trial7,cheek,12.1228
pp401,child,121,bin_5,5,trial7,cheek,8.9881
pp401,child,121,bin_6,6,trial7,cheek,8.2535
pp401,child,121,bin_7,7,trial7,cheek,8.4144
pp401,child,121,bin_8,8,trial7,cheek,10.7106
pp401,child,121,bin_9,9,trial7,cheek,9.0423
pp401,child,121,bin_10,10,trial7,cheek,10.2329
pp401,child,121,bin_0,0,trial8,brow,10.8352
pp401,child,121,bin_1,1,trial8,brow,7.1146
pp401,child,121,bin_2,2,trial8,brow,7.756
pp401,child,121,bin_3,3,trial8,brow,8.6663
pp401,child,121,bin_4,4,trial8,brow,10.3437
pp401,child,121,bin_5,5,trial8,brow,9.7331
pp401,child,121,bin_6,6,trial8,brow,8.0697
pp401,child,121,bin_7,7,trial8,brow,8.8115
pp401,child,121,bin_8,8,trial8,brow,9.1374
pp401,child,121,bin_9,9,trial8,brow,8.3531
pp401,child,121,bin_10,10,trial8,brow,8.9439
pp401,child,121,bin_0,0,trial8,cheek,26.476
pp401,child,121,bin_1,1,trial8,cheek,20.3452
pp401,child,121,bin_2,2,trial8,cheek,17.2237
pp401,child,121,bin_3,3,trial8,cheek,17.3128
pp401,child,121,bin_4,4,trial8,cheek,12.7942
pp401,child,121,bin_5,5,trial8,cheek,14.5402
pp401,child,121,bin_6,6,trial8,cheek,14.2595
pp401,child,121,bin_7,7,trial8,cheek,14.3581
pp401,child,121,bin_8,8,trial8,cheek,16.9952
pp401,child,121,bin_9,9,trial8,cheek,17.6614
pp401,child,121,bin_10,10,trial8,cheek,11.2084
pp401,adult,131,bin_0,0,trial1,brow,10.4094
pp401,adult,131,bin_1,1,trial1,brow,11.0395
pp401,adult,131,bin_2,2,trial1,brow,10.5707
pp401,adult,131,bin_3,3,trial1,brow,9.8162
pp401,adult,131,bin_4,4,trial1,brow,9.4755
