pp_no,model,emotion,trial,muscle,bin,zdiff
pp401,adult,131,trial1,brow,diff_bin1,0.13399248627861576
pp401,adult,131,trial1,brow,diff_bin10,-0.6723441419887304
pp401,adult,131,trial1,brow,diff_bin2,0.03430088563202792
pp401,adult,131,trial1,brow,diff_bin3,-0.12614560047686835
pp401,adult,131,trial1,brow,diff_bin4,-0.19859638618568337
pp401,adult,131,trial1,brow,diff_bin5,0.21545974781382843
pp401,adult,131,trial1,brow,diff_bin6,0.26904823621600465
pp401,adult,131,trial1,brow,diff_bin7,0.029877708811530568
pp401,adult,131,trial1,brow,diff_bin8,-0.07143005259639275
pp401,adult,131,trial1,brow,diff_bin9,-0.3676127773842927
pp401,adult,131,trial1,cheek,diff_bin1,0.06577509245338603
pp401,adult,131,trial1,cheek,diff_bin10,NA
pp401,adult,131,trial1,cheek,diff_bin2,-0.008404520678270466
pp401,adult,131,trial1,cheek,diff_bin3,-0.06613700961178043
pp401,adult,131,trial1,cheek,diff_bin4,-0.009570698188652416
pp401,adult,131,trial1,cheek,diff_bin5,-0.04834945149365466
pp401,adult,131,trial1,cheek,diff_bin6,-0.05991739622307635
pp401,adult,131,trial1,cheek,diff_bin7,-0.0642335934454098
pp401,adult,131,trial1,cheek,diff_bin8,-0.00691663902709333
pp401,adult,131,trial1,cheek,diff_bin9,0.002560228787160501
pp401,adult,131,trial2,brow,diff_bin1,0.16552888639783264
pp401,adult,131,trial2,brow,diff_bin10,-0.65226972411109
pp401,adult,131,trial2,brow,diff_bin2,0.0361722296714688
pp401,adult,131,trial2,brow,diff_bin3,0.49252499201698424
pp401,adult,131,trial2,brow,diff_bin4,0.40163721446503947
pp401,adult,131,trial2,brow,diff_bin5,0.42977117087618166
pp401,adult,131,trial2,brow,diff_bin6,0.09407756852826449
pp401,adult,131,trial2,brow,diff_bin7,-0.2291758490120046
pp401,adult,131,trial2,brow,diff_bin8,0.3896861309404271
pp401,adult,131,trial2,brow,diff_bin9,-0.13144065349755968
pp401,adult,131,trial2,cheek,diff_bin1,-0.06633807469977726
pp401,adult,131,trial2,cheek,diff_bin10,-0.033001483109891205
pp401,adult,131,trial2,cheek,diff_bin2,-0.06566785773978762
pp401,adult,131,trial2,cheek,diff_bin3,-0.08220881231233268
pp401,adult,131,trial2,cheek,diff_bin4,-0.04936818127283893
pp401,adult,131,trial2,cheek,diff_bin5,NA
pp401,adult,131,trial2,cheek,diff_bin6,0.031580623154713106
pp401,adult,131,trial2,cheek,diff_bin7,-0.07661920286601881
pp401,adult,131,trial2,cheek,diff_bin8,-0.10384341578079914
pp401,adult,131,trial2,cheek,diff_bin9,-0.10063977871204849
pp401,adult,131,trial3,brow,diff_bin1,-0.05607652536370572
pp401,adult,131,trial3,brow,diff_bin10,0.4999678376283974
pp401,adult,131,trial3,brow,diff_bin2,0.13830933673323542
pp401,adult,131,trial3,brow,diff_bin3,1.0154167941285346
pp401,adult,131,trial3,brow,diff_bin4,0.3148748999091353
pp401,adult,131,trial3,brow,diff_bin5,0.5588513790512646
pp401,adult,131,trial3,brow,diff_bin6,0.5763526988746737
pp401,adult,131,trial3,brow,diff_bin7,0.3943006952195034
pp401,adult,131,trial3,brow,diff_bin8,0.04586919423948166
pp401,adult,131,trial3,brow,diff_bin9,-0.08359378885275953
