pp_no,model,emotion,trial,muscle,bin,zdiff,emo
pp401,adult,131,trial1,brow,diff_bin1,0.13399248627861576,Happy
pp401,adult,131,trial1,brow,diff_bin10,-0.6723441419887304,Happy
pp401,adult,131,trial1,brow,diff_bin2,0.03430088563202792,Happy
pp401,adult,131,trial1,brow,diff_bin3,-0.12614560047686835,Happy
pp401,adult,131,trial1,brow,diff_bin4,-0.19859638618568337,Happy
pp401,adult,131,trial1,brow,diff_bin5,0.21545974781382843,Happy
pp401,adult,131,trial1,brow,diff_bin6,0.26904823621600465,Happy
pp401,adult,131,trial1,brow,diff_bin7,0.029877708811530568,Happy
pp401,adult,131,trial1,brow,diff_bin8,-0.07143005259639275,Happy
pp401,adult,131,trial1,brow,diff_bin9,-0.3676127773842927,Happy
pp401,adult,131,trial1,cheek,diff_bin1,0.06577509245338603,Happy
pp401,adult,131,trial1,cheek,diff_bin10,NA,Happy
pp401,adult,131,trial1,cheek,diff_bin2,-0.008404520678270466,Happy
pp401,adult,131,trial1,cheek,diff_bin3,-0.06613700961178043,Happy
pp401,adult,131,trial1,cheek,diff_bin4,-0.009570698188652416,Happy
pp401,adult,131,trial1,cheek,diff_bin5,-0.04834945149365466,Happy
pp401,adult,131,trial1,cheek,diff_bin6,-0.05991739622307635,Happy
pp401,adult,131,trial1,cheek,diff_bin7,-0.0642335934454098,Happy
pp401,adult,131,trial1,cheek,diff_bin8,-0.00691663902709333,Happy
pp401,adult,131,trial1,cheek,diff_bin9,0.002560228787160501,Happy
pp401,adult,131,trial2,brow,diff_bin1,0.16552888639783264,Happy
pp401,adult,131,trial2,brow,diff_bin10,-0.65226972411109,Happy
pp401,adult,131,trial2,brow,diff_bin2,0.0361722296714688,Happy
pp401,adult,131,trial2,brow,diff_bin3,0.49252499201698424,Happy
pp401,adult,131,trial2,brow,diff_bin4,0.40163721446503947,Happy
pp401,adult,131,trial2,brow,diff_bin5,0.42977117087618166,Happy
pp401,adult,131,trial2,brow,diff_bin6,0.09407756852826449,Happy
pp401,adult,131,trial2,brow,diff_bin7,-0.2291758490120046,Happy
pp401,adult,131,trial2,brow,diff_bin8,0.3896861309404271,Happy
pp401,adult,131,trial2,brow,diff_bin9,-0.13144065349755968,Happy
pp401,adult,131,trial2,cheek,diff_bin1,-0.06633807469977726,Happy
pp401,adult,131,trial2,cheek,diff_bin10,-0.033001483109891205,Happy
pp401,adult,131,trial2,cheek,diff_bin2,-0.06566785773978762,Happy
pp401,adult,131,trial2,cheek,diff_bin3,-0.08220881231233268,Happy
pp401,adult,131,trial2,cheek,diff_bin4,-0.04936818127283893,Happy
pp401,adult,131,trial2,cheek,diff_bin5,NA,Happy
pp401,adult,131,trial2,cheek,diff_bin6,0.031580623154713106,Happy
pp401,adult,131,trial2,cheek,diff_bin7,-0.07661920286601881,Happy
pp401,adult,131,trial2,cheek,diff_bin8,-0.10384341578079914,Happy
pp401,adult,131,trial2,cheek,diff_bin9,-0.10063977871204849,Happy
pp401,adult,131,trial3,brow,diff_bin1,-0.05607652536370572,Happy
pp401,adult,131,trial3,brow,diff_bin10,0.4999678376283974,Happy
pp401,adult,131,trial3,brow,diff_bin2,0.13830933673323542,Happy
pp401,adult,131,trial3,brow,diff_bin3,1.0154167941285346,Happy
pp401,adult,131,trial3,brow,diff_bin4,0.3148748999091353,Happy
pp401,adult,131,trial3,brow,diff_bin5,0.5588513790512646,Happy
pp401,adult,131,trial3,brow,diff_bin6,0.5763526988746737,Happy
pp401,adult,131,trial3,brow,diff_bin7,0.3943006952195034,Happy
pp401,adult,131,trial3,brow,diff_bin8,0.04586919423948166,Happy
pp401,adult,131,trial3,brow,diff_bin9,-0.08359378885275953,Happy
pp401,adult,131,trial3,cheek,diff_bin1,NA,Happy
pp401,adult,131,trial3,cheek,diff_bin10,NA,Happy
pp401,adult,131,trial3,cheek,diff_bin2,NA,Happy
pp401,adult,131,trial3,cheek,diff_bin3,NA,Happy
pp401,adult,131,trial3,cheek,diff_bin4,NA,Happy
pp401,adult,131,trial3,cheek,diff_bin5,NA,Happy
pp401,adult,131,trial3,cheek,diff_bin6,NA,Happy
pp401,adult,131,trial3,cheek,diff_bin7,NA,Happy
pp401,adult,131,trial3,cheek,diff_bin8,NA,Happy
pp401,adult,131,trial3,cheek,diff_bin9,NA,Happy
pp401,adult,131,trial4,brow,diff_bin1,0.523657351945867,Happy
pp401,adult,131,trial4,brow,diff_bin10,-0.2791917715207024,Happy
pp401,adult,131,trial4,brow,diff_bin2,0.02273257702457379,Happy
pp401,adult,131,trial4,brow,diff_bin3,0.2486335739675566,Happy
pp401,adult,131,trial4,brow,diff_bin4,0.26251979735113606,Happy
pp401,adult,131,trial4,brow,diff_bin5,-0.39142988334081563,Happy
pp401,adult,131,trial4,brow,diff_bin6,-0.1787558863129731,Happy
pp401,adult,131,trial4,brow,diff_bin7,-0.34604979038436967,Happy
pp401,adult,131,trial4,brow,diff_bin8,-0.5180220545543689,Happy
pp401,adult,131,trial4,brow,diff_bin9,0.18290261458218887,Happy
pp401,adult,131,trial4,cheek,diff_bin1,-0.029663802649142756,Happy
pp401,adult,131,trial4,cheek,diff_bin10,0.3477353675210392,Happy
pp401,adult,131,trial4,cheek,diff_bin2,0.07135129756050007,Happy
pp401,adult,131,trial4,cheek,diff_bin3,0.07868347110278695,Happy
pp401,adult,131,trial4,cheek,diff_bin4,0.045011771032906045,Happy
pp401,adult,131,trial4,cheek,diff_bin5,-0.04934137259443938,Happy
