pp_no,model,emotion,trial,muscle,bin,zdiff,emo_type
pp401,adult,131,trial1,brow,bin1,0.13399248627861576,adult_happy
pp401,adult,131,trial1,brow,in10,-0.6723441419887304,adult_happy
pp401,adult,131,trial1,brow,bin2,0.03430088563202792,adult_happy
pp401,adult,131,trial1,brow,bin3,-0.12614560047686835,adult_happy
pp401,adult,131,trial1,brow,bin4,-0.19859638618568337,adult_happy
pp401,adult,131,trial1,brow,bin5,0.21545974781382843,adult_happy
pp401,adult,131,trial1,brow,bin6,0.26904823621600465,adult_happy
pp401,adult,131,trial1,brow,bin7,0.029877708811530568,adult_happy
pp401,adult,131,trial1,brow,bin8,-0.07143005259639275,adult_happy
pp401,adult,131,trial1,brow,bin9,-0.3676127773842927,adult_happy
pp401,adult,131,trial1,cheek,bin1,0.06577509245338603,adult_happy
pp401,adult,131,trial1,cheek,in10,NA,adult_happy
pp401,adult,131,trial1,cheek,bin2,-0.008404520678270466,adult_happy
pp401,adult,131,trial1,cheek,bin3,-0.06613700961178043,adult_happy
pp401,adult,131,trial1,cheek,bin4,-0.009570698188652416,adult_happy
pp401,adult,131,trial1,cheek,bin5,-0.04834945149365466,adult_happy
pp401,adult,131,trial1,cheek,bin6,-0.05991739622307635,adult_happy
pp401,adult,131,trial1,cheek,bin7,-0.0642335934454098,adult_happy
pp401,adult,131,trial1,cheek,bin8,-0.00691663902709333,adult_happy
pp401,adult,131,trial1,cheek,bin9,0.002560228787160501,adult_happy
pp401,adult,131,trial2,brow,bin1,0.16552888639783264,adult_happy
pp401,adult,131,trial2,brow,in10,-0.65226972411109,adult_happy
pp401,adult,131,trial2,brow,bin2,0.0361722296714688,adult_happy
pp401,adult,131,trial2,brow,bin3,0.49252499201698424,adult_happy
pp401,adult,131,trial2,brow,bin4,0.40163721446503947,adult_happy
pp401,adult,131,trial2,brow,bin5,0.42977117087618166,adult_happy
pp401,adult,131,trial2,brow,bin6,0.09407756852826449,adult_happy
pp401,adult,131,trial2,brow,bin7,-0.2291758490120046,adult_happy
pp401,adult,131,trial2,brow,bin8,0.3896861309404271,adult_happy
pp401,adult,131,trial2,brow,bin9,-0.13144065349755968,adult_happy
pp401,adult,131,trial2,cheek,bin1,-0.06633807469977726,adult_happy
pp401,adult,131,trial2,cheek,in10,-0.033001483109891205,adult_happy
pp401,adult,131,trial2,cheek,bin2,-0.06566785773978762,adult_happy
pp401,adult,131,trial2,cheek,bin3,-0.08220881231233268,adult_happy
pp401,adult,131,trial2,cheek,bin4,-0.04936818127283893,adult_happy
pp401,adult,131,trial2,cheek,bin5,NA,adult_happy
pp401,adult,131,trial2,cheek,bin6,0.031580623154713106,adult_happy
pp401,adult,131,trial2,cheek,bin7,-0.07661920286601881,adult_happy
pp401,adult,131,trial2,cheek,bin8,-0.10384341578079914,adult_happy
pp401,adult,131,trial2,cheek,bin9,-0.10063977871204849,adult_happy
pp401,adult,131,trial3,brow,bin1,-0.05607652536370572,adult_happy
pp401,adult,131,trial3,brow,in10,0.4999678376283974,adult_happy
pp401,adult,131,trial3,brow,bin2,0.13830933673323542,adult_happy
pp401,adult,131,trial3,brow,bin3,1.0154167941285346,adult_happy
pp401,adult,131,trial3,brow,bin4,0.3148748999091353,adult_happy
pp401,adult,131,trial3,brow,bin5,0.5588513790512646,adult_happy
pp401,adult,131,trial3,brow,bin6,0.5763526988746737,adult_happy
pp401,adult,131,trial3,brow,bin7,0.3943006952195034,adult_happy
pp401,adult,131,trial3,brow,bin8,0.04586919423948166,adult_happy
pp401,adult,131,trial3,brow,bin9,-0.08359378885275953,adult_happy
pp401,adult,131,trial3,cheek,bin1,NA,adult_happy
pp401,adult,131,trial3,cheek,in10,NA,adult_happy
pp401,adult,131,trial3,cheek,bin2,NA,adult_happy
pp401,adult,131,trial3,cheek,bin3,NA,adult_happy
pp401,adult,131,trial3,cheek,bin4,NA,adult_happy
pp401,adult,131,trial3,cheek,bin5,NA,adult_happy
pp401,adult,131,trial3,cheek,bin6,NA,adult_happy
pp401,adult,131,trial3,cheek,bin7,NA,adult_happy
pp401,adult,131,trial3,cheek,bin8,NA,adult_happy
pp401,adult,131,trial3,cheek,bin9,NA,adult_happy
pp401,adult,131,trial4,brow,bin1,0.523657351945867,adult_happy
pp401,adult,131,trial4,brow,in10,-0.2791917715207024,adult_happy
pp401,adult,131,trial4,brow,bin2,0.02273257702457379,adult_happy
pp401,adult,131,trial4,brow,bin3,0.2486335739675566,adult_happy
pp401,adult,131,trial4,brow,bin4,0.26251979735113606,adult_happy
pp401,adult,131,trial4,brow,bin5,-0.39142988334081563,adult_happy
pp401,adult,131,trial4,brow,bin6,-0.1787558863129731,adult_happy
pp401,adult,131,trial4,brow,bin7,-0.34604979038436967,adult_happy
pp401,adult,131,trial4,brow,bin8,-0.5180220545543689,adult_happy
pp401,adult,131,trial4,brow,bin9,0.18290261458218887,adult_happy
pp401,adult,131,trial4,cheek,bin1,-0.029663802649142756,adult_happy
pp401,adult,131,trial4,cheek,in10,0.3477353675210392,adult_happy
pp401,adult,131,trial4,cheek,bin2,0.07135129756050007,adult_happy
pp401,adult,131,trial4,cheek,bin3,0.07868347110278695,adult_happy
pp401,adult,131,trial4,cheek,bin4,0.045011771032906045,adult_happy
pp401,adult,131,trial4,cheek,bin5,-0.04934137259443938,adult_happy
pp401,adult,131,trial4,cheek,bin6,-0.006018548300707249,adult_happy
pp401,adult,131,trial4,cheek,bin7,-0.017680323404527465,adult_happy
pp401,adult,131,trial4,cheek,bin8,0.45531859393858065,adult_happy
pp401,adult,131,trial4,cheek,bin9,0.4784410790582242,adult_happy
pp401,adult,131,trial5,brow,bin1,-0.19379043444802774,adult_happy
pp401,adult,131,trial5,brow,in10,-0.1695054924816451,adult_happy
pp401,adult,131,trial5,brow,bin2,-0.37875578052823716,adult_happy
pp401,adult,131,trial5,brow,bin3,0.4115680970379823,adult_happy
pp401,adult,131,trial5,brow,bin4,0.12686861976483438,adult_happy
pp401,adult,131,trial5,brow,bin5,0.17363095547768545,adult_happy
pp401,adult,131,trial5,brow,bin6,0.16425297000730496,adult_happy
pp401,adult,131,trial5,brow,bin7,-0.4207972255961349,adult_happy
pp401,adult,131,trial5,brow,bin8,-0.14847413731110848,adult_happy
pp401,adult,131,trial5,brow,bin9,-0.7546832797241374,adult_happy
pp401,adult,131,trial5,cheek,bin1,0.05991739622307632,adult_happy
pp401,adult,131,trial5,cheek,in10,-0.05096329763761437,adult_happy
pp401,adult,131,trial5,cheek,bin2,-0.05619098992553373,adult_happy
pp401,adult,131,trial5,cheek,bin3,-0.02064268236768174,adult_happy
pp401,adult,131,trial5,cheek,bin4,-0.047759660568863715,adult_happy
pp401,adult,131,trial5,cheek,bin5,0.0061659960319048746,adult_happy
pp401,adult,131,trial5,cheek,bin6,-0.054367999794361854,adult_happy
pp401,adult,131,trial5,cheek,bin7,0.04548092290489883,adult_happy
pp401,adult,131,trial5,cheek,bin8,-0.12078650052933793,adult_happy
pp401,adult,131,trial5,cheek,bin9,-0.029382311525947058,adult_happy
pp401,adult,131,trial6,brow,bin1,NA,adult_happy
pp401,adult,131,trial6,brow,in10,NA,adult_happy
pp401,adult,131,trial6,brow,bin2,NA,adult_happy
pp401,adult,131,trial6,brow,bin3,NA,adult_happy
pp401,adult,131,trial6,brow,bin4,NA,adult_happy
pp401,adult,131,trial6,brow,bin5,NA,adult_happy
pp401,adult,131,trial6,brow,bin6,NA,adult_happy
pp401,adult,131,trial6,brow,bin7,NA,adult_happy
pp401,adult,131,trial6,brow,bin8,NA,adult_happy
pp401,adult,131,trial6,brow,bin9,NA,adult_happy
pp401,adult,131,trial6,cheek,bin1,-1.742564095973953e-4,adult_happy
pp401,adult,131,trial6,cheek,in10,0.3030855136465275,adult_happy
pp401,adult,131,trial6,cheek,bin2,-0.11634966425420631,adult_happy
