file_name,bin,bin_no,trial,muscle,rms
pp416_adult_232.xlsx,bin_0,0,trial1,brow,15.5856
pp416_adult_232.xlsx,bin_0,0,trial1,cheek,6.4835
pp416_adult_232.xlsx,bin_1,1,trial1,brow,16.8381
pp416_adult_232.xlsx,bin_1,1,trial1,cheek,4.8095
pp416_adult_232.xlsx,bin_2,2,trial1,brow,13.5056
pp416_adult_232.xlsx,bin_2,2,trial1,cheek,7.3956
pp416_adult_232.xlsx,bin_3,3,trial1,brow,12.1465
pp416_adult_232.xlsx,bin_3,3,trial1,cheek,5.6117
pp416_adult_232.xlsx,bin_4,4,trial1,brow,12.9715
pp416_adult_232.xlsx,bin_4,4,trial1,cheek,11.3804
pp416_adult_232.xlsx,bin_5,5,trial1,brow,10.4537
pp416_adult_232.xlsx,bin_5,5,trial1,cheek,3.9292
pp416_adult_232.xlsx,bin_6,6,trial1,brow,11.1222
pp416_adult_232.xlsx,bin_6,6,trial1,cheek,4.5489
pp416_adult_232.xlsx,bin_7,7,trial1,brow,13.2706
pp416_adult_232.xlsx,bin_7,7,trial1,cheek,4.5687
pp416_adult_232.xlsx,bin_8,8,trial1,brow,11.1296
pp416_adult_232.xlsx,bin_8,8,trial1,cheek,4.3989
pp416_adult_232.xlsx,bin_9,9,trial1,brow,11.7622
pp416_adult_232.xlsx,bin_9,9,trial1,cheek,3.231
pp416_adult_232.xlsx,bin_10,10,trial1,brow,13.0751
pp416_adult_232.xlsx,bin_10,10,trial1,cheek,4.7612
pp416_adult_232.xlsx,bin_0,0,trial2,brow,23.4297
pp416_adult_232.xlsx,bin_0,0,trial2,cheek,9.6928
pp416_adult_232.xlsx,bin_1,1,trial2,brow,16.4106
pp416_adult_232.xlsx,bin_1,1,trial2,cheek,8.0916
pp416_adult_232.xlsx,bin_2,2,trial2,brow,14.3499
pp416_adult_232.xlsx,bin_2,2,trial2,cheek,6.2687
pp416_adult_232.xlsx,bin_3,3,trial2,brow,7.6707
pp416_adult_232.xlsx,bin_3,3,trial2,cheek,6.0514
pp416_adult_232.xlsx,bin_4,4,trial2,brow,16.8865
pp416_adult_232.xlsx,bin_4,4,trial2,cheek,12.6053
pp416_adult_232.xlsx,bin_5,5,trial2,brow,46.2082
pp416_adult_232.xlsx,bin_5,5,trial2,cheek,13.6178
pp416_adult_232.xlsx,bin_6,6,trial2,brow,52.9504
pp416_adult_232.xlsx,bin_6,6,trial2,cheek,19.7656
pp416_adult_232.xlsx,bin_7,7,trial2,brow,26.0104
pp416_adult_232.xlsx,bin_7,7,trial2,cheek,13.5907
pp416_adult_232.xlsx,bin_8,8,trial2,brow,37.2155
pp416_adult_232.xlsx,bin_8,8,trial2,cheek,10.0094
pp416_adult_232.xlsx,bin_9,9,trial2,brow,44.4831
pp416_adult_232.xlsx,bin_9,9,trial2,cheek,16.8295
pp416_adult_232.xlsx,bin_10,10,trial2,brow,39.9369
pp416_adult_232.xlsx,bin_10,10,trial2,cheek,9.7487
pp416_adult_232.xlsx,bin_0,0,trial3,brow,61.1077
pp416_adult_232.xlsx,bin_0,0,trial3,cheek,20.1082
pp416_adult_232.xlsx,bin_1,1,trial3,brow,59.1926
pp416_adult_232.xlsx,bin_1,1,trial3,cheek,60.2638
pp416_adult_232.xlsx,bin_2,2,trial3,brow,52.435
pp416_adult_232.xlsx,bin_2,2,trial3,cheek,22.217
pp416_adult_232.xlsx,bin_3,3,trial3,brow,66.0528
pp416_adult_232.xlsx,bin_3,3,trial3,cheek,15.394
pp416_adult_232.xlsx,bin_4,4,trial3,brow,89.7205
pp416_adult_232.xlsx,bin_4,4,trial3,cheek,50.3212
pp416_adult_232.xlsx,bin_5,5,trial3,brow,84.9868
pp416_adult_232.xlsx,bin_5,5,trial3,cheek,26.5312
pp416_adult_232.xlsx,bin_6,6,trial3,brow,26.6559
pp416_adult_232.xlsx,bin_6,6,trial3,cheek,12.0692
pp416_adult_232.xlsx,bin_7,7,trial3,brow,48.452
pp416_adult_232.xlsx,bin_7,7,trial3,cheek,48.4923
pp416_adult_232.xlsx,bin_8,8,trial3,brow,71.1053
pp416_adult_232.xlsx,bin_8,8,trial3,cheek,39.3774
pp416_adult_232.xlsx,bin_9,9,trial3,brow,183.5608
pp416_adult_232.xlsx,bin_9,9,trial3,cheek,64.3736
pp416_adult_232.xlsx,bin_10,10,trial3,brow,147.3308
pp416_adult_232.xlsx,bin_10,10,trial3,cheek,117.6755
pp416_adult_232.xlsx,bin_0,0,trial4,brow,20.4558
pp416_adult_232.xlsx,bin_0,0,trial4,cheek,5.9636
pp416_adult_232.xlsx,bin_1,1,trial4,brow,15.0944
pp416_adult_232.xlsx,bin_1,1,trial4,cheek,5.4465
pp416_adult_232.xlsx,bin_2,2,trial4,brow,21.1911
pp416_adult_232.xlsx,bin_2,2,trial4,cheek,5.9039
pp416_adult_232.xlsx,bin_3,3,trial4,brow,14.8277
pp416_adult_232.xlsx,bin_3,3,trial4,cheek,3.7517
pp416_adult_232.xlsx,bin_4,4,trial4,brow,14.8096
pp416_adult_232.xlsx,bin_4,4,trial4,cheek,4.9544
pp416_adult_232.xlsx,bin_5,5,trial4,brow,12.7744
pp416_adult_232.xlsx,bin_5,5,trial4,cheek,4.6138
pp416_adult_232.xlsx,bin_6,6,trial4,brow,12.5162
pp416_adult_232.xlsx,bin_6,6,trial4,cheek,2.8546
pp416_adult_232.xlsx,bin_7,7,trial4,brow,12.1407
pp416_adult_232.xlsx,bin_7,7,trial4,cheek,2.8077
pp416_adult_232.xlsx,bin_8,8,trial4,brow,14.6151
pp416_adult_232.xlsx,bin_8,8,trial4,cheek,3.4571
pp416_adult_232.xlsx,bin_9,9,trial4,brow,13.0114
pp416_adult_232.xlsx,bin_9,9,trial4,cheek,3.3391
pp416_adult_232.xlsx,bin_10,10,trial4,brow,17.8891
pp416_adult_232.xlsx,bin_10,10,trial4,cheek,3.5455
pp416_adult_232.xlsx,bin_0,0,trial5,brow,16.138
pp416_adult_232.xlsx,bin_0,0,trial5,cheek,5.5114
pp416_adult_232.xlsx,bin_1,1,trial5,brow,13.9083
pp416_adult_232.xlsx,bin_1,1,trial5,cheek,4.4078
pp416_adult_232.xlsx,bin_2,2,trial5,brow,16.0521
pp416_adult_232.xlsx,bin_2,2,trial5,cheek,3.7914
pp416_adult_232.xlsx,bin_3,3,trial5,brow,11.4329
pp416_adult_232.xlsx,bin_3,3,trial5,cheek,4.6054
pp416_adult_232.xlsx,bin_4,4,trial5,brow,16.6073
pp416_adult_232.xlsx,bin_4,4,trial5,cheek,3.8165
pp416_adult_232.xlsx,bin_5,5,trial5,brow,15.5549
pp416_adult_232.xlsx,bin_5,5,trial5,cheek,4.8327
pp416_adult_232.xlsx,bin_6,6,trial5,brow,12.7407
pp416_adult_232.xlsx,bin_6,6,trial5,cheek,5.4795
pp416_adult_232.xlsx,bin_7,7,trial5,brow,13.5479
pp416_adult_232.xlsx,bin_7,7,trial5,cheek,15.53
pp416_adult_232.xlsx,bin_8,8,trial5,brow,16.4429
pp416_adult_232.xlsx,bin_8,8,trial5,cheek,12.5976
pp416_adult_232.xlsx,bin_9,9,trial5,brow,12.5579
pp416_adult_232.xlsx,bin_9,9,trial5,cheek,4.3702
pp416_adult_232.xlsx,bin_10,10,trial5,brow,11.152
pp416_adult_232.xlsx,bin_10,10,trial5,cheek,3.733
pp416_adult_232.xlsx,bin_0,0,trial6,brow,16.8496
pp416_adult_232.xlsx,bin_0,0,trial6,cheek,7.7308
pp416_adult_232.xlsx,bin_1,1,trial6,brow,12.5891
pp416_adult_232.xlsx,bin_1,1,trial6,cheek,5.3077
pp416_adult_232.xlsx,bin_2,2,trial6,brow,15.5544
pp416_adult_232.xlsx,bin_2,2,trial6,cheek,7.8012
pp416_adult_232.xlsx,bin_3,3,trial6,brow,19.258
pp416_adult_232.xlsx,bin_3,3,trial6,cheek,4.1302
pp416_adult_232.xlsx,bin_4,4,trial6,brow,10.6434
pp416_adult_232.xlsx,bin_4,4,trial6,cheek,3.7327
pp416_adult_232.xlsx,bin_5,5,trial6,brow,10.5417
pp416_adult_232.xlsx,bin_5,5,trial6,cheek,11.565
pp416_adult_232.xlsx,bin_6,6,trial6,brow,11.5005
pp416_adult_232.xlsx,bin_6,6,trial6,cheek,6.9003
pp416_adult_232.xlsx,bin_7,7,trial6,brow,24.3412
pp416_adult_232.xlsx,bin_7,7,trial6,cheek,3.7332
pp416_adult_232.xlsx,bin_8,8,trial6,brow,19.928
pp416_adult_232.xlsx,bin_8,8,trial6,cheek,5.0316
pp416_adult_232.xlsx,bin_9,9,trial6,brow,13.5495
pp416_adult_232.xlsx,bin_9,9,trial6,cheek,4.1931
pp416_adult_232.xlsx,bin_10,10,trial6,brow,12.7768
pp416_adult_232.xlsx,bin_10,10,trial6,cheek,3.2334
pp416_adult_232.xlsx,bin_0,0,trial7,brow,21.3419
