file_name,bin,bin_no,trial,muscle,rms
pp459_child_424.xlsx,bin_0,0,trial1,brow,6.4369
pp459_child_424.xlsx,bin_0,0,trial1,cheek,6.6776
pp459_child_424.xlsx,bin_1,1,trial1,brow,5.1427
pp459_child_424.xlsx,bin_1,1,trial1,cheek,9.9357
pp459_child_424.xlsx,bin_2,2,trial1,brow,3.8676
pp459_child_424.xlsx,bin_2,2,trial1,cheek,6.0344
pp459_child_424.xlsx,bin_3,3,trial1,brow,3.7311
pp459_child_424.xlsx,bin_3,3,trial1,cheek,6.5013
pp459_child_424.xlsx,bin_4,4,trial1,brow,3.0539
pp459_child_424.xlsx,bin_4,4,trial1,cheek,5.3105
pp459_child_424.xlsx,bin_5,5,trial1,brow,3.0629
pp459_child_424.xlsx,bin_5,5,trial1,cheek,6.9908
pp459_child_424.xlsx,bin_6,6,trial1,brow,5.9514
pp459_child_424.xlsx,bin_6,6,trial1,cheek,7.2974
pp459_child_424.xlsx,bin_7,7,trial1,brow,9.8318
pp459_child_424.xlsx,bin_7,7,trial1,cheek,8.0039
pp459_child_424.xlsx,bin_8,8,trial1,brow,7.1561
pp459_child_424.xlsx,bin_8,8,trial1,cheek,7.3865
pp459_child_424.xlsx,bin_9,9,trial1,brow,8.9606
pp459_child_424.xlsx,bin_9,9,trial1,cheek,12.3709
pp459_child_424.xlsx,bin_10,10,trial1,brow,35.8345
pp459_child_424.xlsx,bin_10,10,trial1,cheek,9.8716
pp459_child_424.xlsx,bin_0,0,trial2,brow,4.5026
pp459_child_424.xlsx,bin_0,0,trial2,cheek,7.7179
pp459_child_424.xlsx,bin_1,1,trial2,brow,8.5884
pp459_child_424.xlsx,bin_1,1,trial2,cheek,8.7808
pp459_child_424.xlsx,bin_2,2,trial2,brow,11.4441
pp459_child_424.xlsx,bin_2,2,trial2,cheek,10.6043
pp459_child_424.xlsx,bin_3,3,trial2,brow,6.3032
pp459_child_424.xlsx,bin_3,3,trial2,cheek,5.8366
pp459_child_424.xlsx,bin_4,4,trial2,brow,8.4902
pp459_child_424.xlsx,bin_4,4,trial2,cheek,8.8643
pp459_child_424.xlsx,bin_5,5,trial2,brow,6.9475
pp459_child_424.xlsx,bin_5,5,trial2,cheek,10.1306
pp459_child_424.xlsx,bin_6,6,trial2,brow,8.3434
pp459_child_424.xlsx,bin_6,6,trial2,cheek,8.4733
pp459_child_424.xlsx,bin_7,7,trial2,brow,12.8572
pp459_child_424.xlsx,bin_7,7,trial2,cheek,13.3669
pp459_child_424.xlsx,bin_8,8,trial2,brow,9.5129
pp459_child_424.xlsx,bin_8,8,trial2,cheek,9.8101
pp459_child_424.xlsx,bin_9,9,trial2,brow,23.9511
pp459_child_424.xlsx,bin_9,9,trial2,cheek,7.7732
pp459_child_424.xlsx,bin_10,10,trial2,brow,13.8498
pp459_child_424.xlsx,bin_10,10,trial2,cheek,5.358
pp459_child_424.xlsx,bin_0,0,trial3,brow,8.3979
pp459_child_424.xlsx,bin_0,0,trial3,cheek,4.3626
pp459_child_424.xlsx,bin_1,1,trial3,brow,11.8151
pp459_child_424.xlsx,bin_1,1,trial3,cheek,5.3125
pp459_child_424.xlsx,bin_2,2,trial3,brow,9.1712
pp459_child_424.xlsx,bin_2,2,trial3,cheek,4.667
pp459_child_424.xlsx,bin_3,3,trial3,brow,9.438
pp459_child_424.xlsx,bin_3,3,trial3,cheek,4.0439
pp459_child_424.xlsx,bin_4,4,trial3,brow,7.8501
pp459_child_424.xlsx,bin_4,4,trial3,cheek,3.7833
pp459_child_424.xlsx,bin_5,5,trial3,brow,8.2518
pp459_child_424.xlsx,bin_5,5,trial3,cheek,4.0304
pp459_child_424.xlsx,bin_6,6,trial3,brow,7.4389
pp459_child_424.xlsx,bin_6,6,trial3,cheek,3.2342
pp459_child_424.xlsx,bin_7,7,trial3,brow,7.5257
pp459_child_424.xlsx,bin_7,7,trial3,cheek,4.2177
pp459_child_424.xlsx,bin_8,8,trial3,brow,8.1975
pp459_child_424.xlsx,bin_8,8,trial3,cheek,3.2897
pp459_child_424.xlsx,bin_9,9,trial3,brow,8.4548
pp459_child_424.xlsx,bin_9,9,trial3,cheek,4.0214
pp459_child_424.xlsx,bin_10,10,trial3,brow,6.683
pp459_child_424.xlsx,bin_10,10,trial3,cheek,4.0198
pp459_child_424.xlsx,bin_0,0,trial4,brow,7.7771
pp459_child_424.xlsx,bin_0,0,trial4,cheek,14.9091
pp459_child_424.xlsx,bin_1,1,trial4,brow,4.1533
pp459_child_424.xlsx,bin_1,1,trial4,cheek,15.7502
pp459_child_424.xlsx,bin_2,2,trial4,brow,4.281
pp459_child_424.xlsx,bin_2,2,trial4,cheek,12.0429
pp459_child_424.xlsx,bin_3,3,trial4,brow,4.8864
pp459_child_424.xlsx,bin_3,3,trial4,cheek,14.1749
pp459_child_424.xlsx,bin_4,4,trial4,brow,3.2808
pp459_child_424.xlsx,bin_4,4,trial4,cheek,12.8817
pp459_child_424.xlsx,bin_5,5,trial4,brow,5.3502
pp459_child_424.xlsx,bin_5,5,trial4,cheek,14.8118
pp459_child_424.xlsx,bin_6,6,trial4,brow,3.7729
pp459_child_424.xlsx,bin_6,6,trial4,cheek,15.1676
pp459_child_424.xlsx,bin_7,7,trial4,brow,7.241
pp459_child_424.xlsx,bin_7,7,trial4,cheek,20.8722
pp459_child_424.xlsx,bin_8,8,trial4,brow,6.9828
pp459_child_424.xlsx,bin_8,8,trial4,cheek,30.6402
pp459_child_424.xlsx,bin_9,9,trial4,brow,23.976
pp459_child_424.xlsx,bin_9,9,trial4,cheek,70.3254
pp459_child_424.xlsx,bin_10,10,trial4,brow,16.997
pp459_child_424.xlsx,bin_10,10,trial4,cheek,82.9918
pp459_child_424.xlsx,bin_0,0,trial5,brow,3.3071
pp459_child_424.xlsx,bin_0,0,trial5,cheek,4.8675
pp459_child_424.xlsx,bin_1,1,trial5,brow,4.5845
pp459_child_424.xlsx,bin_1,1,trial5,cheek,6.0664
pp459_child_424.xlsx,bin_2,2,trial5,brow,3.5581
pp459_child_424.xlsx,bin_2,2,trial5,cheek,8.1139
pp459_child_424.xlsx,bin_3,3,trial5,brow,4.9979
pp459_child_424.xlsx,bin_3,3,trial5,cheek,9.8773
pp459_child_424.xlsx,bin_4,4,trial5,brow,8.0486
pp459_child_424.xlsx,bin_4,4,trial5,cheek,14.0785
pp459_child_424.xlsx,bin_5,5,trial5,brow,4.4864
pp459_child_424.xlsx,bin_5,5,trial5,cheek,19.1052
pp459_child_424.xlsx,bin_6,6,trial5,brow,6.4895
pp459_child_424.xlsx,bin_6,6,trial5,cheek,12.8655
pp459_child_424.xlsx,bin_7,7,trial5,brow,30.8251
pp459_child_424.xlsx,bin_7,7,trial5,cheek,26.0019
pp459_child_424.xlsx,bin_8,8,trial5,brow,23.055
pp459_child_424.xlsx,bin_8,8,trial5,cheek,20.7953
pp459_child_424.xlsx,bin_9,9,trial5,brow,25.4476
pp459_child_424.xlsx,bin_9,9,trial5,cheek,25.8387
pp459_child_424.xlsx,bin_10,10,trial5,brow,13.0142
pp459_child_424.xlsx,bin_10,10,trial5,cheek,17.5632
pp459_child_424.xlsx,bin_0,0,trial6,brow,71.0015
pp459_child_424.xlsx,bin_0,0,trial6,cheek,8.8004
pp459_child_424.xlsx,bin_1,1,trial6,brow,60.601
pp459_child_424.xlsx,bin_1,1,trial6,cheek,4.0871
pp459_child_424.xlsx,bin_2,2,trial6,brow,13.2202
pp459_child_424.xlsx,bin_2,2,trial6,cheek,5.1665
pp459_child_424.xlsx,bin_3,3,trial6,brow,5.1667
pp459_child_424.xlsx,bin_3,3,trial6,cheek,4.4478
pp459_child_424.xlsx,bin_4,4,trial6,brow,4.0022
pp459_child_424.xlsx,bin_4,4,trial6,cheek,4.6695
pp459_child_424.xlsx,bin_5,5,trial6,brow,3.7801
pp459_child_424.xlsx,bin_5,5,trial6,cheek,3.8474
pp459_child_424.xlsx,bin_6,6,trial6,brow,3.1719
pp459_child_424.xlsx,bin_6,6,trial6,cheek,5.7358
pp459_child_424.xlsx,bin_7,7,trial6,brow,3.5537
pp459_child_424.xlsx,bin_7,7,trial6,cheek,6.9444
pp459_child_424.xlsx,bin_8,8,trial6,brow,4.1095
pp459_child_424.xlsx,bin_8,8,trial6,cheek,5.657
pp459_child_424.xlsx,bin_9,9,trial6,brow,3.1828
pp459_child_424.xlsx,bin_9,9,trial6,cheek,6.0692
pp459_child_424.xlsx,bin_10,10,trial6,brow,3.0159
pp459_child_424.xlsx,bin_10,10,trial6,cheek,5.4247
pp459_child_424.xlsx,bin_0,0,trial7,brow,18.5522
pp459_child_424.xlsx,bin_0,0,trial7,cheek,5.0461
pp459_child_424.xlsx,bin_1,1,trial7,brow,31.4558
pp459_child_424.xlsx,bin_1,1,trial7,cheek,4.3503
pp459_child_424.xlsx,bin_2,2,trial7,brow,7.5283
pp459_child_424.xlsx,bin_2,2,trial7,cheek,3.8069
pp459_child_424.xlsx,bin_3,3,trial7,brow,9.2652
pp459_child_424.xlsx,bin_3,3,trial7,cheek,4.5345
pp459_child_424.xlsx,bin_4,4,trial7,brow,12.3867
pp459_child_424.xlsx,bin_4,4,trial7,cheek,3.5961
pp459_child_424.xlsx,bin_5,5,trial7,brow,6.7545
pp459_child_424.xlsx,bin_5,5,trial7,cheek,4.0362
pp459_child_424.xlsx,bin_6,6,trial7,brow,5.9713
pp459_child_424.xlsx,bin_6,6,trial7,cheek,3.8272
pp459_child_424.xlsx,bin_7,7,trial7,brow,6.7813
pp459_child_424.xlsx,bin_7,7,trial7,cheek,3.6565
pp459_child_424.xlsx,bin_8,8,trial7,brow,6.1887
pp459_child_424.xlsx,bin_8,8,trial7,cheek,3.1122
pp459_child_424.xlsx,bin_9,9,trial7,brow,5.6267
pp459_child_424.xlsx,bin_9,9,trial7,cheek,3.4065
pp459_child_424.xlsx,bin_10,10,trial7,brow,5.2756
pp459_child_424.xlsx,bin_10,10,trial7,cheek,5.4249
pp459_child_424.xlsx,bin_0,0,trial8,brow,6.8199
pp459_child_424.xlsx,bin_0,0,trial8,cheek,4.1668
pp459_child_424.xlsx,bin_1,1,trial8,brow,9.4416
pp459_child_424.xlsx,bin_1,1,trial8,cheek,3.8322
pp459_child_424.xlsx,bin_2,2,trial8,brow,10.4864
pp459_child_424.xlsx,bin_2,2,trial8,cheek,5.3375
pp459_child_424.xlsx,bin_3,3,trial8,brow,8.5877
pp459_child_424.xlsx,bin_3,3,trial8,cheek,4.737
pp459_child_424.xlsx,bin_4,4,trial8,brow,6.9173
pp459_child_424.xlsx,bin_4,4,trial8,cheek,4.7055
pp459_child_424.xlsx,bin_5,5,trial8,brow,5.8382
pp459_child_424.xlsx,bin_5,5,trial8,cheek,3.6886
pp459_child_424.xlsx,bin_6,6,trial8,brow,7.3544
pp459_child_424.xlsx,bin_6,6,trial8,cheek,6.4034
pp459_child_424.xlsx,bin_7,7,trial8,brow,8.9182
pp459_child_424.xlsx,bin_7,7,trial8,cheek,4.025
pp459_child_424.xlsx,bin_8,8,trial8,brow,5.6766
pp459_child_424.xlsx,bin_8,8,trial8,cheek,3.7369
pp459_child_424.xlsx,bin_9,9,trial8,brow,7.6781
pp459_child_424.xlsx,bin_9,9,trial8,cheek,3.8424
pp459_child_424.xlsx,bin_10,10,trial8,brow,7.0576
pp459_child_424.xlsx,bin_10,10,trial8,cheek,3.8094
