file_name,bin,bin_no,trial,muscle,rms
pp431_dyn_727.xlsx,bin_0,0,trial1,brow,12.0708
pp431_dyn_727.xlsx,bin_0,0,trial1,cheek,3.0736
pp431_dyn_727.xlsx,bin_1,1,trial1,brow,10.8058
pp431_dyn_727.xlsx,bin_1,1,trial1,cheek,2.9511
pp431_dyn_727.xlsx,bin_2,2,trial1,brow,8.5811
pp431_dyn_727.xlsx,bin_2,2,trial1,cheek,3.2483
pp431_dyn_727.xlsx,bin_3,3,trial1,brow,9.4132
pp431_dyn_727.xlsx,bin_3,3,trial1,cheek,3.2871
pp431_dyn_727.xlsx,bin_4,4,trial1,brow,8.7249
pp431_dyn_727.xlsx,bin_4,4,trial1,cheek,3.3236
pp431_dyn_727.xlsx,bin_5,5,trial1,brow,7.6737
pp431_dyn_727.xlsx,bin_5,5,trial1,cheek,2.9759
pp431_dyn_727.xlsx,bin_6,6,trial1,brow,7.664
pp431_dyn_727.xlsx,bin_6,6,trial1,cheek,3.0434
pp431_dyn_727.xlsx,bin_0,0,trial2,brow,10.0038
pp431_dyn_727.xlsx,bin_0,0,trial2,cheek,3.1298
pp431_dyn_727.xlsx,bin_1,1,trial2,brow,8.9332
pp431_dyn_727.xlsx,bin_1,1,trial2,cheek,3.0419
pp431_dyn_727.xlsx,bin_2,2,trial2,brow,8.8234
pp431_dyn_727.xlsx,bin_2,2,trial2,cheek,3.1882
pp431_dyn_727.xlsx,bin_3,3,trial2,brow,8.8768
pp431_dyn_727.xlsx,bin_3,3,trial2,cheek,3.2933
pp431_dyn_727.xlsx,bin_4,4,trial2,brow,7.6948
pp431_dyn_727.xlsx,bin_4,4,trial2,cheek,3.1261
pp431_dyn_727.xlsx,bin_5,5,trial2,brow,8.3109
pp431_dyn_727.xlsx,bin_5,5,trial2,cheek,3.2449
pp431_dyn_727.xlsx,bin_6,6,trial2,brow,7.6425
pp431_dyn_727.xlsx,bin_6,6,trial2,cheek,2.982
pp431_dyn_727.xlsx,bin_0,0,trial3,brow,9.9525
pp431_dyn_727.xlsx,bin_0,0,trial3,cheek,3.175
pp431_dyn_727.xlsx,bin_1,1,trial3,brow,8.8477
pp431_dyn_727.xlsx,bin_1,1,trial3,cheek,3.1182
pp431_dyn_727.xlsx,bin_2,2,trial3,brow,8.518
pp431_dyn_727.xlsx,bin_2,2,trial3,cheek,3.7212
pp431_dyn_727.xlsx,bin_3,3,trial3,brow,7.2136
pp431_dyn_727.xlsx,bin_3,3,trial3,cheek,3.277
pp431_dyn_727.xlsx,bin_4,4,trial3,brow,8.4796
pp431_dyn_727.xlsx,bin_4,4,trial3,cheek,3.1655
pp431_dyn_727.xlsx,bin_5,5,trial3,brow,9.4183
pp431_dyn_727.xlsx,bin_5,5,trial3,cheek,6.105
pp431_dyn_727.xlsx,bin_6,6,trial3,brow,12.6485
pp431_dyn_727.xlsx,bin_6,6,trial3,cheek,15.241
pp431_dyn_727.xlsx,bin_0,0,trial4,brow,8.4137
pp431_dyn_727.xlsx,bin_0,0,trial4,cheek,7.4133
pp431_dyn_727.xlsx,bin_1,1,trial4,brow,8.4275
pp431_dyn_727.xlsx,bin_1,1,trial4,cheek,4.0351
pp431_dyn_727.xlsx,bin_2,2,trial4,brow,7.3619
pp431_dyn_727.xlsx,bin_2,2,trial4,cheek,3.5477
pp431_dyn_727.xlsx,bin_3,3,trial4,brow,6.4774
pp431_dyn_727.xlsx,bin_3,3,trial4,cheek,3.2583
pp431_dyn_727.xlsx,bin_4,4,trial4,brow,6.9735
pp431_dyn_727.xlsx,bin_4,4,trial4,cheek,3.1481
pp431_dyn_727.xlsx,bin_5,5,trial4,brow,5.94
pp431_dyn_727.xlsx,bin_5,5,trial4,cheek,3.3029
pp431_dyn_727.xlsx,bin_6,6,trial4,brow,7.0487
pp431_dyn_727.xlsx,bin_6,6,trial4,cheek,3.1708
pp431_dyn_727.xlsx,bin_0,0,trial5,brow,8.1418
pp431_dyn_727.xlsx,bin_0,0,trial5,cheek,3.1239
pp431_dyn_727.xlsx,bin_1,1,trial5,brow,8.1366
