pp_no,condition,emotion,bin,bin_no,trial,muscle,rms
pp401,dyn,626,bin_0,0,trial1,brow,10.7942
pp401,dyn,626,bin_0,0,trial1,cheek,4.4809
pp401,dyn,626,bin_1,1,trial1,brow,11.9835
pp401,dyn,626,bin_1,1,trial1,cheek,4.1716
pp401,dyn,626,bin_2,2,trial1,brow,12.063
pp401,dyn,626,bin_2,2,trial1,cheek,4.7837
pp401,dyn,626,bin_3,3,trial1,brow,8.8357
pp401,dyn,626,bin_3,3,trial1,cheek,6.8328
pp401,dyn,626,bin_4,4,trial1,brow,6.3325
pp401,dyn,626,bin_4,4,trial1,cheek,9.6336
pp401,dyn,626,bin_5,5,trial1,brow,8.814
pp401,dyn,626,bin_5,5,trial1,cheek,9.3692
pp401,dyn,626,bin_6,6,trial1,brow,8.2217
pp401,dyn,626,bin_6,6,trial1,cheek,7.0378
pp401,dyn,626,bin_0,0,trial2,brow,8.6127
pp401,dyn,626,bin_0,0,trial2,cheek,7.3685
pp401,dyn,626,bin_1,1,trial2,brow,7.4769
pp401,dyn,626,bin_1,1,trial2,cheek,7.1548
pp401,dyn,626,bin_2,2,trial2,brow,9.3838
pp401,dyn,626,bin_2,2,trial2,cheek,8.2589
pp401,dyn,626,bin_3,3,trial2,brow,6.8933
pp401,dyn,626,bin_3,3,trial2,cheek,7.3333
pp401,dyn,626,bin_4,4,trial2,brow,6.1928
pp401,dyn,626,bin_4,4,trial2,cheek,9.054
pp401,dyn,626,bin_5,5,trial2,brow,8.8566
pp401,dyn,626,bin_5,5,trial2,cheek,8.114
pp401,dyn,626,bin_6,6,trial2,brow,10.610900000000001
pp401,dyn,626,bin_6,6,trial2,cheek,6.8277
pp401,dyn,626,bin_0,0,trial3,brow,11.0856
pp401,dyn,626,bin_0,0,trial3,cheek,5.9602
pp401,dyn,626,bin_1,1,trial3,brow,10.9065
pp401,dyn,626,bin_1,1,trial3,cheek,6.2079
pp401,dyn,626,bin_2,2,trial3,brow,9.2826
pp401,dyn,626,bin_2,2,trial3,cheek,5.4857
pp401,dyn,626,bin_3,3,trial3,brow,8.3394
pp401,dyn,626,bin_3,3,trial3,cheek,5.8505
pp401,dyn,626,bin_4,4,trial3,brow,9.6212
pp401,dyn,626,bin_4,4,trial3,cheek,5.3919
pp401,dyn,626,bin_5,5,trial3,brow,12.2699
pp401,dyn,626,bin_5,5,trial3,cheek,5.3074
pp401,dyn,626,bin_6,6,trial3,brow,10.5106
pp401,dyn,626,bin_6,6,trial3,cheek,7.08
pp401,dyn,626,bin_0,0,trial4,brow,12.0263
pp401,dyn,626,bin_0,0,trial4,cheek,4.7698
pp401,dyn,626,bin_1,1,trial4,brow,11.2795
pp401,dyn,626,bin_1,1,trial4,cheek,6.26
pp401,dyn,626,bin_2,2,trial4,brow,9.2322
pp401,dyn,626,bin_2,2,trial4,cheek,5.9132
pp401,dyn,626,bin_3,3,trial4,brow,8.9929
pp401,dyn,626,bin_3,3,trial4,cheek,5.855
pp401,dyn,626,bin_4,4,trial4,brow,33.3841
pp401,dyn,626,bin_4,4,trial4,cheek,6.1536
pp401,dyn,626,bin_5,5,trial4,brow,11.7148
pp401,dyn,626,bin_5,5,trial4,cheek,6.8866
pp401,dyn,626,bin_6,6,trial4,brow,12.0084
pp401,dyn,626,bin_6,6,trial4,cheek,6.2328
pp401,dyn,626,bin_0,0,trial5,brow,11.1572
pp401,dyn,626,bin_0,0,trial5,cheek,10.0525
pp401,dyn,626,bin_1,1,trial5,brow,9.9666
pp401,dyn,626,bin_1,1,trial5,cheek,7.182
pp401,dyn,626,bin_2,2,trial5,brow,8.3656
pp401,dyn,626,bin_2,2,trial5,cheek,8.9996
pp401,dyn,626,bin_3,3,trial5,brow,6.9833
pp401,dyn,626,bin_3,3,trial5,cheek,7.8958
pp401,dyn,626,bin_4,4,trial5,brow,5.9612
pp401,dyn,626,bin_4,4,trial5,cheek,7.1138
pp401,dyn,626,bin_5,5,trial5,brow,6.3684
pp401,dyn,626,bin_5,5,trial5,cheek,6.9862
pp401,dyn,626,bin_6,6,trial5,brow,7.3204
pp401,dyn,626,bin_6,6,trial5,cheek,6.7159
pp401,dyn,626,bin_0,0,trial6,brow,8.7479
pp401,dyn,626,bin_0,0,trial6,cheek,8.9206
pp401,dyn,626,bin_1,1,trial6,brow,8.5328
pp401,dyn,626,bin_1,1,trial6,cheek,8.0918
pp401,dyn,626,bin_2,2,trial6,brow,9.7588
pp401,dyn,626,bin_2,2,trial6,cheek,7.5323
pp401,dyn,626,bin_3,3,trial6,brow,6.7079
pp401,dyn,626,bin_3,3,trial6,cheek,7.4524
pp401,dyn,626,bin_4,4,trial6,brow,5.9781
pp401,dyn,626,bin_4,4,trial6,cheek,7.1218
pp401,dyn,626,bin_5,5,trial6,brow,7.0475
pp401,dyn,626,bin_5,5,trial6,cheek,9.2473
pp401,dyn,626,bin_6,6,trial6,brow,8.9699
pp401,dyn,626,bin_6,6,trial6,cheek,8.1424
pp401,dyn,626,bin_0,0,trial7,brow,9.4701
pp401,dyn,626,bin_0,0,trial7,cheek,9.7686
pp401,dyn,626,bin_1,1,trial7,brow,12.0957
pp401,dyn,626,bin_1,1,trial7,cheek,9.3798
pp401,dyn,626,bin_2,2,trial7,brow,8.9294
pp401,dyn,626,bin_2,2,trial7,cheek,7.2586
pp401,dyn,626,bin_3,3,trial7,brow,5.2268
pp401,dyn,626,bin_3,3,trial7,cheek,9.1637
pp401,dyn,626,bin_4,4,trial7,brow,6.1075
pp401,dyn,626,bin_4,4,trial7,cheek,9.5605
pp401,dyn,626,bin_5,5,trial7,brow,6.6487
pp401,dyn,626,bin_5,5,trial7,cheek,27.9661
pp401,dyn,626,bin_6,6,trial7,brow,6.7417
pp401,dyn,626,bin_6,6,trial7,cheek,15.9556
pp401,dyn,626,bin_0,0,trial8,brow,7.2454
pp401,dyn,626,bin_0,0,trial8,cheek,11.7263
pp401,dyn,626,bin_1,1,trial8,brow,11.2193
pp401,dyn,626,bin_1,1,trial8,cheek,8.1333
pp401,dyn,626,bin_2,2,trial8,brow,10.8434
pp401,dyn,626,bin_2,2,trial8,cheek,7.4222
pp401,dyn,626,bin_3,3,trial8,brow,7.3724
pp401,dyn,626,bin_3,3,trial8,cheek,7.3352
pp401,dyn,626,bin_4,4,trial8,brow,7.5553
pp401,dyn,626,bin_4,4,trial8,cheek,7.8576
pp401,dyn,626,bin_5,5,trial8,brow,9.6028
pp401,dyn,626,bin_5,5,trial8,cheek,7.6058
pp401,dyn,626,bin_6,6,trial8,brow,9.8713
pp401,dyn,626,bin_6,6,trial8,cheek,7.5783
pp401,dyn,727,bin_0,0,trial1,brow,27.3536
pp401,dyn,727,bin_0,0,trial1,cheek,6.6134
pp401,dyn,727,bin_1,1,trial1,brow,9.7783
pp401,dyn,727,bin_1,1,trial1,cheek,4.6731
pp401,dyn,727,bin_2,2,trial1,brow,10.2284
pp401,dyn,727,bin_2,2,trial1,cheek,4.1831
pp401,dyn,727,bin_3,3,trial1,brow,9.5089
pp401,dyn,727,bin_3,3,trial1,cheek,4.0782
pp401,dyn,727,bin_4,4,trial1,brow,9.3208
pp401,dyn,727,bin_4,4,trial1,cheek,5.1885
pp401,dyn,727,bin_5,5,trial1,brow,11.3432
pp401,dyn,727,bin_5,5,trial1,cheek,4.1489
pp401,dyn,727,bin_6,6,trial1,brow,12.171
pp401,dyn,727,bin_6,6,trial1,cheek,4.1846
pp401,dyn,727,bin_0,0,trial2,brow,10.6115
pp401,dyn,727,bin_0,0,trial2,cheek,3.5153
pp401,dyn,727,bin_1,1,trial2,brow,10.0265
pp401,dyn,727,bin_1,1,trial2,cheek,4.7914
pp401,dyn,727,bin_2,2,trial2,brow,12.1389
pp401,dyn,727,bin_2,2,trial2,cheek,14.015
pp401,dyn,727,bin_3,3,trial2,brow,10.2804
pp401,dyn,727,bin_3,3,trial2,cheek,3.897
pp401,dyn,727,bin_4,4,trial2,brow,9.7169
pp401,dyn,727,bin_4,4,trial2,cheek,3.8013
pp401,dyn,727,bin_5,5,trial2,brow,11.2027
pp401,dyn,727,bin_5,5,trial2,cheek,9.5639
pp401,dyn,727,bin_6,6,trial2,brow,9.997
pp401,dyn,727,bin_6,6,trial2,cheek,3.8745
pp401,dyn,727,bin_0,0,trial3,brow,9.3742
pp401,dyn,727,bin_0,0,trial3,cheek,4.4856
pp401,dyn,727,bin_1,1,trial3,brow,9.717
pp401,dyn,727,bin_1,1,trial3,cheek,3.9499
pp401,dyn,727,bin_2,2,trial3,brow,9.3333
pp401,dyn,727,bin_2,2,trial3,cheek,4.3157
pp401,dyn,727,bin_3,3,trial3,brow,8.6418
pp401,dyn,727,bin_3,3,trial3,cheek,3.7206
pp401,dyn,727,bin_4,4,trial3,brow,10.3021
pp401,dyn,727,bin_4,4,trial3,cheek,4.0407
pp401,dyn,727,bin_5,5,trial3,brow,9.9998
pp401,dyn,727,bin_5,5,trial3,cheek,3.8769
pp401,dyn,727,bin_6,6,trial3,brow,10.7698
pp401,dyn,727,bin_6,6,trial3,cheek,3.8359
pp401,dyn,727,bin_0,0,trial4,brow,7.7441
pp401,dyn,727,bin_0,0,trial4,cheek,13.5757
pp401,dyn,727,bin_1,1,trial4,brow,8.9846
pp401,dyn,727,bin_1,1,trial4,cheek,12.9472
pp401,dyn,727,bin_2,2,trial4,brow,8.47
pp401,dyn,727,bin_2,2,trial4,cheek,9.45
pp401,dyn,727,bin_3,3,trial4,brow,7.2435
pp401,dyn,727,bin_3,3,trial4,cheek,8.9439
pp401,dyn,727,bin_4,4,trial4,brow,8.1197
pp401,dyn,727,bin_4,4,trial4,cheek,9.0151
pp401,dyn,727,bin_5,5,trial4,brow,9.3925
pp401,dyn,727,bin_5,5,trial4,cheek,7.7534
pp401,dyn,727,bin_6,6,trial4,brow,14.8518
pp401,dyn,727,bin_6,6,trial4,cheek,7.9574
pp401,dyn,727,bin_0,0,trial5,brow,16.1381
pp401,dyn,727,bin_0,0,trial5,cheek,12.605
pp401,dyn,727,bin_1,1,trial5,brow,6.9638
pp401,dyn,727,bin_1,1,trial5,cheek,12.1142
pp401,dyn,727,bin_2,2,trial5,brow,8.1765
pp401,dyn,727,bin_2,2,trial5,cheek,10.1278
pp401,dyn,727,bin_3,3,trial5,brow,8.7217
pp401,dyn,727,bin_3,3,trial5,cheek,8.9941
pp401,dyn,727,bin_4,4,trial5,brow,8.9613
pp401,dyn,727,bin_4,4,trial5,cheek,9.5906
pp401,dyn,727,bin_5,5,trial5,brow,8.5324
pp401,dyn,727,bin_5,5,trial5,cheek,10.3237
pp401,dyn,727,bin_6,6,trial5,brow,8.4128
pp401,dyn,727,bin_6,6,trial5,cheek,8.7152
pp401,dyn,727,bin_0,0,trial6,brow,9.5918
pp401,dyn,727,bin_0,0,trial6,cheek,7.1759
pp401,dyn,727,bin_1,1,trial6,brow,9.3088
pp401,dyn,727,bin_1,1,trial6,cheek,8.9196
pp401,dyn,727,bin_2,2,trial6,brow,8.8477
pp401,dyn,727,bin_2,2,trial6,cheek,7.6407
pp401,dyn,727,bin_3,3,trial6,brow,8.6696
pp401,dyn,727,bin_3,3,trial6,cheek,6.9067
pp401,dyn,727,bin_4,4,trial6,brow,11.7816
pp401,dyn,727,bin_4,4,trial6,cheek,6.6577
pp401,dyn,727,bin_5,5,trial6,brow,10.8956
pp401,dyn,727,bin_5,5,trial6,cheek,6.7603
pp401,dyn,727,bin_6,6,trial6,brow,12.4704
pp401,dyn,727,bin_6,6,trial6,cheek,5.8449
pp401,dyn,727,bin_0,0,trial7,brow,10.4412
pp401,dyn,727,bin_0,0,trial7,cheek,7.2347
pp401,dyn,727,bin_1,1,trial7,brow,11.2788
pp401,dyn,727,bin_1,1,trial7,cheek,7.103
pp401,dyn,727,bin_2,2,trial7,brow,12.4835
pp401,dyn,727,bin_2,2,trial7,cheek,7.3285
pp401,dyn,727,bin_3,3,trial7,brow,11.8094
pp401,dyn,727,bin_3,3,trial7,cheek,8.5477
pp401,dyn,727,bin_4,4,trial7,brow,11.8541
pp401,dyn,727,bin_4,4,trial7,cheek,6.6304
pp401,dyn,727,bin_5,5,trial7,brow,11.7687
