pp_no,condition,emotion,bin,bin_no,trial,muscle,rms,bl_outlier
pp401,dyn,727,bin_0,0,trial1,brow,27.3536,TRUE
pp401,dyn,727,bin_1,1,trial1,brow,9.7783,TRUE
pp401,dyn,727,bin_2,2,trial1,brow,10.2284,TRUE
pp401,dyn,727,bin_3,3,trial1,brow,9.5089,TRUE
pp401,dyn,727,bin_4,4,trial1,brow,9.3208,TRUE
pp401,dyn,727,bin_5,5,trial1,brow,11.3432,TRUE
pp401,dyn,727,bin_6,6,trial1,brow,12.171,TRUE
pp401,dyn,727,bin_0,0,trial4,cheek,13.5757,TRUE
pp401,dyn,727,bin_1,1,trial4,cheek,12.9472,TRUE
pp401,dyn,727,bin_2,2,trial4,cheek,9.45,TRUE
pp401,dyn,727,bin_3,3,trial4,cheek,8.9439,TRUE
pp401,dyn,727,bin_4,4,trial4,cheek,9.0151,TRUE
pp401,dyn,727,bin_5,5,trial4,cheek,7.7534,TRUE
pp401,dyn,727,bin_6,6,trial4,cheek,7.9574,TRUE
pp401,dyn,828,bin_0,0,trial6,cheek,11.1378,TRUE
pp401,dyn,828,bin_1,1,trial6,cheek,6.7404,TRUE
pp401,dyn,828,bin_2,2,trial6,cheek,4.7365,TRUE
pp401,dyn,828,bin_3,3,trial6,cheek,4.6973,TRUE
pp401,dyn,828,bin_4,4,trial6,cheek,4.8588,TRUE
pp401,dyn,828,bin_5,5,trial6,cheek,5.3816,TRUE
pp401,dyn,828,bin_6,6,trial6,cheek,4.3128,TRUE
pp401,dyn,929,bin_0,0,trial3,brow,15.1417,TRUE
pp401,dyn,929,bin_1,1,trial3,brow,15.2156,TRUE
pp401,dyn,929,bin_2,2,trial3,brow,13.0753,TRUE
pp401,dyn,929,bin_3,3,trial3,brow,12.9279,TRUE
pp401,dyn,929,bin_4,4,trial3,brow,13.5699,TRUE
pp401,dyn,929,bin_5,5,trial3,brow,12.2717,TRUE
pp401,dyn,929,bin_6,6,trial3,brow,14.0192,TRUE
pp401,dyn,929,bin_0,0,trial4,cheek,10.4185,TRUE
pp401,dyn,929,bin_1,1,trial4,cheek,9.9538,TRUE
pp401,dyn,929,bin_2,2,trial4,cheek,7.0562,TRUE
pp401,dyn,929,bin_3,3,trial4,cheek,8.8007,TRUE
pp401,dyn,929,bin_4,4,trial4,cheek,9.4434,TRUE
pp401,dyn,929,bin_5,5,trial4,cheek,6.2107,TRUE
pp401,dyn,929,bin_6,6,trial4,cheek,5.4661,TRUE
pp402,dyn,626,bin_0,0,trial5,cheek,55.6277,TRUE
pp402,dyn,626,bin_1,1,trial5,cheek,15.5533,TRUE
pp402,dyn,626,bin_2,2,trial5,cheek,13.1207,TRUE
pp402,dyn,626,bin_3,3,trial5,cheek,7.739,TRUE
pp402,dyn,626,bin_4,4,trial5,cheek,7.4448,TRUE
pp402,dyn,626,bin_5,5,trial5,cheek,7.6852,TRUE
pp402,dyn,626,bin_6,6,trial5,cheek,6.5078,TRUE
pp402,dyn,828,bin_0,0,trial5,cheek,17.6636,TRUE
pp402,dyn,828,bin_1,1,trial5,cheek,9.8133,TRUE
pp402,dyn,828,bin_2,2,trial5,cheek,19.8624,TRUE
pp402,dyn,828,bin_3,3,trial5,cheek,9.5199,TRUE
pp402,dyn,828,bin_4,4,trial5,cheek,8.0856,TRUE
pp402,dyn,828,bin_5,5,trial5,cheek,9.9669,TRUE
pp402,dyn,828,bin_6,6,trial5,cheek,6.6782,TRUE
pp402,dyn,929,bin_0,0,trial6,cheek,12.3416,TRUE
pp402,dyn,929,bin_1,1,trial6,cheek,7.6834,TRUE
pp402,dyn,929,bin_2,2,trial6,cheek,4.8402,TRUE
pp402,dyn,929,bin_3,3,trial6,cheek,5.2998,TRUE
pp402,dyn,929,bin_4,4,trial6,cheek,4.9645,TRUE
pp402,dyn,929,bin_5,5,trial6,cheek,5.3254,TRUE
pp402,dyn,929,bin_6,6,trial6,cheek,4.1689,TRUE
pp402,dyn,929,bin_0,0,trial7,brow,14.0163,TRUE
pp402,dyn,929,bin_1,1,trial7,brow,11.284,TRUE
pp402,dyn,929,bin_2,2,trial7,brow,12.0391,TRUE
pp402,dyn,929,bin_3,3,trial7,brow,16.6618,TRUE
pp402,dyn,929,bin_4,4,trial7,brow,18.4396,TRUE
pp402,dyn,929,bin_5,5,trial7,brow,10.987,TRUE
pp402,dyn,929,bin_6,6,trial7,brow,10.2698,TRUE
pp403,dyn,727,bin_0,0,trial1,brow,7.4729,TRUE
pp403,dyn,727,bin_1,1,trial1,brow,7.1737,TRUE
pp403,dyn,727,bin_2,2,trial1,brow,6.7008,TRUE
pp403,dyn,727,bin_3,3,trial1,brow,6.7062,TRUE
pp403,dyn,727,bin_4,4,trial1,brow,6.3489,TRUE
pp403,dyn,727,bin_5,5,trial1,brow,6.1654,TRUE
pp403,dyn,727,bin_6,6,trial1,brow,6.3704,TRUE
pp403,dyn,727,bin_0,0,trial6,cheek,4.6024,TRUE
pp403,dyn,727,bin_1,1,trial6,cheek,4.0426,TRUE
pp403,dyn,727,bin_2,2,trial6,cheek,3.4161,TRUE
pp403,dyn,727,bin_3,3,trial6,cheek,3.239,TRUE
pp403,dyn,727,bin_4,4,trial6,cheek,3.409,TRUE
pp403,dyn,727,bin_5,5,trial6,cheek,4.0807,TRUE
pp403,dyn,727,bin_6,6,trial6,cheek,12.7804,TRUE
pp403,dyn,828,bin_0,0,trial1,brow,36.8221,TRUE
pp403,dyn,828,bin_1,1,trial1,brow,43.8772,TRUE
pp403,dyn,828,bin_2,2,trial1,brow,99.8326,TRUE
pp403,dyn,828,bin_3,3,trial1,brow,84.2208,TRUE
pp403,dyn,828,bin_4,4,trial1,brow,55.0342,TRUE
pp403,dyn,828,bin_5,5,trial1,brow,96.242,TRUE
pp403,dyn,828,bin_6,6,trial1,brow,102.9261,TRUE
pp403,dyn,828,bin_0,0,trial1,cheek,83.6792,TRUE
pp403,dyn,828,bin_1,1,trial1,cheek,107.9586,TRUE
pp403,dyn,828,bin_2,2,trial1,cheek,214.3525,TRUE
pp403,dyn,828,bin_3,3,trial1,cheek,162.7223,TRUE
pp403,dyn,828,bin_4,4,trial1,cheek,88.2908,TRUE
pp403,dyn,828,bin_5,5,trial1,cheek,160.0373,TRUE
pp403,dyn,828,bin_6,6,trial1,cheek,113.1495,TRUE
pp403,dyn,929,bin_0,0,trial8,brow,21.2963,TRUE
pp403,dyn,929,bin_1,1,trial8,brow,31.3343,TRUE
pp403,dyn,929,bin_2,2,trial8,brow,22.5046,TRUE
pp403,dyn,929,bin_3,3,trial8,brow,20.9541,TRUE
pp403,dyn,929,bin_4,4,trial8,brow,82.7415,TRUE
pp403,dyn,929,bin_5,5,trial8,brow,81.7322,TRUE
pp403,dyn,929,bin_6,6,trial8,brow,16.545,TRUE
pp403,dyn,929,bin_0,0,trial8,cheek,35.1496,TRUE
pp403,dyn,929,bin_1,1,trial8,cheek,161.1889,TRUE
pp403,dyn,929,bin_2,2,trial8,cheek,36.4471,TRUE
pp403,dyn,929,bin_3,3,trial8,cheek,30.104,TRUE
pp403,dyn,929,bin_4,4,trial8,cheek,91.7231,TRUE
pp403,dyn,929,bin_5,5,trial8,cheek,99.5629,TRUE
pp403,dyn,929,bin_6,6,trial8,cheek,34.6418,TRUE
pp404,dyn,626,bin_0,0,trial2,brow,3.8827,TRUE
pp404,dyn,626,bin_1,1,trial2,brow,1.217,TRUE
pp404,dyn,626,bin_2,2,trial2,brow,2.2249,TRUE
pp404,dyn,626,bin_3,3,trial2,brow,1.7264,TRUE
pp404,dyn,626,bin_4,4,trial2,brow,1.4506,TRUE
pp404,dyn,626,bin_5,5,trial2,brow,1.0753,TRUE
pp404,dyn,626,bin_6,6,trial2,brow,1.9794,TRUE
pp404,dyn,626,bin_0,0,trial3,cheek,33.2014,TRUE
pp404,dyn,626,bin_1,1,trial3,cheek,20.6347,TRUE
pp404,dyn,626,bin_2,2,trial3,cheek,19.8266,TRUE
pp404,dyn,626,bin_3,3,trial3,cheek,16.0602,TRUE
pp404,dyn,626,bin_4,4,trial3,cheek,40.8281,TRUE
pp404,dyn,626,bin_5,5,trial3,cheek,41.1281,TRUE
pp404,dyn,626,bin_6,6,trial3,cheek,32.1503,TRUE
pp404,dyn,727,bin_0,0,trial7,cheek,44.5689,TRUE
pp404,dyn,727,bin_1,1,trial7,cheek,34.4997,TRUE
pp404,dyn,727,bin_2,2,trial7,cheek,18.4915,TRUE
pp404,dyn,727,bin_3,3,trial7,cheek,11.9591,TRUE
pp404,dyn,727,bin_4,4,trial7,cheek,34.655,TRUE
pp404,dyn,727,bin_5,5,trial7,cheek,67.1066,TRUE
pp404,dyn,727,bin_6,6,trial7,cheek,145.0117,TRUE
pp404,dyn,828,bin_0,0,trial4,brow,2.6535,TRUE
pp404,dyn,828,bin_1,1,trial4,brow,1.355,TRUE
pp404,dyn,828,bin_2,2,trial4,brow,1.9166,TRUE
pp404,dyn,828,bin_3,3,trial4,brow,1.31,TRUE
pp404,dyn,828,bin_4,4,trial4,brow,0.9349,TRUE
pp404,dyn,828,bin_5,5,trial4,brow,1.4372,TRUE
pp404,dyn,828,bin_6,6,trial4,brow,1.7866,TRUE
pp404,dyn,828,bin_0,0,trial4,cheek,39.865,TRUE
pp404,dyn,828,bin_1,1,trial4,cheek,19.3377,TRUE
pp404,dyn,828,bin_2,2,trial4,cheek,15.0864,TRUE
pp404,dyn,828,bin_3,3,trial4,cheek,14.4526,TRUE
pp404,dyn,828,bin_4,4,trial4,cheek,13.3633,TRUE
pp404,dyn,828,bin_5,5,trial4,cheek,16.4695,TRUE
pp404,dyn,828,bin_6,6,trial4,cheek,12.2952,TRUE
pp404,dyn,929,bin_0,0,trial5,brow,1.9571,TRUE
pp404,dyn,929,bin_1,1,trial5,brow,5.6823,TRUE
pp404,dyn,929,bin_2,2,trial5,brow,1.3954,TRUE
pp404,dyn,929,bin_3,3,trial5,brow,1.2315,TRUE
pp404,dyn,929,bin_4,4,trial5,brow,1.1564,TRUE
