pp_no,condition,emotion,trial,muscle,bin,Zdiff
pp401,dyn,626,trial1,brow,diff_bin1,0.1491889431186999
pp401,dyn,626,trial1,brow,diff_bin2,0.15916163375851897
pp401,dyn,626,trial1,brow,diff_bin3,-0.24567942915830654
pp401,dyn,626,trial1,brow,diff_bin4,-0.5596874695305674
pp401,dyn,626,trial1,brow,diff_bin5,-0.24840153465370357
pp401,dyn,626,trial1,brow,diff_bin6,-0.32270121598659346
pp401,dyn,626,trial1,cheek,diff_bin1,-0.06505648001579112
pp401,dyn,626,trial1,cheek,diff_bin2,0.06368930536301809
pp401,dyn,626,trial1,cheek,diff_bin3,0.49468585628560946
pp401,dyn,626,trial1,cheek,diff_bin4,1.0837908974373316
pp401,dyn,626,trial1,cheek,diff_bin5,1.0281784392537714
pp401,dyn,626,trial1,cheek,diff_bin6,0.5378044414884455
pp401,dyn,626,trial2,brow,diff_bin1,-0.1424777613673754
pp401,dyn,626,trial2,brow,diff_bin2,0.09672882707376579
pp401,dyn,626,trial2,brow,diff_bin3,-0.21568609164911529
pp401,dyn,626,trial2,brow,diff_bin4,-0.3035586676641235
pp401,dyn,626,trial2,brow,diff_bin5,0.030595462227067105
pp401,dyn,626,trial2,brow,diff_bin6,0.25065950234573814
pp401,dyn,626,trial2,cheek,diff_bin1,-0.04494849589193199
pp401,dyn,626,trial2,cheek,diff_bin2,0.18728189397368386
pp401,dyn,626,trial2,cheek,diff_bin3,-0.0074037765811698075
pp401,dyn,626,trial2,cheek,diff_bin4,0.35451890419209786
pp401,dyn,626,trial2,cheek,diff_bin5,0.15680441594494762
pp401,dyn,626,trial2,cheek,diff_bin6,-0.11374893111070097
pp401,dyn,626,trial3,brow,diff_bin1,-0.022466778535743026
pp401,dyn,626,trial3,brow,diff_bin2,-0.22617309715211964
pp401,dyn,626,trial3,brow,diff_bin3,-0.3444906042147262
pp401,dyn,626,trial3,brow,diff_bin4,-0.18369821601196012
pp401,dyn,626,trial3,brow,diff_bin5,0.14856172987091265
pp401,dyn,626,trial3,brow,diff_bin6,-0.07212952349554559
pp401,dyn,626,trial3,cheek,diff_bin1,0.05209987099874379
pp401,dyn,626,trial3,cheek,diff_bin2,-0.09980374965241812
pp401,dyn,626,trial3,cheek,diff_bin3,-0.023073701447566403
pp401,dyn,626,trial3,cheek,diff_bin4,-0.1195331315647401
pp401,dyn,626,trial3,cheek,diff_bin5,-0.13730640205078698
pp401,dyn,626,trial3,cheek,diff_bin6,0.23553264248846695
pp401,dyn,626,trial4,brow,diff_bin1,-0.09368057068951921
pp401,dyn,626,trial4,brow,diff_bin2,-0.35049930712852906
pp401,dyn,626,trial4,brow,diff_bin3,-0.3805177331676318
pp401,dyn,626,trial4,brow,diff_bin4,2.679179020718548
pp401,dyn,626,trial4,brow,diff_bin5,-0.03907538533715221
pp401,dyn,626,trial4,brow,diff_bin6,-0.002245423427078848
pp401,dyn,626,trial4,cheek,diff_bin1,0.31344056424032285
pp401,dyn,626,trial4,cheek,diff_bin2,0.24049653815084227
pp401,dyn,626,trial4,cheek,diff_bin3,0.22825506664447626
pp401,dyn,626,trial4,cheek,diff_bin4,0.29106096684724114
pp401,dyn,626,trial4,cheek,diff_bin5,0.4452362007676254
pp401,dyn,626,trial4,cheek,diff_bin6,0.30771946415487345
pp401,dyn,626,trial5,brow,diff_bin1,-0.14935201856312466
pp401,dyn,626,trial5,brow,diff_bin2,-0.35018570050463527
pp401,dyn,626,trial5,brow,diff_bin3,-0.5235850749879272
pp401,dyn,626,trial5,brow,diff_bin4,-0.651800007100618
pp401,dyn,626,trial5,brow,diff_bin5,-0.6007197602008159
pp401,dyn,626,trial5,brow,diff_bin6,-0.48129835782210373
pp401,dyn,626,trial5,cheek,diff_bin1,-0.6037653601206864
pp401,dyn,626,trial5,cheek,diff_bin2,-0.22146126029300517
pp401,dyn,626,trial5,cheek,diff_bin3,-0.4536285497900311
pp401,dyn,626,trial5,cheek,diff_bin4,-0.618110177246703
pp401,dyn,626,trial5,cheek,diff_bin5,-0.6449488673534439
pp401,dyn,626,trial5,cheek,diff_bin6,-0.7018022994525979
pp401,dyn,626,trial6,brow,diff_bin1,-0.02698271391981194
pp401,dyn,626,trial6,brow,diff_bin2,0.12680997443764733
pp401,dyn,626,trial6,brow,diff_bin3,-0.25590300509724023
pp401,dyn,626,trial6,brow,diff_bin4,-0.34745105074428245
pp401,dyn,626,trial6,brow,diff_bin5,-0.21330268130752322
pp401,dyn,626,trial6,brow,diff_bin6,0.027848268201758675
pp401,dyn,626,trial6,cheek,diff_bin1,-0.17432528495663668
pp401,dyn,626,trial6,cheek,diff_bin2,-0.29200747237608393
pp401,dyn,626,trial6,cheek,diff_bin3,-0.30881320387709177
pp401,dyn,626,trial6,cheek,diff_bin4,-0.37834981006273843
pp401,dyn,626,trial6,cheek,diff_bin5,0.06871630139398277
pp401,dyn,626,trial6,cheek,diff_bin6,-0.16368235612120474
pp401,dyn,626,trial7,brow,diff_bin1,0.3293622206780953
pp401,dyn,626,trial7,brow,diff_bin2,-0.06782684061572458
pp401,dyn,626,trial7,brow,diff_bin3,-0.5322907948672156
pp401,dyn,626,trial7,brow,diff_bin4,-0.4218134534019512
pp401,dyn,626,trial7,brow,diff_bin5,-0.3539238914614481
pp401,dyn,626,trial7,brow,diff_bin6,-0.3422577250526032
pp401,dyn,626,trial7,cheek,diff_bin1,-0.08177807769201273
pp401,dyn,626,trial7,cheek,diff_bin2,-0.5279397505322843
pp401,dyn,626,trial7,cheek,diff_bin3,-0.1272313765326607
pp401,dyn,626,trial7,cheek,diff_bin4,-0.04377062234492757
pp401,dyn,626,trial7,cheek,diff_bin5,3.8275631913590624
pp401,dyn,626,trial7,cheek,diff_bin6,1.3013399348777868
pp401,dyn,626,trial8,brow,diff_bin1,0.4984965450764331
pp401,dyn,626,trial8,brow,diff_bin2,0.4513426531077799
pp401,dyn,626,trial8,brow,diff_bin3,0.015931216493798805
pp401,dyn,626,trial8,brow,diff_bin4,0.03887467709786019
pp401,dyn,626,trial8,brow,diff_bin5,0.2957185020667816
pp401,dyn,626,trial8,brow,diff_bin6,0.3293998534729624
pp401,dyn,626,trial8,cheek,diff_bin1,-0.7557320811404377
pp401,dyn,626,trial8,cheek,diff_bin2,-0.9053009881537872
pp401,dyn,626,trial8,cheek,diff_bin3,-0.9236000950447469
pp401,dyn,626,trial8,cheek,diff_bin4,-0.813721319874203
pp401,dyn,626,trial8,cheek,diff_bin5,-0.8666835625770034
pp401,dyn,626,trial8,cheek,diff_bin6,-0.8724677630310426
pp401,dyn,727,trial1,brow,diff_bin1,NA
pp401,dyn,727,trial1,brow,diff_bin2,NA
pp401,dyn,727,trial1,brow,diff_bin3,NA
pp401,dyn,727,trial1,brow,diff_bin4,NA
pp401,dyn,727,trial1,brow,diff_bin5,NA
pp401,dyn,727,trial1,brow,diff_bin6,NA
pp401,dyn,727,trial1,cheek,diff_bin1,-0.40811215058079364
pp401,dyn,727,trial1,cheek,diff_bin2,-0.5111760859436699
pp401,dyn,727,trial1,cheek,diff_bin3,-0.533240181493804
pp401,dyn,727,trial1,cheek,diff_bin4,-0.2997057173440049
pp401,dyn,727,trial1,cheek,diff_bin5,-0.5183695279628746
pp401,dyn,727,trial1,cheek,diff_bin6,-0.5108605841007223
pp401,dyn,727,trial2,brow,diff_bin1,-0.07338394999112029
pp401,dyn,727,trial2,brow,diff_bin2,0.19160110293408084
pp401,dyn,727,trial2,brow,diff_bin3,-0.04153406126847849
pp401,dyn,727,trial2,brow,diff_bin4,-0.11222099429411318
pp401,dyn,727,trial2,brow,diff_bin5,0.07416169441837678
pp401,dyn,727,trial2,brow,diff_bin6,-0.07708450815306574
pp401,dyn,727,trial2,cheek,diff_bin1,0.26840793452360495
pp401,dyn,727,trial2,cheek,diff_bin2,2.2084498002644732
pp401,dyn,727,trial2,cheek,diff_bin3,0.08028470230206086
pp401,dyn,727,trial2,cheek,diff_bin4,0.060155684722005276
pp401,dyn,727,trial2,cheek,diff_bin5,1.2722296315018231
pp401,dyn,727,trial2,cheek,diff_bin6,0.07555217465784725
pp401,dyn,727,trial3,brow,diff_bin1,0.04300174026830103
pp401,dyn,727,trial3,brow,diff_bin2,-0.005130604366900604
pp401,dyn,727,trial3,brow,diff_bin3,-0.09187419653589163
pp401,dyn,727,trial3,brow,diff_bin4,0.11639823452437703
pp401,dyn,727,trial3,brow,diff_bin5,0.07847692156315375
pp401,dyn,727,trial3,brow,diff_bin6,0.17506776172240618
pp401,dyn,727,trial3,cheek,diff_bin1,-0.11267622484467915
pp401,dyn,727,trial3,cheek,diff_bin2,-0.03573584207786262
pp401,dyn,727,trial3,cheek,diff_bin3,-0.1609059399032659
pp401,dyn,727,trial3,cheek,diff_bin4,-0.09357784661825225
pp401,dyn,727,trial3,cheek,diff_bin5,-0.12803064786812807
pp401,dyn,727,trial3,cheek,diff_bin6,-0.13665436490869526
pp401,dyn,727,trial4,brow,diff_bin1,0.15561160677604247
pp401,dyn,727,trial4,brow,diff_bin2,0.09105881931376802
pp401,dyn,727,trial4,brow,diff_bin3,-0.0627965903684699
pp401,dyn,727,trial4,brow,diff_bin4,0.04711625917378598
pp401,dyn,727,trial4,brow,diff_bin5,0.20677966353053473
pp401,dyn,727,trial4,brow,diff_bin6,0.891608720259635
pp401,dyn,727,trial4,cheek,diff_bin1,NA
pp401,dyn,727,trial4,cheek,diff_bin2,NA
pp401,dyn,727,trial4,cheek,diff_bin3,NA
pp401,dyn,727,trial4,cheek,diff_bin4,NA
pp401,dyn,727,trial4,cheek,diff_bin5,NA
pp401,dyn,727,trial4,cheek,diff_bin6,NA
pp401,dyn,727,trial5,brow,diff_bin1,-1.150848499835104
pp401,dyn,727,trial5,brow,diff_bin2,-0.9987241987167592
pp401,dyn,727,trial5,brow,diff_bin3,-0.9303328661780261
pp401,dyn,727,trial5,brow,diff_bin4,-0.9002768073440564
pp401,dyn,727,trial5,brow,diff_bin5,-0.9540791597392553
pp401,dyn,727,trial5,brow,diff_bin6,-0.9690821006263288
pp401,dyn,727,trial5,cheek,diff_bin1,-0.1032322030124484
pp401,dyn,727,trial5,cheek,diff_bin2,-0.5210407768998307
pp401,dyn,727,trial5,cheek,diff_bin3,-0.7594970697996123
pp401,dyn,727,trial5,cheek,diff_bin4,-0.6340325035874577
pp401,dyn,727,trial5,cheek,diff_bin5,-0.4798362362108768
pp401,dyn,727,trial5,cheek,diff_bin6,-0.8181593791316657
pp401,dyn,727,trial6,brow,diff_bin1,-0.03550026982476412
pp401,dyn,727,trial6,brow,diff_bin2,-0.09334187553571394
pp401,dyn,727,trial6,brow,diff_bin3,-0.1156832114218993
pp401,dyn,727,trial6,brow,diff_bin4,0.27469431400094946
pp401,dyn,727,trial6,brow,diff_bin5,0.16355212649303047
pp401,dyn,727,trial6,brow,diff_bin6,0.3610992110161354
pp401,dyn,727,trial6,cheek,diff_bin1,0.3667603756984641
pp401,dyn,727,trial6,cheek,diff_bin2,0.0977635044013568
pp401,dyn,727,trial6,cheek,diff_bin3,-0.05662206408099254
pp401,dyn,727,trial6,cheek,diff_bin4,-0.10899537001029082
pp401,dyn,727,trial6,cheek,diff_bin5,-0.08741504395267635
pp401,dyn,727,trial6,cheek,diff_bin6,-0.2799553019754864
pp401,dyn,727,trial7,brow,diff_bin1,0.10507076326933754
pp401,dyn,727,trial7,brow,diff_bin2,0.2561915231912224
pp401,dyn,727,trial7,brow,diff_bin3,0.17163063312453147
pp401,dyn,727,trial7,brow,diff_bin4,0.1772379195597505
pp401,dyn,727,trial7,brow,diff_bin5,0.16652511728754252
pp401,dyn,727,trial7,brow,diff_bin6,0.2454661766540587
