pp_no,condition,emotion,trial,muscle,bin,Zdiff
pp401,dyn,626,trial1,brow,diff_bin1,0.20105628696326294
pp401,dyn,626,trial1,brow,diff_bin2,0.21033338995945391
pp401,dyn,626,trial1,brow,diff_bin3,-0.16627031443811408
pp401,dyn,626,trial1,brow,diff_bin4,-0.4583765310427036
pp401,dyn,626,trial1,brow,diff_bin5,-0.16880255513015602
pp401,dyn,626,trial1,brow,diff_bin6,-0.23791988977976386
pp401,dyn,626,trial1,cheek,diff_bin1,0.3839918545602197
pp401,dyn,626,trial1,cheek,diff_bin2,0.5054200522503708
pp401,dyn,626,trial1,cheek,diff_bin3,0.911919839681981
pp401,dyn,626,trial1,cheek,diff_bin4,1.467541627119614
pp401,dyn,626,trial1,cheek,diff_bin5,1.4150900416445675
pp401,dyn,626,trial1,cheek,diff_bin6,0.9525876725956895
pp401,dyn,626,trial2,brow,diff_bin1,0.7068677675535167
pp401,dyn,626,trial2,brow,diff_bin2,0.9293898770307026
pp401,dyn,626,trial2,brow,diff_bin3,0.6387656630431146
pp401,dyn,626,trial2,brow,diff_bin4,0.5570221328691313
pp401,dyn,626,trial2,brow,diff_bin5,0.8678692644572208
pp401,dyn,626,trial2,brow,diff_bin6,1.0725840039064984
pp401,dyn,626,trial2,cheek,diff_bin1,-0.19613287925880202
pp401,dyn,626,trial2,cheek,diff_bin2,0.02289811742424963
pp401,dyn,626,trial2,cheek,diff_bin3,-0.16072210767296305
pp401,dyn,626,trial2,cheek,diff_bin4,0.18062979522761363
pp401,dyn,626,trial2,cheek,diff_bin5,-0.005847097157196002
pp401,dyn,626,trial2,cheek,diff_bin6,-0.26102287021526077
pp401,dyn,626,trial3,brow,diff_bin1,-0.06243452532933651
pp401,dyn,626,trial3,brow,diff_bin2,-0.251932482002472
pp401,dyn,626,trial3,brow,diff_bin3,-0.3619974322667134
pp401,dyn,626,trial3,brow,diff_bin4,-0.2124201917570605
pp401,dyn,626,trial3,brow,diff_bin5,0.09666487372734993
pp401,dyn,626,trial3,brow,diff_bin6,-0.10863333131917223
pp401,dyn,626,trial3,cheek,diff_bin1,0.1875792386716611
pp401,dyn,626,trial3,cheek,diff_bin2,0.0443094390117571
pp401,dyn,626,trial3,cheek,diff_bin3,0.11667834363088339
pp401,dyn,626,trial3,cheek,diff_bin4,0.02570142570782613
pp401,dyn,626,trial3,cheek,diff_bin5,0.008938343360468337
pp401,dyn,626,trial3,cheek,diff_bin6,0.36058615127675947
pp401,dyn,626,trial4,brow,diff_bin1,-0.46379492352909246
pp401,dyn,626,trial4,brow,diff_bin2,-0.7027007469769098
pp401,dyn,626,trial4,brow,diff_bin3,-0.7306254104610413
pp401,dyn,626,trial4,brow,diff_bin4,2.1156598046419717
pp401,dyn,626,trial4,brow,diff_bin5,-0.4129984086329684
pp401,dyn,626,trial4,brow,diff_bin6,-0.3787373087627593
pp401,dyn,626,trial4,cheek,diff_bin1,0.6810380468463423
pp401,dyn,626,trial4,cheek,diff_bin2,0.6122399763367125
pp401,dyn,626,trial4,cheek,diff_bin3,0.6006942793826744
pp401,dyn,626,trial4,cheek,diff_bin4,0.6599304496657639
pp401,dyn,626,trial4,cheek,diff_bin5,0.8053427497913654
pp401,dyn,626,trial4,cheek,diff_bin6,0.6756421197475478
pp401,dyn,626,trial5,brow,diff_bin1,-0.20597630422753652
pp401,dyn,626,trial5,brow,diff_bin2,-0.3928019884652912
pp401,dyn,626,trial5,brow,diff_bin3,-0.5541068874795627
pp401,dyn,626,trial5,brow,diff_bin4,-0.6733789248683254
pp401,dyn,626,trial5,brow,diff_bin5,-0.6258614866287165
pp401,dyn,626,trial5,brow,diff_bin6,-0.5147696369133246
pp401,dyn,626,trial5,cheek,diff_bin1,-1.2800369705322643
pp401,dyn,626,trial5,cheek,diff_bin2,-0.9194620773422326
pp401,dyn,626,trial5,cheek,diff_bin3,-1.138433560123459
pp401,dyn,626,trial5,cheek,diff_bin4,-1.2935664642138005
pp401,dyn,626,trial5,cheek,diff_bin5,-1.3188797104566747
pp401,dyn,626,trial5,cheek,diff_bin6,-1.372501736000945
pp401,dyn,626,trial6,brow,diff_bin1,0.7661436548170206
pp401,dyn,626,trial6,brow,diff_bin2,0.9092094192614225
pp401,dyn,626,trial6,brow,diff_bin3,0.5531903811346479
pp401,dyn,626,trial6,brow,diff_bin4,0.4680277425608106
pp401,dyn,626,trial6,brow,diff_bin5,0.5928193644995083
pp401,dyn,626,trial6,brow,diff_bin6,0.8171502173281529
pp401,dyn,626,trial6,cheek,diff_bin1,-0.6401701119263625
pp401,dyn,626,trial6,cheek,diff_bin2,-0.7511635388298741
pp401,dyn,626,trial6,cheek,diff_bin3,-0.767014074682583
pp401,dyn,626,trial6,cheek,diff_bin4,-0.832598394493666
pp401,dyn,626,trial6,cheek,diff_bin5,-0.41094240006397154
pp401,dyn,626,trial6,cheek,diff_bin6,-0.6301321004852226
pp401,dyn,626,trial7,brow,diff_bin1,0.8403582337426746
pp401,dyn,626,trial7,brow,diff_bin2,0.470872809631492
pp401,dyn,626,trial7,brow,diff_bin3,0.038804865559842416
pp401,dyn,626,trial7,brow,diff_bin4,0.14157649585852494
pp401,dyn,626,trial7,brow,diff_bin5,0.2047308121042919
pp401,dyn,626,trial7,brow,diff_bin6,0.2155832722130434
pp401,dyn,626,trial7,cheek,diff_bin1,-0.728817456904382
pp401,dyn,626,trial7,cheek,diff_bin2,-1.1496204187412524
pp401,dyn,626,trial7,cheek,diff_bin3,-0.7716873041856132
pp401,dyn,626,trial7,cheek,diff_bin4,-0.6929702500384937
pp401,dyn,626,trial7,cheek,diff_bin5,2.9583266547251807
pp401,dyn,626,trial7,cheek,diff_bin6,0.5756875951637372
pp401,dyn,626,trial8,brow,diff_bin1,1.7902197297421683
pp401,dyn,626,trial8,brow,diff_bin2,1.7463547861413113
pp401,dyn,626,trial8,brow,diff_bin3,1.3413129685340364
pp401,dyn,626,trial8,brow,diff_bin4,1.3626561400812478
pp401,dyn,626,trial8,brow,diff_bin5,1.601585302152955
pp401,dyn,626,trial8,brow,diff_bin6,1.6329174047249955
pp401,dyn,626,trial8,cheek,diff_bin1,-1.7706292562326709
pp401,dyn,626,trial8,cheek,diff_bin2,-1.9116970415250518
pp401,dyn,626,trial8,cheek,diff_bin3,-1.9289560730542843
pp401,dyn,626,trial8,cheek,diff_bin4,-1.8253225320097901
pp401,dyn,626,trial8,cheek,diff_bin5,-1.875274533608189
pp401,dyn,626,trial8,cheek,diff_bin6,-1.8807299746088086
pp401,dyn,727,trial1,brow,diff_bin1,NA
pp401,dyn,727,trial1,brow,diff_bin2,NA
pp401,dyn,727,trial1,brow,diff_bin3,NA
pp401,dyn,727,trial1,brow,diff_bin4,NA
pp401,dyn,727,trial1,brow,diff_bin5,NA
pp401,dyn,727,trial1,brow,diff_bin6,NA
pp401,dyn,727,trial1,cheek,diff_bin1,-0.3819947668205995
pp401,dyn,727,trial1,cheek,diff_bin2,-0.47920080646800034
pp401,dyn,727,trial1,cheek,diff_bin3,-0.5000108341394541
pp401,dyn,727,trial1,cheek,diff_bin4,-0.2797498834853538
pp401,dyn,727,trial1,cheek,diff_bin5,-0.48598539127604334
pp401,dyn,727,trial1,cheek,diff_bin6,-0.4789032369588757
pp401,dyn,727,trial2,brow,diff_bin1,0.05909248963284758
pp401,dyn,727,trial2,brow,diff_bin2,0.3055950351567908
pp401,dyn,727,trial2,brow,diff_bin3,0.08872087266093373
pp401,dyn,727,trial2,brow,diff_bin4,0.022964299851455428
pp401,dyn,727,trial2,brow,diff_bin5,0.19634693672869216
pp401,dyn,727,trial2,brow,diff_bin6,0.05565004260910375
pp401,dyn,727,trial2,cheek,diff_bin1,0.8988358386740062
pp401,dyn,727,trial2,cheek,diff_bin2,2.7286105882490395
pp401,dyn,727,trial2,cheek,diff_bin3,0.7214050593665872
pp401,dyn,727,trial2,cheek,diff_bin4,0.7024201246844315
pp401,dyn,727,trial2,cheek,diff_bin5,1.845602826872415
pp401,dyn,727,trial2,cheek,diff_bin6,0.7169415167297167
pp401,dyn,727,trial3,brow,diff_bin1,0.6081344688545711
pp401,dyn,727,trial3,brow,diff_bin2,0.5633593189220123
pp401,dyn,727,trial3,brow,diff_bin3,0.48266602682306947
pp401,dyn,727,trial3,brow,diff_bin4,0.6764116130441464
pp401,dyn,727,trial3,brow,diff_bin5,0.6411352830347317
pp401,dyn,727,trial3,brow,diff_bin6,0.7309889850104163
pp401,dyn,727,trial3,cheek,diff_bin1,0.33810358853098266
pp401,dyn,727,trial3,cheek,diff_bin2,0.4106708728228586
pp401,dyn,727,trial3,cheek,diff_bin3,0.2926151295694541
pp401,dyn,727,trial3,cheek,diff_bin4,0.3561164628166643
pp401,dyn,727,trial3,cheek,diff_bin5,0.3236218724202474
pp401,dyn,727,trial3,cheek,diff_bin6,0.31548830583750576
pp401,dyn,727,trial4,brow,diff_bin1,1.2935945336794026
pp401,dyn,727,trial4,brow,diff_bin2,1.2335442544109774
pp401,dyn,727,trial4,brow,diff_bin3,1.0904201434068512
pp401,dyn,727,trial4,brow,diff_bin4,1.1926666546680134
pp401,dyn,727,trial4,brow,diff_bin5,1.3411936571026257
pp401,dyn,727,trial4,brow,diff_bin6,1.9782564041102302
pp401,dyn,727,trial4,cheek,diff_bin1,NA
pp401,dyn,727,trial4,cheek,diff_bin2,NA
pp401,dyn,727,trial4,cheek,diff_bin3,NA
pp401,dyn,727,trial4,cheek,diff_bin4,NA
pp401,dyn,727,trial4,cheek,diff_bin5,NA
pp401,dyn,727,trial4,cheek,diff_bin6,NA
pp401,dyn,727,trial5,brow,diff_bin1,-2.912008339712078
pp401,dyn,727,trial5,brow,diff_bin2,-2.770494593756347
pp401,dyn,727,trial5,brow,diff_bin3,-2.7068735050327843
pp401,dyn,727,trial5,brow,diff_bin4,-2.678913833612818
pp401,dyn,727,trial5,brow,diff_bin5,-2.728963512544469
pp401,dyn,727,trial5,brow,diff_bin6,-2.742920009630562
pp401,dyn,727,trial5,cheek,diff_bin1,-1.3375195596594929
pp401,dyn,727,trial5,cheek,diff_bin2,-1.7315809416096908
pp401,dyn,727,trial5,cheek,diff_bin3,-1.9564839766061366
pp401,dyn,727,trial5,cheek,diff_bin4,-1.8381505018108821
pp401,dyn,727,trial5,cheek,diff_bin5,-1.6927183637180054
pp401,dyn,727,trial5,cheek,diff_bin6,-2.011812067336055
pp401,dyn,727,trial6,brow,diff_bin1,0.4575903807083166
pp401,dyn,727,trial6,brow,diff_bin2,0.4037831833304098
pp401,dyn,727,trial6,brow,diff_bin3,0.38300013875655353
pp401,dyn,727,trial6,brow,diff_bin4,0.7461491264816582
pp401,dyn,727,trial6,brow,diff_bin5,0.6427590226498965
pp401,dyn,727,trial6,brow,diff_bin6,0.826527347158089
pp401,dyn,727,trial6,cheek,diff_bin1,0.23213417806641068
pp401,dyn,727,trial6,cheek,diff_bin2,-0.021573585413305646
pp401,dyn,727,trial6,cheek,diff_bin3,-0.16718426521165708
pp401,dyn,727,trial6,cheek,diff_bin4,-0.2165808037263566
pp401,dyn,727,trial6,cheek,diff_bin5,-0.1962270493022274
pp401,dyn,727,trial6,cheek,diff_bin6,-0.3778238017373921
pp401,dyn,727,trial7,brow,diff_bin1,0.28576756639476564
pp401,dyn,727,trial7,brow,diff_bin2,0.426347767394905
pp401,dyn,727,trial7,brow,diff_bin3,0.3476849355743738
pp401,dyn,727,trial7,brow,diff_bin4,0.3529011180137415
pp401,dyn,727,trial7,brow,diff_bin5,0.342935525612802
pp401,dyn,727,trial7,brow,diff_bin6,0.4163705056820205
pp401,dyn,727,trial7,cheek,diff_bin1,-0.15210628518272296
pp401,dyn,727,trial7,cheek,diff_bin2,-0.10737166897764355
pp401,dyn,727,trial7,cheek,diff_bin3,0.13449282803890977
pp401,dyn,727,trial7,cheek,diff_bin4,-0.24586051852427726
pp401,dyn,727,trial7,cheek,diff_bin5,-0.33384190338881253
pp401,dyn,727,trial7,cheek,diff_bin6,-0.15968438868176518
pp401,dyn,727,trial8,brow,diff_bin1,-0.05031479187229367
pp401,dyn,727,trial8,brow,diff_bin2,0.09985758354654883
pp401,dyn,727,trial8,brow,diff_bin3,-0.0434765750725857
pp401,dyn,727,trial8,brow,diff_bin4,-0.2542826953570979
pp401,dyn,727,trial8,brow,diff_bin5,0.5778442701213566
pp401,dyn,727,trial8,brow,diff_bin6,-0.1383947584323544
pp401,dyn,727,trial8,cheek,diff_bin1,-0.07167626744534583
pp401,dyn,727,trial8,cheek,diff_bin2,-0.3265346330270108
pp401,dyn,727,trial8,cheek,diff_bin3,-0.3768833939709094
pp401,dyn,727,trial8,cheek,diff_bin4,-0.4796639024225796
pp401,dyn,727,trial8,cheek,diff_bin5,8.980507227931568
pp401,dyn,727,trial8,cheek,diff_bin6,-0.4388373657706713
pp401,dyn,828,trial1,brow,diff_bin1,-0.18598989180265935
pp401,dyn,828,trial1,brow,diff_bin2,-0.23178027187442388
pp401,dyn,828,trial1,brow,diff_bin3,-0.1836326907897906
pp401,dyn,828,trial1,brow,diff_bin4,-0.12332568665857782
pp401,dyn,828,trial1,brow,diff_bin5,-0.10185415267997275
pp401,dyn,828,trial1,brow,diff_bin6,0.11276783261051987
pp401,dyn,828,trial1,cheek,diff_bin1,-0.46110175521616775
pp401,dyn,828,trial1,cheek,diff_bin2,-0.3020806095399299
pp401,dyn,828,trial1,cheek,diff_bin3,-0.5962975021951548
pp401,dyn,828,trial1,cheek,diff_bin4,-0.8292349139379671
pp401,dyn,828,trial1,cheek,diff_bin5,-0.8775205262852679
